year,plusieurs_DET yeux_NOUN,plusieurs_DET pieux_NOUN
1800,9.432493897065797e-09,6.288328968651058e-09
1801,5.000483582762172e-08,1.4287095950749062e-08
1802,6.489736392722989e-08,2.4616241489638924e-08
1803,1.170203560718619e-07,1.950339223455444e-09
1804,4.69651695311768e-08,0.0
1805,3.980028751016107e-08,8.528632911009026e-09
1806,1.4408345627714425e-08,7.780506905419315e-08
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,1.8128591960930862e-08,9.064295980465431e-09
1809,8.810218732335784e-08,4.518061036407062e-09
1810,4.212228077449254e-08,2.106114038724627e-08
1811,9.777599307980722e-08,1.7549536934780008e-08
1812,1.600324850414836e-08,0.0
1813,8.627224934443234e-09,2.5881675469463516e-08
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,2.4275012222574333e-08,0.0
1816,1.0892738089296472e-07,1.1588019432906549e-08
1817,4.047870982848423e-08,7.784366928831332e-09
1818,3.695564920747074e-08,8.344824387052086e-09
1819,5.072014452878193e-08,4.140420006848444e-09
1820,1.4239777357261119e-08,1.5426425470366212e-08
1821,2.0709124859408234e-08,4.930744257336528e-09
1822,3.208197085768916e-08,1.604098542884458e-08
1823,1.4824030003524058e-08,1.581229902569703e-08
1824,1.6000114122505238e-08,1.8526447931321854e-08
1825,1.4969253392393966e-08,1.6730341556581152e-08
1826,3.082794364228647e-08,2.642395191543301e-09
1827,1.843454577876713e-08,4.608636583469661e-09
1828,8.255071293206129e-09,6.420610709767516e-09
1829,4.1151244023485134e-08,2.571952872898464e-09
1830,1.3567886369969528e-08,7.30578508800761e-09
1831,1.5591206548037917e-08,4.677361609140007e-09
1832,3.923691060947476e-08,2.0294953273491956e-08
1833,3.4750886612755494e-09,8.108539839568607e-09
1834,2.6136685704614138e-08,9.334531370086552e-09
1835,3.7059130875150004e-08,2.4201881387853064e-08
1836,2.2178475944656384e-08,8.736975032341832e-09
1837,4.5922079472404675e-08,2.922314168429807e-08
1838,2.6511079775914936e-08,1.0730675015224733e-08
1839,1.8177836236255018e-08,9.788065469251706e-09
1840,4.012903714878391e-08,3.821813088222825e-09
1841,1.926164472365599e-08,1.5409316933556738e-08
1842,4.159124245006751e-08,1.341653010911159e-08
1843,1.6539351332944818e-08,1.4176587015413133e-08
1844,4.55550577260766e-08,1.1525978838022866e-08
1845,3.6829504446167505e-08,2.2320911008399946e-08
1846,2.8101606375230404e-08,1.9905304515788202e-08
1847,2.1572894581822766e-08,1.5640348571821505e-08
1848,2.011305433313737e-08,2.413566591030758e-08
1849,2.7652069745087715e-08,1.0893239199560867e-08
1850,4.073397619208663e-08,8.82569484161877e-09
1851,2.644269869733762e-08,1.2253933867611977e-08
1852,1.4323200403509873e-08,8.463708844885787e-09
1853,2.1498955282694965e-08,7.166318205520383e-09
1854,1.0391328519876453e-08,9.87176262956524e-09
1855,3.449509122788186e-08,6.8990182455763716e-09
1856,1.604928606679934e-08,1.9673318529811468e-08
1857,2.4407546206361985e-08,6.8341128311999455e-09
1858,1.8106600663259087e-08,1.468102794888182e-08
1859,8.147477359443656e-09,4.582956236731661e-09
1860,6.865776031039772e-09,2.883625893623787e-08
1861,3.4426534512022045e-08,1.1789909493131745e-08
1862,2.6656119311851967e-08,8.584174260306554e-09
1863,3.246503538223422e-08,2.9967726078439227e-09
1864,1.4384183399940298e-08,9.109982768151781e-09
1865,2.6829013677343028e-08,1.0355057755706554e-08
1866,1.751620715140234e-08,5.838735717134114e-09
1867,2.5719900875742496e-08,8.73506067478047e-09
1868,2.519335706718806e-08,3.951899252285784e-09
1869,1.7092317561306913e-08,1.953407657850903e-09
1870,1.8922360567330543e-08,1.204150246181257e-08
1871,1.5931766128574054e-08,4.248470908407853e-09
1872,1.572308139241585e-08,5.442605477412599e-09
1873,1.3767810169706962e-08,1.5563611011071288e-08
1874,1.2546679251101978e-08,4.779687312606029e-09
1875,1.37316650272723e-08,2.8607636259891933e-09
1876,2.2974855795609983e-08,1.813804439976252e-09
1877,2.783167152298205e-08,4.329371083855449e-09
1878,1.3889904337816006e-08,5.4351798062235446e-09
1879,1.7717043832021773e-08,1.6495177557196428e-08
1880,1.9253538763308597e-09,5.776061406947974e-09
1881,2.370652651961791e-08,2.091752326904839e-09
1882,1.4641846846075168e-08,7.986462158271479e-09
1883,2.0853818227806187e-08,1.7694148368718743e-08
1884,1.2543224237049344e-08,3.300848483434038e-09
1885,1.160214413431504e-08,1.160214413431504e-08
1886,2.1296431285122708e-08,3.872078213618124e-09
1887,9.140494583448344e-09,8.48760173255414e-09
1888,2.4094335415725254e-08,4.438430289965822e-09
1889,2.1301465480405568e-08,6.265136853755848e-09
1890,1.5075089621063853e-08,5.243509182406569e-09
1891,8.92390783491237e-09,8.92390783491237e-09
1892,6.8953633913793055e-09,1.002961935725466e-08
1893,1.1085149687062312e-08,6.774258043407144e-09
1894,2.3945849969564392e-08,1.8904617871129403e-09
