year,bonnes_ADJ heures_NOUN
1800,6.917161954334006e-08
1801,4.7623650800687756e-08
1802,6.937304419807333e-08
1803,3.315576790896557e-08
1804,9.640218934237055e-08
1805,1.4782963830839435e-07
1806,9.221341201737232e-08
1807,5.4092147649953404e-08
1808,2.945896149242344e-08
1809,7.454800510231507e-08
1810,1.0998595456612748e-07
1811,4.011322829455821e-08
1812,9.868670503010435e-08
1813,2.5881675469463516e-08
1814,2.8320094713762956e-08
1815,4.8550024445148665e-08
1816,3.9399267848239106e-08
1817,2.3353100786493997e-08
1818,1.2994082965178677e-07
1819,5.175525075173937e-08
1820,1.2697134366135288e-07
1821,9.960103142248045e-08
1822,2.556532194830652e-07
1823,1.4329896202980308e-07
1824,6.736890156844311e-08
1825,1.4528980329941987e-07
1826,8.719904798226707e-08
1827,4.055600300034712e-08
1828,6.879226077671774e-08
1829,1.0802202154991392e-07
1830,8.662573947049168e-08
1831,5.14509785887185e-08
1832,9.606278439378002e-08
1833,8.68772147555319e-08
1834,7.934351486937885e-08
1835,8.016873209726327e-08
1836,1.384474472843067e-07
1837,1.544651837548372e-07
1838,1.6916594347549108e-07
1839,6.571986688186371e-08
1840,6.879263736436769e-08
1841,7.704657889462396e-08
1842,7.982835370512475e-08
1843,7.560846171372759e-08
1844,7.190015338665035e-08
1845,6.696273402440056e-08
1846,7.435216531348487e-08
1847,5.9325458323655766e-08
1848,6.275273278788518e-08
1849,7.54147322368226e-08
1850,9.572484316322516e-08
1851,7.029888138276874e-08
1852,7.422021752745422e-08
1853,1.4153478389289376e-07
1854,1.1950028522278444e-07
1855,7.641989441253827e-08
1856,1.0457922172690814e-07
1857,9.714202775512604e-08
1858,1.2821431027987273e-07
1859,1.273043324090395e-07
1860,1.1946450229061156e-07
1861,1.44780088362495e-07
1862,1.4954534321987012e-07
1863,9.739510886674907e-08
1864,1.0308664855074312e-07
1865,1.3979327206925518e-07
1866,1.4937431558337266e-07
1867,1.1549691691925545e-07
1868,1.6795571866623504e-07
1869,1.3576183732766367e-07
1870,1.6972784067093016e-07
1871,1.8587060424124502e-07
1872,1.669065596843211e-07
1873,1.8975633508944156e-07
1874,1.672890590498355e-07
1875,1.9853699484428944e-07
1876,1.4933657155324909e-07
1877,1.459616640886452e-07
1878,1.1897004981165082e-07
1879,2.1443732123316295e-07
1880,1.4696867367547384e-07
1881,1.9732196676613967e-07
1882,1.7104339633533527e-07
1883,1.952675745542365e-07
1884,1.9012887264580058e-07
1885,2.0819403800942382e-07
1886,1.8585976135909732e-07
1887,1.664875810547528e-07
1888,2.314324376584409e-07
1889,2.0612300488664914e-07
1890,1.999087828608026e-07
1891,1.8357754072440002e-07
1892,2.2817384603968094e-07
1893,1.7428318699330703e-07
1894,1.915667979801583e-07
1895,1.8236401899685006e-07
1896,2.4177819568649284e-07
1897,2.0451764726203692e-07
1898,2.1049079634849477e-07
1899,2.2552519851615216e-07
1900,1.920689669532294e-07
1901,1.9840022957851033e-07
1902,1.5467394121060352e-07
1903,1.5930649510664807e-07
1904,1.7037561406141322e-07
1905,1.7546581432270614e-07
1906,2.1399807792477077e-07
1907,1.6199956576201657e-07
1908,1.075594227017973e-07
1909,1.8428295334160794e-07
1910,2.623978048177378e-07
1911,1.5269473863099847e-07
1912,1.5940828745897306e-07
1913,1.8348345065533067e-07
1914,1.9353589664206083e-07
1915,1.5668413766434242e-07
1916,1.5162697764026234e-07
1917,2.357781312412044e-07
1918,1.1371512442792664e-07
1919,2.071765834443795e-07
1920,1.5750242710055318e-07
1921,1.5902769234799052e-07
1922,1.5198547487216274e-07
1923,1.8471749285708938e-07
1924,2.0755514640313777e-07
1925,2.276622836916431e-07
1926,2.1734969379849645e-07
1927,3.077186079281091e-07
1928,1.8510186805542617e-07
1929,2.1055367938060954e-07
1930,1.4810080983806984e-07
1931,1.710803445575948e-07
1932,1.1836299762535418e-07
1933,1.8811886093317298e-07
1934,1.5456238600108918e-07
1935,1.603750092726841e-07
1936,1.2730950516015582e-07
1937,1.7501653815088503e-07
1938,1.2446605524019105e-07
1939,1.3764645245828433e-07
1940,1.2678914629304927e-07
1941,1.5642963546724786e-07
1942,2.0936060707299475e-07
1943,1.8871028828471026e-07
1944,1.9921753846574575e-07
1945,2.1785039905353187e-07
1946,2.0603233963356615e-07
1947,2.0384689491947938e-07
1948,1.4785767632474744e-07
1949,1.5707213663063158e-07
1950,1.2124311865591153e-07
1951,1.4392892921932798e-07
1952,1.4657277347396303e-07
1953,1.8961935666084173e-07
1954,2.2965460289015027e-07
1955,1.5110828144315747e-07
1956,1.3953825828139088e-07
1957,1.2015651407182304e-07
1958,1.4062814557291858e-07
1959,1.4183868302097835e-07
1960,1.6263958002582513e-07
1961,1.5216468796097615e-07
1962,1.7503799654150498e-07
1963,1.6229793686761695e-07
1964,1.721762998840859e-07
1965,1.2640420266052388e-07
1966,1.6063316365944047e-07
1967,1.5875680503540934e-07
1968,1.913343083970176e-07
1969,1.5532812369656313e-07
1970,1.338228940994668e-07
1971,1.6134568170400598e-07
1972,1.3389683317655e-07
1973,1.3838140944244515e-07
1974,1.2601280729995779e-07
1975,1.2907945290407952e-07
1976,1.3769599149782152e-07
1977,1.2164937857050973e-07
1978,1.473266593166045e-07
1979,1.217210439108385e-07
1980,1.39854705594189e-07
1981,1.5244575024553342e-07
1982,1.5332530267642142e-07
1983,1.5030451550046564e-07
1984,1.9020747288323037e-07
1985,1.672325140589237e-07
1986,1.5465772662537347e-07
1987,1.5032608757792332e-07
1988,1.589086764397507e-07
1989,1.5476504700018268e-07
1990,1.5201736403014365e-07
1991,1.559149751528821e-07
1992,1.449115245577559e-07
1993,1.5842132938814757e-07
1994,1.6457771323530324e-07
1995,1.4694842320750467e-07
1996,1.446622945877607e-07
1997,1.6734182395339303e-07
1998,1.873874850844004e-07
1999,1.503596251950512e-07
2000,1.5286389043467352e-07
2001,1.5465677449810755e-07
2002,1.8839251936242363e-07
2003,2.187634464689836e-07
2004,1.9160842157361913e-07
2005,1.9140935592076858e-07
2006,2.2566037216620316e-07
2007,2.620378438678017e-07
2008,2.9844650839550013e-07
2009,3.4140259685955243e-07
2010,4.78992603802908e-07
2011,4.902332193523762e-07
2012,6.311484526122513e-07
2013,6.136074830465077e-07
2014,6.825483183092729e-07
2015,7.093041176631232e-07
2016,6.528863991661638e-07
2017,6.887743779770972e-07
2018,7.88379907135095e-07
2019,8.084080036496744e-07
