year,les_DET artisans_NOUN,les_DET partisans_NOUN
1800,1.4777573369428865e-06,6.137409059192578e-06
1801,1.8930401211036951e-06,7.47691319702426e-06
1802,2.2758833608804707e-06,6.7314232410353725e-06
1803,2.664163361032479e-06,6.248886961657263e-06
1804,1.2631158128328934e-06,6.530630002998805e-06
1805,1.4669248500354115e-06,7.178265946095053e-06
1806,1.3601478485725238e-06,6.07455842782656e-06
1807,2.0412668391145417e-06,7.251194688251417e-06
1808,1.740344771405944e-06,7.296758212760324e-06
1809,1.7665618656792503e-06,7.610673833369219e-06
1810,1.429817444886794e-06,5.4080330755823525e-06
1811,1.7925599138379766e-06,5.38018662155082e-06
1812,1.362943379490389e-06,6.019888928676664e-06
1813,1.2480718964980042e-06,6.467542903010326e-06
1814,1.8880062384596386e-06,1.0292781098542036e-05
1815,1.8017453413676776e-06,1.0335760634916369e-05
1816,1.5458417408353853e-06,7.84508915785409e-06
1817,1.597352124349527e-06,8.87573514773976e-06
1818,1.7369155926871827e-06,1.0639650554367108e-05
1819,1.7265551264245005e-06,1.0333453587918484e-05
1820,1.7609858105060994e-06,1.093140213015431e-05
1821,2.1537490511036594e-06,9.526197459308605e-06
1822,1.8497260754202216e-06,8.34331740406924e-06
1823,1.4893209510091765e-06,8.637468340566556e-06
1824,1.4661156910733553e-06,9.013958901959995e-06
1825,1.872037159955653e-06,8.437375413450354e-06
1826,1.906928645212247e-06,9.918670912156813e-06
1827,1.6664830013723986e-06,9.830221529227856e-06
1828,1.8693150423132465e-06,8.909973530535353e-06
1829,1.930679303541183e-06,8.437719770881813e-06
1830,1.7085100552094445e-06,8.213789897126844e-06
1831,1.3813808834584052e-06,8.570485874770384e-06
1832,1.473413689723202e-06,7.455012905666081e-06
1833,1.6356083136770394e-06,7.725121690782544e-06
1834,1.557933188678362e-06,8.640041983198898e-06
1835,1.4498439142585084e-06,7.5600626132654725e-06
1836,1.4449612848466131e-06,9.418458716936584e-06
1837,2.018484195787096e-06,8.870615261002968e-06
1838,1.7806608383352795e-06,9.126123586611357e-06
1839,1.843651972421867e-06,9.767790174919355e-06
1840,1.8790581606253909e-06,9.813779570322367e-06
1841,1.6558594353455192e-06,8.748639629629906e-06
1842,1.7414655530956225e-06,9.997998290600663e-06
1843,1.9522340579669617e-06,9.404393040313153e-06
1844,1.8589757360132353e-06,1.1569886964934994e-05
1845,1.7019695093267728e-06,9.187845307678799e-06
1846,1.7575213178133708e-06,9.942114047589712e-06
1847,2.2263227208441094e-06,1.0567482377155102e-05
1848,1.988778791428558e-06,9.225455755768053e-06
1849,1.5141603313395535e-06,8.949215271059074e-06
1850,1.843891325847835e-06,9.476080890635785e-06
1851,1.9077439930015316e-06,8.895065775504918e-06
1852,1.6693038986659303e-06,7.554185913249967e-06
1853,1.7467900619294596e-06,8.173185733539867e-06
1854,1.6070190440586885e-06,8.752096618991345e-06
1855,1.507700858383032e-06,8.368509270439972e-06
1856,1.6453107178904247e-06,8.931169190873334e-06
1857,1.490324677888566e-06,8.480645760755579e-06
1858,1.5669550776920005e-06,8.899639169612783e-06
1859,2.660151409372702e-06,8.760065838941955e-06
1860,1.493535108920696e-06,9.089829518416082e-06
1861,1.5227846574816795e-06,9.443245517104515e-06
1862,1.6395771780253199e-06,9.066694588000246e-06
1863,1.3465497659126413e-06,9.201090279020718e-06
1864,1.4777350969552572e-06,9.096078542825126e-06
1865,1.593737465555023e-06,9.131748583968147e-06
1866,1.314688645948081e-06,9.547791933073313e-06
1867,1.6111333707158337e-06,8.29248426725826e-06
1868,1.5748318418218332e-06,9.390700938638474e-06
1869,1.3434561196845607e-06,9.211293786393071e-06
1870,1.1364884926479135e-06,9.423909091310634e-06
1871,1.5220146849515004e-06,8.182555006897019e-06
1872,1.6128253861324993e-06,8.892007599570206e-06
1873,1.218151908233267e-06,8.373223181479261e-06
1874,1.603585133125307e-06,8.041226692512282e-06
1875,1.3096575841586855e-06,8.121707878672169e-06
1876,1.3264956493230784e-06,7.869492719692062e-06
1877,1.4336402927028757e-06,7.657420610485133e-06
1878,1.532116755242896e-06,8.088755407698045e-06
1879,1.7051126377509718e-06,8.539004056729027e-06
1880,1.5325817344091774e-06,8.985626777757716e-06
1881,1.3178039210970383e-06,7.988401989678096e-06
1882,1.3557019684640181e-06,7.820743007869169e-06
1883,1.5311758119196384e-06,7.451132319147291e-06
1884,1.8121658484915315e-06,8.450172344964813e-06
1885,1.7454780874004427e-06,8.513395528098044e-06
1886,1.7953536968207118e-06,8.42628776354104e-06
1887,1.5845699721239725e-06,7.631659968865279e-06
1888,1.4241020664940152e-06,8.211730119001004e-06
1889,1.5036328591122583e-06,7.725539944658522e-06
1890,1.697586057503031e-06,8.40010181946127e-06
1891,1.5521225265047178e-06,7.868974535085727e-06
1892,1.5972169080669119e-06,7.621884265063272e-06
1893,1.8142694813150229e-06,8.183919931070704e-06
1894,1.5571104086120613e-06,7.695439990129671e-06
1895,2.064986645677891e-06,8.56388658121432e-06
1896,1.6275799765708143e-06,8.60612419728568e-06
1897,1.975838543444297e-06,8.104375865514157e-06
