year,quels_DET yeux_NOUN,quels_DET pieux_NOUN
1800,1.163340872523122e-07,0.0
1801,1.4048977092784298e-07,0.0
1802,1.1412984690650774e-07,0.0
1803,1.3457340841682708e-07,3.900678446910888e-09
1804,2.2246658915037187e-07,0.0
1805,1.2508661662025133e-07,0.0
1806,9.221341201737232e-08,2.881669125542885e-09
1807,1.1103125174827255e-07,0.0
1808,2.311395519427606e-07,0.0
1809,6.551188569403621e-08,0.0
1810,2.597540671445131e-07,0.0
1811,6.769107141479935e-08,7.521229861140455e-09
1812,7.20146218213813e-08,5.3344164641089264e-09
1813,1.782959770935122e-07,0.0
1814,5.034683603355461e-08,0.0
1815,8.631115644419651e-08,0.0
1816,2.2712518443768204e-07,0.0
1817,1.6347170728181482e-07,0.0
1818,1.8597037509948677e-07,2.384235475716423e-09
1819,1.2110728775382995e-07,1.1386155129855524e-08
1820,1.6375743605578919e-07,2.3732962262101864e-09
1821,2.238557783584838e-07,3.94459531705138e-09
1822,1.7244059336007922e-07,4.010246357211145e-09
1823,1.146391692685711e-07,9.882686891060644e-10
1824,1.642116984612585e-07,0.0
1825,1.6818396275652958e-07,4.4027217427355936e-09
1826,1.3211976401805714e-07,2.642395191543301e-09
1827,1.4010255000584948e-07,0.0
1828,1.192399139426925e-07,4.586150570418113e-09
1829,1.2774032320805873e-07,0.0
1830,1.3567886369969528e-07,1.0436835840010872e-09
1831,1.917718392974166e-07,0.0
1832,1.3394669373667512e-07,2.5706941464420652e-08
1833,1.0541102213323938e-07,0.0
1834,1.484190406131347e-07,1.8669061851994684e-09
1835,1.4369867074037757e-07,7.563087933704082e-10
1836,1.3239877816317858e-07,0.0
1837,8.975679577361007e-08,4.174734336004349e-09
1838,9.152634738995857e-08,0.0
1839,9.718150195681119e-08,2.7965900706306e-09
1840,9.554532809374905e-08,6.369688665408546e-10
1841,1.232745354684539e-07,1.2841097074556274e-09
1842,1.026364522260792e-07,3.3541325272778977e-09
1843,1.1400338095768348e-07,1.1223130869097986e-08
1844,1.6355913246002274e-07,1.6465683816413446e-09
1845,1.2722919606744654e-07,1.3392546849289033e-08
1846,1.5338793701857867e-07,9.952652035849496e-09
1847,8.143767438184568e-08,2.6966118227278457e-09
1848,8.206126445031714e-08,0.0
1849,9.552533164480792e-08,0.0
1850,4.820187182730251e-08,6.788996032014438e-10
1851,9.22269727254843e-08,6.449438760824933e-10
1852,1.3086196304357145e-07,1.3021090872200602e-09
1853,1.2660495585237186e-07,1.7915795513800958e-09
1854,1.4859600838690312e-07,2.0782657816909023e-09
1855,1.623922791793575e-07,1.5920811335945473e-09
1856,1.4340814402657998e-07,2.070875637638636e-09
1857,1.2350217915013673e-07,2.928905451504704e-09
1858,1.2478873756549547e-07,5.872411001917044e-09
1859,1.4920068025503497e-07,3.5645213447565993e-09
1860,1.0252892224116295e-07,6.865775947773045e-09
1861,1.2355824807741556e-07,5.187559992680946e-09
1862,1.8297844306403022e-07,9.035972525772706e-10
1863,1.4284615801329892e-07,0.0
1864,1.150734725285929e-07,4.794727948009836e-10
1865,1.1672973698750866e-07,4.706844358715045e-10
1866,1.8002767632196992e-07,2.4328065117984465e-09
1867,1.4558434813238819e-07,1.455843445796745e-09
1868,1.0768925662318907e-07,3.951899252285784e-09
1869,9.522862498556606e-08,4.883519366671862e-09
1870,9.461180283665271e-08,1.1468097582678638e-09
1871,7.328612205981244e-08,0.0
1872,1.251799268686682e-07,6.0473394070115205e-09
1873,1.0774807890356897e-07,1.7958012854535355e-09
1874,1.487677678824184e-07,1.7923826867161097e-09
1875,2.2542816324744308e-07,1.716458086775674e-09
1876,1.0036384523459674e-07,1.813804439976252e-09
1877,1.5956825194507473e-07,1.8554447978047506e-09
1878,1.0628796154321662e-07,0.0
1879,1.2951769789992795e-07,1.3440515589380198e-08
1880,9.1775198995947e-08,1.9253538763308597e-09
1881,8.506459536761213e-08,6.972507571312292e-10
1882,1.1780031883290576e-07,1.9966155395678697e-09
1883,1.257548412070264e-07,0.0
1884,1.2345173061589776e-07,1.9805090900604227e-09
1885,9.475084183918625e-08,0.0
1886,9.09938417947842e-08,4.5174246565693466e-09
1887,9.466940653624079e-08,3.264462256069578e-09
1888,1.0779045034325918e-07,0.0
1889,9.209751183902881e-08,2.5060546970934183e-09
1890,1.1994526971648156e-07,2.6217545912032847e-09
1891,8.541455009947185e-08,0.0
1892,9.277398049789554e-08,6.268512375839919e-10
1893,9.545545687217327e-08,6.158416554491453e-10
1894,1.3611325044848854e-07,4.4110775032635274e-09
1895,1.0652947679545832e-07,1.2037228991346183e-09
1896,8.60966240523453e-08,0.0
1897,8.099131854066854e-08,1.7480140668268973e-09
1898,1.0750874324116921e-07,1.13167097914868e-09
1899,9.452159055456377e-08,5.527578395003729e-10
1900,7.838490478917493e-08,2.07642125715779e-09
