year,ses_DET airs_NOUN,ses_DET pairs_NOUN
1800,3.018397904952508e-07,4.527596786374488e-07
1801,4.143257559263702e-07,2.5954889792956237e-07
1802,2.4616241489638924e-07,3.714814624800056e-07
1803,4.21273259831878e-07,3.413093736526207e-07
1804,7.464990119387949e-07,3.4111542390746763e-07
1805,3.098736751638853e-07,4.3211741740378784e-07
1806,5.503988118604752e-07,2.507052272449073e-07
1807,2.4768510797912313e-07,3.359407116931834e-07
1808,3.512414803452657e-07,4.645451667784073e-07
1809,2.868968715930009e-07,2.7334269248058263e-07
1810,4.422839516848853e-07,3.182572356763558e-07
1811,5.114436874009698e-07,2.3315813280078146e-07
1812,6.134579066952028e-07,6.454644108089269e-07
1813,7.620715223310981e-07,4.486157081373676e-07
1814,2.832009533548785e-07,6.450688374570746e-07
1815,1.7531953111493692e-07,9.736977517604828e-07
1816,3.569109896517375e-07,5.654953270095575e-07
1817,3.3939841515007174e-07,6.756830543963588e-07
1818,3.6598014663269396e-07,6.330145083666139e-07
1819,3.0949639295840825e-07,8.746637263357115e-07
1820,3.548077778248171e-07,6.158703627079376e-07
1821,2.504818059634317e-07,5.601325483439723e-07
1822,4.661911532366503e-07,7.108161526048207e-07
1823,5.297120146963152e-07,1.01692853604618e-06
1824,2.5937027459121964e-07,5.72635656226339e-07
1825,3.2492083512636327e-07,5.820397745992523e-07
1826,2.1051082210732375e-07,6.940691719137249e-07
1827,2.2213627737244224e-07,6.82999939272122e-07
1828,2.5315550056248526e-07,5.136488425705465e-07
1829,2.9491725683783443e-07,7.921614724182291e-07
1830,4.039055490068222e-07,7.785879461152945e-07
1831,2.8064169654840043e-07,9.495044537288777e-07
1832,2.273034804822771e-07,7.049114287838165e-07
1833,2.8495726667188137e-07,5.374803890845214e-07
1834,2.174945723520949e-07,9.147840387413453e-07
1835,2.8134687113379186e-07,6.443750635298784e-07
1836,3.461186359743351e-07,6.633380280618439e-07
1837,2.1847777098571441e-07,6.679575221824052e-07
1838,2.3165634388533363e-07,7.757647040307347e-07
1839,2.929428202236295e-07,8.711377859071945e-07
1840,2.3695241679888568e-07,7.713692866673227e-07
1841,3.017657759230019e-07,5.45746615898679e-07
1842,3.474881253850981e-07,6.701556571897527e-07
1843,3.904468250937043e-07,6.633460998273222e-07
1844,3.534633599144854e-07,8.507270194968442e-07
1845,2.812434836130251e-07,7.538887984992471e-07
1846,2.8452876144058337e-07,7.189327675405366e-07
1847,1.9361672976003774e-07,5.727603706873197e-07
1848,2.856053598065955e-07,7.168292768255924e-07
1849,3.0584863974780774e-07,6.276181920839008e-07
1850,2.0910107512150944e-07,4.976334366801893e-07
1851,2.1154158513780885e-07,5.66905669074913e-07
1852,2.975319315368097e-07,5.879022637600428e-07
1853,3.3084501804836464e-07,5.440430186354206e-07
1854,3.205725054300501e-07,4.847555032938544e-07
1855,4.24554979616687e-07,6.378938337547879e-07
1856,3.6861587382475136e-07,3.903600713783817e-07
1857,3.6220798094177553e-07,5.008428161090706e-07
1858,3.9002598661852517e-07,6.880508749418368e-07
1859,3.890420323671151e-07,7.251254601214896e-07
1860,3.972995692436143e-07,6.838312742729613e-07
1861,3.2634468283276874e-07,6.616497216782591e-07
1862,3.117410560804501e-07,5.647482907988888e-07
1863,3.6310894024893514e-07,6.83264147482987e-07
1864,3.605635559011944e-07,6.40575649413222e-07
1865,3.652511124663249e-07,6.80609673509025e-07
1866,3.14805156165221e-07,5.546799002331682e-07
1867,3.799751358002368e-07,6.939520176274527e-07
1868,3.5171902101893693e-07,6.431716315091762e-07
1869,3.731008497709354e-07,6.475546570072765e-07
1870,3.635387013645186e-07,5.894602281841799e-07
1871,3.2500803737178785e-07,6.139040351627045e-07
1872,3.2837051566758646e-07,5.738925210607704e-07
1873,4.477531332369722e-07,5.602900046142167e-07
1874,3.172517573091227e-07,4.725915800918301e-07
1875,3.341371748177835e-07,5.978996000521875e-07
1876,3.766667333593432e-07,5.386999077927612e-07
1877,3.3892790440859244e-07,4.886004489890183e-07
1878,4.1971667208429153e-07,6.177987756927905e-07
1879,3.8366562193914433e-07,6.347589192046144e-07
1880,3.529815550962212e-07,4.595177927058103e-07
1881,4.0440544069042517e-07,4.4275424215811654e-07
1882,3.4009017646496886e-07,6.209474463503284e-07
1883,3.444039791133946e-07,4.214999194118718e-07
1884,4.152467312223962e-07,5.453001676869462e-07
1885,3.7706968569750643e-07,4.4603800120057713e-07
1886,3.9753338043624353e-07,5.446723321256286e-07
1887,3.6627267441247113e-07,5.033800789533416e-07
1888,3.734621962792062e-07,4.3116179426760937e-07
1889,3.35811327190072e-07,5.494524657478905e-07
1890,3.480379096032493e-07,4.4242108288017334e-07
1891,3.2189810639238203e-07,5.449958280223655e-07
1892,2.9336638940336e-07,4.3754215539593133e-07
1893,2.6542775843907407e-07,5.450198727885436e-07
1894,2.671852543656428e-07,4.864788252234575e-07
1895,3.3403309451784935e-07,5.32647391082719e-07
1896,2.8836471965831834e-07,4.888636908617627e-07
1897,2.3656457681653364e-07,4.189407150079205e-07
1898,2.6028431676650143e-07,5.624405048365588e-07
1899,2.758261761215408e-07,6.107974286351237e-07
1900,2.797977547430719e-07,4.334529251082131e-07
1901,2.425512741766056e-07,4.823081667382212e-07
1902,2.587719691860002e-07,4.188472075838945e-07
1903,2.5381036650173883e-07,5.373219096327375e-07
1904,2.98829173850379e-07,4.950030074724054e-07
1905,2.332663022741599e-07,4.335037715463841e-07
1906,2.9270411161519405e-07,4.989859121451445e-07
1907,3.162848578597277e-07,4.849701440434728e-07
1908,4.066630143739758e-07,5.117667569720652e-07
1909,3.762672777796183e-07,4.780354743161297e-07
1910,3.270620183570827e-07,5.034190166952612e-07
1911,2.803837286791122e-07,5.283131372380012e-07
1912,2.906857154982845e-07,5.647012812914909e-07
1913,3.399216428334739e-07,4.7355698029605264e-07
1914,3.127379333278668e-07,4.61405647911306e-07
1915,2.155879403886729e-07,3.381078670372517e-07
1916,1.8678684909900767e-07,3.966473798300285e-07
1917,1.9849227905766043e-07,5.044554995947692e-07
1918,2.802675931334875e-07,5.008059815736488e-07
1919,3.020174208501203e-07,5.211642246649717e-07
1920,3.150048288880214e-07,5.648884666697995e-07
1921,3.5819095334233e-07,6.368680374180258e-07
1922,4.124265977623054e-07,5.56296356535313e-07
1923,3.290944050604594e-07,5.94493087646697e-07
1924,3.3518223752082577e-07,6.407137220776349e-07
1925,3.4534278370301763e-07,5.433099659057916e-07
1926,3.1655033794208975e-07,6.052353000995936e-07
1927,4.5934807424430346e-07,5.652656795973598e-07
1928,3.462090392147843e-07,5.804428724331956e-07
1929,4.3558989482050947e-07,6.361171926982934e-07
1930,3.256117029337702e-07,5.755974825660815e-07
1931,3.0110142468231516e-07,5.132410478836391e-07
1932,3.1015487511609763e-07,5.183860594115686e-07
1933,3.131490657892755e-07,5.804155307487235e-07
1934,3.6783452550537277e-07,5.894937658013077e-07
1935,3.0638806425287157e-07,5.397695872488839e-07
1936,4.510393734058482e-07,6.062357442715438e-07
1937,2.8455927836290584e-07,6.459243877543486e-07
1938,2.917173134164841e-07,5.67876384138799e-07
1939,2.309401638811437e-07,6.34703098967293e-07
1940,2.535782828161359e-07,5.299786494106229e-07
1941,3.128592642731576e-07,6.434275405808876e-07
1942,3.0948960283438964e-07,6.007739443703031e-07
1943,3.01936453617202e-07,9.464546906201576e-07
1944,3.148922420592726e-07,7.165405122577795e-07
1945,3.2895411239408645e-07,7.276203746187093e-07
1946,4.051041377906017e-07,7.433869768647128e-07
1947,3.540498747511833e-07,7.069076559673704e-07
1948,4.163933002843123e-07,7.240677177833277e-07
1949,3.1218087470641365e-07,7.058429218886886e-07
1950,2.690746514488751e-07,6.785360824324016e-07
1951,2.825271465667356e-07,6.738005708939454e-07
1952,2.0878712359007068e-07,7.033384008536814e-07
1953,3.2429219665175424e-07,6.701320671709254e-07
1954,3.1369841035910895e-07,6.528053972942871e-07
1955,2.778139780446054e-07,6.785794539609924e-07
1956,3.4622931632810605e-07,6.331548547677812e-07
1957,2.783037000853028e-07,6.599773314519553e-07
