year,des_DET oies_NOUN,des_DET pois_NOUN
1800,3.772997354545282e-07,2.1254551345606387e-06
1801,4.643306181772999e-07,2.3311777432866165e-06
1802,4.1400042505301826e-07,1.1502498580284737e-06
1803,4.5442904728076883e-07,1.7377522123496192e-06
1804,3.3617172467970136e-07,1.6017593580386347e-06
1805,4.0368864784312564e-07,1.3475240316918047e-06
1806,1.9595349609602408e-07,8.270390443598785e-07
1807,2.9893028363758845e-07,8.939439042343622e-07
1808,2.809931678449118e-07,1.1398351809077667e-06
1809,5.195770000909761e-07,1.8140014574896668e-06
1810,3.9314129374190543e-07,1.0156149672368997e-06
1811,3.183987451471637e-07,9.476750255643651e-07
1812,1.520308643421231e-07,8.108313078736273e-07
1813,2.0705340375570813e-07,1.023764045982034e-06
1814,3.27254436438551e-07,6.513621499948385e-07
1815,2.751168040049379e-07,5.71811412219958e-07
1816,2.2248996955909206e-07,1.0892738568912819e-06
1817,1.9149542329621738e-07,6.320906309476015e-07
1818,3.31408723130977e-07,6.437435580153306e-07
1819,2.1944226169523517e-07,5.403248222179968e-07
1820,2.385162769513727e-07,6.443499476205261e-07
1821,2.790801291174816e-07,4.339054961999267e-07
1822,2.1254305693219067e-07,4.351117439682639e-07
1823,2.15442573114899e-07,6.226092601480104e-07
1824,1.5158002586446173e-07,3.528446148592934e-07
1825,2.4391076713925486e-07,5.653094430346783e-07
1826,2.3164998708136153e-07,6.341748925997592e-07
1827,2.2582319425534791e-07,5.677840122508826e-07
1828,2.1830077412410276e-07,4.769596652076658e-07
1829,2.3490502504275312e-07,6.206979339395957e-07
1830,2.536151120224872e-07,5.228854913497116e-07
1831,3.3053355763534853e-07,8.35688662714773e-07
1832,2.1783250325757564e-07,5.92612635630374e-07
1833,3.475088590221276e-07,1.0517934363463155e-06
1834,2.623003139134994e-07,6.076779488495276e-07
1835,2.6243915129953166e-07,7.3135058897833e-07
1836,2.473235943822871e-07,5.141373846662134e-07
1837,2.9710193816256947e-07,5.886375440411484e-07
1838,2.1650715620324945e-07,5.16966058849988e-07
1839,2.481973737644694e-07,4.2228510999109403e-07
1840,1.9427551034567614e-07,4.840963296892653e-07
