year,six_DET airs_NOUN,six_DET pairs_NOUN
1800,0.0,3.144164484325529e-09
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,2.2378401354217203e-09,1.3427040812530322e-08
1803,1.1702034896643454e-08,9.751696339321825e-09
1804,4.943701892301533e-09,0.0
1805,5.685755422035754e-09,3.695741046527701e-08
1806,2.305335211616466e-08,0.0
1807,5.693910232196231e-09,1.4234775136401367e-08
1808,2.2660739951163578e-09,3.172503681980743e-08
1809,2.259030518203531e-09,0.0
1810,2.574139479349924e-08,0.0
1811,1.0028306629550343e-08,1.7549536934780008e-08
1812,2.6672082320544632e-09,8.00162425207418e-09
1813,4.026038280535715e-08,8.627224934443234e-09
1814,5.349350962191579e-08,1.2586708120210233e-08
1815,0.0,5.664169400176888e-08
1816,6.952811659743929e-09,3.9399267848239106e-08
1817,1.556873407970727e-09,4.98199508314201e-08
1818,2.384235475716423e-09,1.7881765845828568e-08
1819,2.070210003424222e-09,6.624672010957511e-08
1820,2.4919611263385377e-08,2.0173018810965004e-08
1821,9.86148829262845e-10,1.5778381046160916e-08
1822,3.107940926838637e-08,2.3058916553964082e-08
1823,1.9765373782121287e-09,5.929612001409623e-08
1824,0.0,2.863178316658832e-08
1825,3.522177216552791e-09,5.987701201526363e-08
1826,1.7615968683770689e-09,9.248383292526086e-08
1827,6.452091305675367e-09,2.6730091917670507e-08
1828,3.6689205562545624e-09,5.228211813479433e-08
1829,1.714635211591542e-09,3.2578069852906566e-08
1830,1.5655253093882493e-08,1.1480519201967354e-08
1831,1.5591206103948707e-09,6.860130863373115e-08
1832,1.3529969367098715e-09,7.441483362846668e-08
1833,3.4750886612755494e-09,4.865124125785769e-08
1834,1.8669061851994684e-09,1.4935249481595747e-08
1835,1.663879345414898e-08,2.4958190181223472e-08
1836,5.376600054063374e-09,4.032450062751991e-08
1837,1.1132625932219753e-08,4.800944786165218e-08
1838,1.2624323808552163e-09,2.5879863585487328e-08
1839,2.7266753299670654e-08,6.851645562022668e-08
1840,3.184844388215424e-08,1.974603480725534e-08
1841,3.2102742686390684e-09,2.3756028699750686e-08
1842,8.720744570922534e-09,1.475818312002275e-08
1843,4.7255288571079745e-09,3.7804230856863796e-08
1844,9.879410178825765e-09,3.1284798751585186e-08
1845,0.0,2.9575208504439843e-08
1846,5.854501328173001e-10,4.4494210982293225e-08
1847,4.853901280910122e-09,1.1325769655456952e-08
1848,0.0,1.9308531440387355e-08
1849,5.02764896381791e-09,5.1952371293850774e-08
1850,2.0366988096043315e-09,3.258718184184772e-08
1851,1.2898877521649865e-09,2.7087643461598532e-08
1852,7.161599979710331e-09,2.018269107395554e-08
1853,5.3747388761848924e-09,5.6733352238325097e-08
1854,3.63696517347023e-09,1.4547860915925526e-08
1855,2.1227748447927297e-09,3.6087172361476405e-08
1856,1.0354378465748937e-09,1.7602443946884705e-08
1857,1.025116930231107e-08,2.587199765535786e-08
1858,8.319249067412215e-09,4.5511185486901695e-08
1859,1.5276520048956854e-09,2.0877910289485158e-08
1860,6.408057418028079e-09,3.844834622901416e-08
1861,5.6591566433006335e-09,1.0375120318428799e-08
1862,4.51798634615308e-09,3.38848971381811e-08
1863,1.598278676073761e-08,1.6981710260211003e-08
1864,9.589456118064277e-09,7.671564716815737e-09
1865,2.3534221793575227e-09,2.3534221293974866e-08
1866,3.8924903300596725e-09,1.5083400251025836e-08
1867,6.308654931785895e-09,7.279217228983725e-09
1868,1.4819622196071691e-09,1.1361710128277025e-08
1869,2.4417595723136287e-09,1.1232094143664995e-08
1870,1.0894693147633916e-08,1.6055337059839303e-08
1871,0.0,5.3105884134652115e-09
1872,3.628403577593531e-09,1.3908880047708294e-08
1873,2.3944017879529156e-09,4.788803575905831e-09
1874,5.974609140757536e-10,1.9118749250424116e-08
1875,1.888104017577774e-08,1.4875970677508121e-08
1876,3.627608879952504e-09,1.5719638923883394e-08
1877,8.658742389755503e-09,1.2369632429454214e-08
1878,1.9325083977506097e-08,1.4493813149663026e-08
1879,6.10932526790009e-10,2.199357085341802e-08
1880,6.417846254436199e-09,4.492492600149944e-09
1881,5.5780060570498335e-09,5.5780060570498335e-09
1882,1.3310770263785798e-09,5.989846396659004e-09
1883,1.0742876255243061e-08,8.847074184359371e-09
1884,1.386356363042296e-08,1.8484751507230612e-08
1885,6.445635691854079e-10,1.0313017106966527e-08
1886,5.162771099520569e-09,6.453463929911862e-09
1887,9.140494583448344e-09,1.8933881240634776e-08
1888,1.268122939990235e-09,1.014498307583267e-08
1889,5.0121093386756854e-09,1.2530273707511697e-08
1890,3.932631831293776e-09,1.376421138177264e-08
1891,6.374220040683554e-10,1.529812720946211e-08
1892,3.1342561879199593e-09,2.1312942521944933e-08
1893,4.926733243593162e-09,9.237624942759481e-09
1894,3.780923574225881e-09,2.7096618282484997e-08
1895,3.0093072478365457e-09,2.1065150512811215e-08
1896,1.7691086373616827e-09,1.0024949093079272e-08
1897,3.4960281336537946e-09,1.1653427112179315e-09
1898,6.2241901632731356e-09,1.1882545614128048e-08
1899,7.738609753005221e-09,1.1055156790007459e-08
1900,2.595526460424935e-09,7.267474400052265e-09
1901,4.470991132876634e-09,6.147612863216523e-09
1902,3.4371986368242347e-09,2.455141867585553e-09
1903,2.7001101354784396e-09,1.5120615870500842e-08
1904,9.13686282189019e-09,1.5048950530172078e-08
1905,8.773290316455018e-09,6.192910850799649e-09
1906,9.259531807970234e-09,1.2860461584551786e-08
1907,2.057137349353866e-09,1.028568674676933e-09
1908,9.331639017062798e-09,4.911388851169818e-09
1909,3.3005901345362076e-09,1.6502950672681038e-09
1910,4.809735609789811e-09,1.6032452032632705e-09
1911,3.7242617878519013e-09,1.0640748282497725e-09
1912,4.167536982180309e-09,2.6047105583515417e-09
1913,1.3787773367468503e-08,3.71209285532359e-09
1914,1.33934876522801e-08,7.366418142140674e-09
1915,2.00272951556002e-08,0.0
1916,1.0987462051303964e-09,1.0987462051303964e-09
1917,2.1932848870420685e-09,0.0
1918,1.1486376294556067e-09,0.0
1919,1.8415696745321952e-09,1.8415696745321952e-09
1920,6.057785384427916e-09,6.057785384427916e-09
1921,3.7863738810983705e-09,2.2718242842501013e-09
1922,0.0,4.426761179843197e-09
1923,0.0,5.307974060286824e-09
1924,6.445812328337297e-09,5.156649773851996e-09
1925,1.0998177923937646e-09,1.0998177923937646e-09
1926,3.3438415369957397e-09,2.229227691330493e-09
1927,1.2264147031260109e-08,1.1149224876660924e-09
1928,1.3711249802206282e-08,0.0
1929,1.1140406375176326e-09,4.4561625500705304e-09
1930,2.100720708497761e-09,1.0503603542488804e-09
1931,0.0,1.1405356659111021e-09
1932,5.4797684168050864e-09,8.767629289252454e-09
1933,0.0,0.0
1934,1.1981580172459871e-09,4.7926320689839486e-09
1935,3.590485242455088e-09,4.787313656606784e-09
1936,3.6374143697059935e-09,7.274828739411987e-09
1937,6.295558963032022e-09,3.777335333410292e-09
1938,0.0,0.0
1939,0.0,4.588215141154706e-09
1940,0.0,0.0
1941,1.1806010391524069e-08,8.854508237732261e-09
1942,0.0,3.034211770724937e-09
1943,2.9032352077962287e-09,8.709705845433291e-09
1944,0.0,0.0
1945,6.535512131478072e-09,0.0
1946,4.1763312808029696e-09,1.3921104269343232e-09
1947,1.1920870957027319e-09,2.3841741914054637e-09
1948,8.697510045507784e-09,9.784699050996437e-09
1949,3.9268033269479474e-09,1.9634016634739737e-09
