year,vos_DET airs_NOUN,vos_DET pères_NOUN
1800,2.2009151834367913e-08,9.809792960169261e-07
1801,3.5717737434382e-08,8.096020716052976e-07
1802,3.3567602031325805e-08,1.0853524656795344e-06
1803,5.265915836716317e-08,1.0375804997408977e-06
1804,1.359518080334965e-07,1.1864885038903594e-06
1805,4.548604315424143e-08,2.604076033474456e-06
1806,1.0374009207225754e-07,6.887188934712185e-07
1807,1.7081730252499483e-08,1.3323750138738433e-06
1808,4.75875534533543e-08,9.585493145891633e-07
1809,1.3554183553310395e-08,6.709320405917651e-07
1810,1.0530570193623134e-07,1.237927083508339e-06
1811,8.774768467390004e-08,5.139507486262573e-07
1812,6.134578844907423e-08,6.42797182592858e-07
1813,6.039057609541487e-08,4.486157019201187e-07
1814,9.125363398254649e-08,1.579631895065603e-06
1815,1.8880564667256294e-08,1.7208286489101e-06
1816,3.0128852301913867e-08,1.4485024451005302e-06
1817,7.472992091805963e-08,1.2766362011973342e-06
1818,5.0068943213688044e-08,1.1813886242606486e-06
1819,5.175524897538253e-08,1.9532431334567946e-06
1820,7.950542535439808e-08,1.429910956751712e-06
1821,6.015507691969901e-08,2.0965523965799093e-06
1822,2.5064039732569654e-08,1.8417056679709276e-06
1823,5.731958552246397e-08,1.2590543541080024e-06
1824,3.8737119290033206e-08,1.3928520843364822e-06
1825,5.459374818883589e-08,1.6254847352570323e-06
1826,2.8185549894033102e-08,1.3159128089412775e-06
1827,2.0278000945062047e-08,1.2517056759975276e-06
1828,5.3199348259980184e-08,1.2795360762041241e-06
1829,3.0006116702452346e-08,1.042498194880892e-06
1830,6.575206312753323e-08,1.240939770497107e-06
1831,3.2741533706470705e-08,1.7243874008698867e-06
1832,4.058990832334075e-08,1.2190502572950734e-06
1833,4.749287596528262e-08,9.938753500193798e-07
1834,2.893704542650255e-08,1.434717431081367e-06
1835,5.218530674255817e-08,1.4884157479855276e-06
1836,2.822714967321005e-08,1.590129508954874e-06
1837,1.8090516529234435e-08,1.3268698380031196e-06
1838,3.787297009338886e-08,1.6064452541542096e-06
1839,2.6567605448946097e-08,1.369629968550612e-06
1840,3.375935120342177e-08,1.3223474055745754e-06
1841,3.5955072252846776e-08,1.425361757512178e-06
1842,6.439934541191406e-08,1.312136639342043e-06
1843,3.7804230856863796e-08,1.661614090764374e-06
1844,3.56756482688958e-08,1.3150593218824724e-06
1845,5.6918324276011845e-08,1.0948407140887184e-06
1846,4.9763260845381296e-08,1.4085930679641478e-06
1847,3.020205241455187e-08,1.3127106193167037e-06
1848,5.5512030749937935e-08,1.0627738049606705e-06
1849,3.854530761238095e-08,1.1806595079377757e-06
1850,5.159636806695289e-08,1.1928266321348246e-06
1851,2.4507867735223954e-08,1.2821483892366814e-06
1852,4.5573818718835923e-08,1.417345785625912e-06
1853,4.060913649794884e-08,1.3412959400938007e-06
1854,6.33871053423718e-08,1.3373640683767007e-06
1855,8.278822249963014e-08,1.360168031538933e-06
1856,3.572260576234498e-08,1.7089901724887113e-06
1857,5.272029879321849e-08,1.1139603568466327e-06
1858,5.1872966366772744e-08,1.2694195667961594e-06
1859,4.786642771037464e-08,1.0937988008663524e-06
1860,6.087654602637826e-08,1.0985241196692641e-06
1861,4.810282866474225e-08,1.2978331964674794e-06
1862,3.885468324860142e-08,1.2248260468084027e-06
1863,5.044567208400963e-08,1.1627477363163052e-06
1864,6.856460954551835e-08,1.4014990341593148e-06
1865,4.7068444919418084e-08,1.4845386715478526e-06
1866,5.1575495207956124e-08,1.2324597644663982e-06
1867,5.386620571812273e-08,1.0016202693918785e-06
1868,5.236266353847441e-08,9.430219503059334e-07
1869,7.325278961189952e-08,9.933078111146187e-07
1870,2.8670243512607385e-08,8.784563050312499e-07
1871,2.549082545044712e-08,8.061473808496089e-07
1872,3.9307707089264454e-08,1.1550417760020082e-06
1873,2.9930021461233025e-08,6.267346961408293e-07
1874,3.5847653734322193e-08,7.265124963851122e-07
1875,3.37570102426632e-08,6.396667533437039e-07
1876,5.6832537564943664e-08,8.57324902625578e-07
1877,6.865146029433333e-08,6.926993734168718e-07
1878,3.442280499532657e-08,8.03802679527621e-07
1879,6.048231937505477e-08,1.029421319742596e-06
1880,3.3372801855335865e-08,5.7760616734015e-07
1881,1.8128519629900808e-08,6.086998904919483e-07
1882,5.923292589748996e-08,5.550591133385296e-07
1883,4.613117443597048e-08,5.251370716052861e-07
1884,3.4328825115892414e-08,5.353976106903247e-07
1885,1.4180398411056672e-08,5.891311047889758e-07
1886,2.5813855941692054e-08,8.131364666041918e-07
1887,2.7421483972389638e-08,5.366775930326639e-07
1888,3.4873380627686856e-08,5.9094531223991e-07
1889,2.7566601445982997e-08,6.133568746236051e-07
1890,1.8352282582512203e-08,4.3586671161222057e-07
1891,4.971891465199718e-08,4.818910390724795e-07
1892,3.635737289009455e-08,3.81752411016123e-07
1893,2.2170299485146927e-08,4.97600048277036e-07
1894,2.6466465019581165e-08,4.7072498077227465e-07
1895,2.407445731655855e-08,5.097766493378231e-07
1896,3.715128332748563e-08,4.5348152966084854e-07
1897,3.43776108691074e-08,3.6067357456204263e-07
1898,1.697506502029711e-08,3.434621369535762e-07
1899,2.65323762960179e-08,4.549196965797364e-07
1900,3.426095018799202e-08,4.402013153992357e-07
1901,3.409130766574009e-08,3.67180145843804e-07
1902,2.1114220427609354e-08,2.8970675458594997e-07
1903,1.4580595175672784e-08,3.3805377697149197e-07
1904,2.0961038238453966e-08,2.945294674816523e-07
1905,1.3934049136743454e-08,4.3040729735821515e-07
1906,3.806696413644062e-08,3.5494874239816454e-07
1907,3.394276593127188e-08,3.2142772177223833e-07
1908,2.7503778587956162e-08,3.369212766557439e-07
1909,3.13556076103616e-08,4.1917494719712067e-07
1910,5.076943265791556e-08,4.045522068452101e-07
1911,3.724261787851901e-08,3.5114468488472994e-07
1912,3.2298411722919695e-08,3.604919616151392e-07
1913,3.606033122105501e-08,3.8287586079377434e-07
1914,3.616241528447972e-08,4.7011140580366373e-07
1915,2.1205371236732162e-08,6.585445895268549e-07
1916,2.8567401111345703e-08,5.284969448737797e-07
1917,2.8512703309502285e-08,3.596987117049366e-07
1918,6.087779347296873e-08,4.6979278778280786e-07
1919,3.314825391953491e-08,4.760457521513217e-07
1920,2.8017257847068322e-08,3.8769826637974347e-07
1921,3.634918815942356e-08,3.400163652855781e-07
1922,5.976127831486266e-08,2.877394891243057e-07
1923,4.352538862661959e-08,2.3779723878902814e-07
1924,5.0277336072213075e-08,3.029531727705148e-07
1925,4.2892892793133797e-08,2.9365135034709056e-07
1926,3.78968714187522e-08,3.4998874376412914e-07
