year,leurs_DET airs_NOUN,leurs_DET paires_NOUN
1800,1.886498623981936e-07,1.5720821977538435e-08
1801,1.381085894536227e-07,7.143547975374531e-09
1802,7.832440473976021e-08,2.2378401354217203e-09
1803,1.8918290400904425e-07,1.950339223455444e-09
1804,1.9033252973699177e-07,0.0
1805,1.421438877713399e-07,3.1271653710973624e-08
1806,2.564685619432794e-07,0.0
1807,1.5942949005420815e-07,0.0
1808,1.4049658503267892e-07,1.8128591960930862e-08
1809,1.0391540516963005e-07,0.0
1810,1.0296557917399696e-07,0.0
1811,1.0780430415024966e-07,2.5070767684098882e-09
1812,2.667208214290895e-07,0.0
1813,2.0705339420779012e-07,3.163315653864629e-08
1814,1.5104050810066383e-07,0.0
1815,1.537417375629957e-07,0.0
1816,1.0429217844887262e-07,0.0
1817,1.588010940523077e-07,0.0
1818,5.364529886975333e-08,0.0
1819,8.591371281063687e-08,1.3456364911235141e-08
1820,2.5038275097699625e-07,0.0
1821,1.4200543052567127e-07,0.0
1822,8.72228582693424e-08,0.0
1823,1.353928098524193e-07,0.0
1824,1.5494847005470547e-07,1.6842225392110777e-09
1825,1.6025906202088436e-07,2.641632912414593e-09
1826,1.5149733556540923e-07,2.1139161532346407e-08
1827,9.770309539192112e-08,9.217273055917019e-10
1828,9.997808092521154e-08,0.0
1829,1.1830983304150777e-07,8.57317605795771e-10
1830,1.7012042263786498e-07,9.39315203396518e-09
1831,9.510636012066698e-08,1.5591206103948707e-09
1832,1.5694764599061273e-07,1.3529969367098715e-09
1833,2.2588075054841283e-07,1.0425265983826648e-08
1834,1.7455573164681937e-07,1.8669061851994684e-09
1835,1.406734426723233e-07,3.781543966852041e-09
1836,1.0148332352244438e-07,2.688300027031687e-09
1837,1.0158520957759265e-07,8.349468672008697e-09
1838,9.405121303984743e-08,1.2624323808552163e-09
1839,9.088917574118227e-08,6.9914751765765e-10
1840,8.981260979368244e-08,5.095750932326837e-09
1841,9.502411835171642e-08,2.0545755319290038e-08
1842,1.09344717280635e-07,1.8112315203211438e-08
1843,9.74640315121178e-08,4.7255288571079745e-09
1844,1.1416207801318023e-07,2.7442805805577564e-09
1845,4.185171054160719e-08,6.138250796539069e-09
1846,9.133021894314197e-08,5.854501328173001e-09
1847,6.417936226910115e-08,0.0
1848,7.964769821455775e-08,8.04522137798358e-09
1849,8.128032291665477e-08,3.3517659758786067e-09
1850,4.8880770542325536e-08,0.0
1851,4.6435958633850305e-08,0.0
1852,1.6211258824228025e-07,7.161600201754936e-09
1853,9.73424918448984e-08,1.7915795513800958e-09
1854,9.248282384355377e-08,9.352196350675968e-09
1855,1.1356845419641104e-07,2.1227748447927297e-09
1856,1.1027413204800496e-07,1.5531567143511893e-09
1857,1.0007093553809909e-07,3.4170564155999728e-09
1858,1.04235298392652e-07,7.34051397444091e-09
1859,1.2883198241553373e-07,2.5460866748261424e-09
1860,9.566314140840859e-08,5.034902272882391e-09
1861,7.969978632615948e-08,7.073945429425521e-09
1862,7.861296413835817e-08,1.8071945051545413e-09
1863,7.841554694465458e-08,6.99246927027275e-09
1864,1.0212770273909655e-07,2.8768367688059016e-09
1865,1.0119715088130476e-07,2.8241067262513297e-09
1866,9.244664234131506e-08,4.865612801552288e-09
1867,9.268870115874961e-08,5.338092634588065e-09
1868,1.0620729096189052e-07,6.421836395986702e-09
1869,1.8215526154108375e-07,5.371870948067681e-09
1870,9.518521082441112e-08,1.7202146374017957e-09
1871,6.266494922968491e-08,0.0
1872,9.494322972258828e-08,1.8142017887967654e-09
1873,7.72194583831265e-08,7.183205141814142e-09
1874,1.0276327522262818e-07,2.8080663128093875e-08
1875,7.895707676564001e-08,2.2886108563824337e-09
1876,8.94810217033637e-08,3.627608879952504e-09
1877,7.792867950939808e-08,2.2265338017746217e-08
1878,1.0266450534146543e-07,1.570163088437937e-08
1879,1.1118971743329098e-07,6.10932526790009e-10
1880,8.086486347202992e-08,1.2835692508872398e-09
1881,1.0737661404469634e-07,6.972507571312292e-10
1882,1.118104702158007e-07,2.6621540527571597e-09
1883,1.1438003311159406e-07,7.58320695126713e-09
1884,1.181703774832954e-07,9.902545450302114e-09
1885,8.572695131547903e-08,3.2228177904158883e-09
1886,9.873799999837729e-08,4.5174246565693466e-09
1887,9.989254978748363e-08,7.834709769838355e-09
1888,7.735549889531512e-08,6.974675947901687e-09
1889,8.833842990441099e-08,5.6386229019267375e-09
1890,8.061895417910137e-08,6.554386366985909e-09
1891,8.732681422429778e-08,3.1871101313640793e-09
1892,1.0029619978979554e-07,7.522214851007902e-09
1893,9.9766346517427e-08,9.853466487186324e-09
1894,9.830401559440816e-08,6.301539290376468e-09
1895,9.328852534906673e-08,6.6204757231957956e-09
1896,1.0083919566028499e-07,4.1279202278587945e-09
1897,9.905413378419325e-08,5.2440420894583895e-09
1898,9.73237049839426e-08,3.1120952037611005e-08
1899,8.954677177541726e-08,3.3165470370022376e-09
1900,5.5544270072260815e-08,2.07642125715779e-09
1901,6.482937253693422e-08,6.147612641171918e-09
1902,7.46363142400952e-08,1.1293653123800595e-08
1903,9.342380824506336e-08,2.1600881083827517e-09
1904,7.954445280233813e-08,3.7622376325430196e-09
1905,5.728442398211797e-08,6.708986699521802e-09
1906,1.0751345680404256e-07,3.600929110447737e-09
1907,7.611408170404843e-08,2.5714217422034835e-09
1908,8.74227243929937e-08,1.4734167219643268e-09
1909,9.131632561221181e-08,5.500983557560346e-10
1910,1.1115833142838483e-07,1.6032452032632705e-09
1911,8.086969005560718e-08,5.852411444351446e-09
1912,8.439262089154909e-08,3.646594803896619e-09
1913,1.198475674257793e-07,1.590896969716482e-09
1914,1.0112083170810138e-07,1.3393487430235496e-09
1915,6.832842192050492e-08,1.1780761921542648e-09
1916,9.998590799753515e-08,0.0
1917,6.68951898319392e-08,4.386569774084137e-09
1918,8.155327257952649e-08,4.594550517822427e-09
1919,1.2798909510003398e-07,5.524709134618888e-09
1920,1.0979736009275598e-07,7.572231730534895e-10
1921,8.405749696294151e-08,7.572747762196741e-09
1922,1.2690049133734504e-07,1.1804696775641332e-08
1923,9.554353530560888e-08,4.246379248229459e-09
1924,1.0055467192238154e-07,1.675911143195208e-08
1925,8.908524051776112e-08,1.0998177923937646e-09
1926,1.0811754602713108e-07,0.0
1927,1.0703256236865855e-07,7.804457524684949e-09
1928,9.940655920637198e-08,1.0283437212876834e-08
1929,1.2254447256943024e-07,1.0026365737658693e-08
1930,9.348207452575252e-08,1.68057662230936e-08
1931,1.1633463614657558e-07,3.4216069977333063e-09
1932,8.110057425625428e-08,4.383814644626227e-09
1933,5.7353312543639845e-08,3.4411986593596566e-09
1934,7.308763727564838e-08,0.0
1935,8.138433482685059e-08,5.98414207075848e-09
1936,8.123559069872499e-08,1.2124714565686645e-09
1937,6.547381470323188e-08,6.295559185076627e-09
1938,7.649476430060531e-08,3.8895642262559704e-09
1939,6.117620365841958e-08,0.0
1940,6.085878911932241e-08,2.5357829169792012e-09
1941,1.6233264865661567e-07,5.9030051957620344e-09
1942,7.58552971547033e-08,1.2136847082899749e-08
1943,9.580676185727555e-08,2.9032352077962287e-09
1944,1.0603514510876266e-07,3.2131861615880553e-09
1945,9.149717072887142e-08,1.3071024262956144e-08
1946,9.744773166175946e-08,4.1763312808029696e-09
