year,jours_NOUN heureux_ADJ
1800,7.231578358357638e-07
1801,6.881617924392458e-07
1802,6.80303401168203e-07
1803,5.207405884277705e-07
1804,9.93684118100191e-07
1805,8.073772468364382e-07
1806,8.500923955878648e-07
1807,7.886065596096614e-07
1808,7.115472122620758e-07
1809,6.664140284051712e-07
1810,9.734927650661973e-07
1811,7.446017775691871e-07
1812,6.001218437745592e-07
1813,7.103081802739553e-07
1814,7.740825580526689e-07
1815,6.98580924662906e-07
1816,7.694444725814265e-07
1817,7.955623353428365e-07
1818,6.127485328022431e-07
1819,8.425754911556282e-07
1820,7.760678881751915e-07
1821,8.727417171172647e-07
1822,9.013028829940595e-07
1823,7.738144081059772e-07
1824,7.562159014540271e-07
1825,8.893497458473121e-07
1826,7.248971130024984e-07
1827,5.899054578151208e-07
1828,6.622401729217131e-07
1829,6.044089104761952e-07
1830,6.857001295657028e-07
1831,7.639690897676132e-07
1832,7.292653292356732e-07
1833,8.513966704981613e-07
1834,6.52483729268738e-07
1835,6.277362913920115e-07
1836,5.477411200160986e-07
1837,5.350617886534792e-07
1838,5.106538703003594e-07
1839,5.802924567532841e-07
1840,5.063902648316798e-07
1841,5.252008872247416e-07
1842,6.191728370019689e-07
1843,5.611565434548993e-07
1844,5.971554930539469e-07
1845,4.776675215367732e-07
1846,4.847527241835792e-07
1847,6.288498539674947e-07
1848,5.148941717436628e-07
1849,5.454998905918274e-07
1850,5.166426255698298e-07
1851,4.7338879971547954e-07
1852,4.7657192592254205e-07
1853,5.63153180976883e-07
1854,6.104905931891835e-07
1855,5.97561090387444e-07
1856,5.694908153941469e-07
1857,6.838994437430301e-07
1858,5.138359973066997e-07
1859,5.550469066584185e-07
1860,5.597896124420743e-07
1861,5.838362984178502e-07
1862,5.814648043056536e-07
1863,5.154448716737647e-07
1864,4.84267529188287e-07
1865,5.299906851163882e-07
1866,5.639245612698573e-07
1867,4.741196910629242e-07
1868,4.6533613007326835e-07
1869,4.859101307985725e-07
1870,5.676708267898789e-07
1871,6.139040600317003e-07
1872,6.32551707901996e-07
1873,4.1782311654969817e-07
1874,4.7199411579157413e-07
1875,4.548613929955536e-07
1876,5.556287625552159e-07
1877,5.535410565471466e-07
1878,4.6259420027894294e-07
1879,4.844694894146073e-07
1880,4.434731906144407e-07
1881,4.420569705843036e-07
1882,4.871742032008797e-07
1883,4.4488144723686673e-07
1884,5.063501555824246e-07
1885,4.150989387774473e-07
1886,4.498064321012407e-07
1887,4.067520160688787e-07
1888,4.90129498764702e-07
1889,4.6800571684713077e-07
1890,4.4438739799090854e-07
1891,3.767164118428923e-07
1892,4.387958618679022e-07
1893,4.280099408227045e-07
1894,4.461489715446021e-07
1895,5.470920694250481e-07
1896,4.4876389360126723e-07
1897,4.020432307072497e-07
1898,4.47575878137485e-07
1899,3.6592569330196056e-07
1900,4.3397204407824574e-07
1901,3.4314858332606946e-07
1902,3.3586342396141333e-07
1903,4.1851706278350775e-07
1904,4.745793917848573e-07
1905,3.9015337804926276e-07
1906,3.9147243580117674e-07
1907,4.525702219648764e-07
1908,3.919288547038491e-07
1909,4.59332129665313e-07
1910,4.505119157727222e-07
1911,4.543599532169651e-07
1912,4.2196311866860015e-07
1913,5.01662806406955e-07
1914,4.948893552736422e-07
1915,3.899432163834149e-07
1916,4.6257215391420914e-07
1917,5.055521814512076e-07
1918,5.203328541369956e-07
1919,5.018277438040286e-07
1920,4.285883252741485e-07
1921,4.558794044484671e-07
1922,4.766146233237123e-07
1923,4.3206910049775615e-07
1924,4.3702607310791564e-07
1925,4.894189196136267e-07
1926,4.915447053832622e-07
1927,5.652656973609282e-07
1928,4.1362268543565506e-07
1929,4.935199786615385e-07
1930,3.6552540594314564e-07
1931,4.527926655839565e-07
1932,3.9673523311023473e-07
1933,3.7853186718450615e-07
1934,4.277424032750332e-07
1935,4.0093751785263976e-07
1936,3.9284075459278256e-07
1937,3.6262419644828014e-07
1938,4.524859811283477e-07
1939,4.1446875798101246e-07
1940,3.778316601810161e-07
1941,4.574829137737879e-07
1942,5.461581409349492e-07
1943,7.025829411588802e-07
1944,5.815867112346496e-07
1945,5.032344176925108e-07
1946,5.35962513481536e-07
1947,5.137895513485091e-07
1948,4.0769578646404625e-07
1949,4.0151564650869886e-07
1950,3.6160229655024523e-07
1951,3.5822310628930154e-07
1952,3.796129286470773e-07
1953,4.0078636942553203e-07
1954,3.6060657038206045e-07
1955,2.7499829613475413e-07
1956,3.191937771873654e-07
1957,3.339644241151518e-07
1958,3.242719381901793e-07
1959,3.069296257152132e-07
1960,3.411970901368022e-07
1961,3.7797985541487833e-07
1962,3.893961348921948e-07
1963,3.5821933686008833e-07
1964,3.601709313016954e-07
1965,3.201145322151433e-07
1966,3.3954527456359074e-07
1967,3.9196167556099226e-07
1968,3.795246481530512e-07
1969,3.778742421189918e-07
1970,3.619196604631725e-07
1971,3.5917398388818356e-07
1972,3.2166019803270274e-07
