year,divers_DET artisans_NOUN,divers_DET partisans_NOUN
1800,3.144164484325529e-09,0.0
1801,2.6193008650921e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,2.145373123596528e-08,0.0
1804,0.0,9.887403784603066e-09
1805,8.528632911009026e-09,0.0
1806,5.76333825108577e-09,2.881669125542885e-09
1807,0.0,0.0
1808,2.4926814390369145e-08,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.757784400841956e-08,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,2.2026739543434815e-08,0.0
1815,0.0,2.1577788444915313e-08
1816,6.952811659743929e-09,2.3176038865813098e-09
1817,7.784367039853635e-09,0.0
1818,1.1921177378582115e-09,1.1921177378582115e-09
1819,2.070210003424222e-09,1.6561680027393777e-08
1820,1.6613073583471305e-08,2.4919611263385377e-08
1821,0.0,1.97229765852569e-09
1822,1.0025615893027862e-09,0.0
1823,0.0,9.882686891060644e-10
1824,0.0,0.0
1825,3.522177216552791e-09,0.0
1826,5.284790494108904e-09,0.0
1827,1.013900075008678e-08,0.0
1828,6.420610709767516e-09,0.0
1829,3.429270423183084e-09,8.57317605795771e-10
1830,3.1310507520032616e-09,2.0873671680021744e-09
1831,9.354723218280014e-09,0.0
1832,2.705993873419743e-09,0.0
1833,0.0,2.3167257001688313e-09
1834,7.467624740797874e-09,0.0
1835,0.0,4.5378527602224494e-09
1836,2.016224964762614e-09,6.720750067579218e-10
1837,4.87052354003481e-09,1.948209416013924e-08
1838,1.2624323808552163e-09,1.1361890983607736e-08
1839,2.0974426639952526e-09,0.0
1840,1.528725279698051e-08,1.9109065441114126e-09
1841,0.0,7.704658244733764e-09
1842,6.708265054555795e-10,4.024959032733477e-09
1843,2.3627644285539873e-09,5.906911071384968e-10
1844,0.0,5.488561272137815e-10
1845,3.348136878855712e-09,0.0
1846,2.9272506640865004e-09,0.0
1847,3.235934187273415e-09,5.3932236454556914e-09
1848,1.6090443422100975e-09,0.0
1849,1.005529792763582e-08,1.6758829879393033e-09
1850,4.752297222410107e-09,6.788996032014438e-10
1851,1.2253933867611977e-08,6.449438760824933e-10
1852,3.2552727180501506e-09,1.3021090872200602e-09
1853,1.7915795513800958e-09,1.1943863675867306e-09
1854,1.7145692865483397e-08,2.0782657816909023e-09
1855,1.5920811335945473e-09,1.0613874223963649e-09
1856,5.177189232874468e-10,0.0
1857,9.763017949637742e-09,4.881509085841174e-10
1858,1.4191660235862713e-08,0.0
1859,1.171199848215565e-08,7.638259802433822e-09
1860,4.119465657481669e-09,0.0
1861,2.8295783494058924e-09,0.0
1862,6.776979477596257e-09,0.0
1863,3.596127129412707e-08,0.0
1864,1.9178911792039344e-09,0.0
1865,9.41368871743009e-10,3.294791106611683e-09
1866,9.244664589402873e-09,9.731225825149181e-10
1867,9.7056229719783e-09,0.0
1868,9.385760613156435e-09,0.0
1869,4.883519366671862e-09,1.953407657850903e-09
1870,6.307453670473251e-09,6.307453670473251e-09
1871,3.18635318130589e-09,0.0
1872,4.23313739617015e-09,0.0
1873,2.3944017879529156e-09,2.9930022904522957e-09
1874,0.0,0.0
1875,0.0,0.0
1876,2.0556450763820067e-08,0.0
1877,1.0514186854493346e-08,3.0924081073635534e-09
1878,6.6429977074733415e-09,1.2078177347163432e-09
1879,1.5273313280772527e-08,1.221865053580018e-09
1880,7.059630879879819e-09,6.417846254436199e-10
1881,7.669758161910067e-09,2.091752326904839e-09
1882,2.6621540527571597e-09,0.0
1883,3.159669414998234e-09,0.0
1884,1.3203393933736152e-09,0.0
1885,8.379326621454908e-09,0.0
1886,5.162771044009418e-09,0.0
1887,0.0,2.6115698492645834e-09
1888,2.53624587998047e-09,0.0
1889,2.5060546970934183e-09,0.0
1890,3.9326319978272295e-09,5.243509182406569e-09
1891,1.0836173736095134e-08,8.92390783491237e-09
1892,8.775916882086676e-09,2.5074049503359674e-09
1893,9.237624998270633e-09,1.2316833108982905e-09
