year,candidats_NOUN heureux_ADJ
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,8.805443485471187e-09
1826,2.642395191543301e-09
1827,6.452091305675367e-09
1828,0.0
1829,0.0
1830,1.0436835840010872e-09
1831,1.5591206103948707e-09
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,2.866504900111977e-08
1840,0.0
1841,6.420548537278137e-10
1842,0.0
1843,0.0
1844,0.0
1845,2.2320911785556063e-09
1846,3.5127007969038004e-09
1847,2.6966118227278457e-09
1848,3.378993085334514e-08
1849,3.3517659758786067e-09
1850,6.788996032014438e-09
1851,6.449438760824933e-09
1852,0.0
1853,1.7915795513800958e-09
1854,8.313063126763609e-09
1855,3.714855978387277e-09
1856,4.141751386299575e-09
1857,9.763017949637742e-09
1858,6.361778659424999e-09
1859,1.5276520048956854e-09
1860,1.373155145145688e-09
1861,7.545541969022906e-09
1862,5.873382225018986e-09
1863,3.496234635136375e-09
1864,6.712618905169165e-09
1865,1.9298061815220535e-08
1866,4.865612801552288e-09
1867,7.279217228983725e-09
1868,9.385760613156435e-09
1869,1.1720445947105418e-08
1870,5.734048791339319e-10
1871,3.186353225714811e-08
1872,6.652073114565837e-09
1873,1.1373408881354408e-08
1874,8.364453130127458e-09
1875,4.577221712764867e-09
1876,9.673623679873344e-09
1877,8.658742167710898e-09
1878,9.058632954861423e-09
1879,6.10932526790009e-10
1880,1.2835692508872398e-09
1881,4.8807553554297556e-09
1882,2.5290463057103807e-08
1883,1.0110942305630033e-08
1884,1.9805090900604227e-08
1885,1.4180398189012067e-08
1886,1.613365974151293e-08
1887,7.834709769838355e-09
1888,6.340614699951175e-09
1889,2.192797943223468e-08
1890,9.831579994568074e-09
1891,2.103492668936724e-08
1892,4.387958441043338e-09
1893,2.278614097406262e-08
1894,3.780923574225881e-09
1895,7.22233739480771e-09
1896,1.179405795248556e-09
1897,5.826713334045053e-09
1898,1.640922953072277e-08
1899,9.39688327150634e-09
1900,1.7130474816440255e-08
1901,1.1736351446245408e-08
1902,7.365425602756659e-09
1903,4.320176216765503e-09
1904,6.987012746151322e-09
1905,4.1286072338664326e-09
1906,1.18316245689698e-08
1907,1.337139288182243e-08
1908,1.817213934884876e-08
1909,8.251475058784763e-09
1910,1.1222716089775986e-08
1911,1.0108711201439746e-08
1912,8.335073964360618e-09
1913,1.1666577037772186e-08
1914,7.366418142140674e-09
1915,1.4136913861761968e-08
1916,1.0987461607214755e-08
1917,7.676496771580332e-09
1918,6.89182577673364e-09
1919,8.287063479883727e-09
1920,1.3630017114962811e-08
1921,9.844571380313027e-09
