year,nos_DET iles_NOUN,nos_DET piles_NOUN
1800,2.5153315874604232e-08,0.0
1801,2.3811825844433088e-08,1.6668277424969347e-08
1802,9.398928568771225e-08,0.0
1803,5.070881914370773e-08,0.0
1804,4.44933170307138e-08,0.0
1805,2.55858996212055e-08,0.0
1806,8.645007376628655e-09,0.0
1807,1.9928686256776018e-08,3.701041606518629e-08
1808,1.5862518409903714e-08,1.5862518409903714e-08
1809,2.4849335034105025e-08,0.0
1810,2.574139346123161e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,1.8670457180292033e-08,2.6672082320544632e-09
1813,5.176335027279322e-08,0.0
1814,2.5173417572688095e-08,0.0
1815,4.045835311217161e-08,0.0
1816,1.622322720606917e-08,2.0858434979231788e-08
1817,5.449057050022077e-08,2.0239355080775567e-08
1818,2.98029441125891e-08,0.0
1819,5.175525008560555e-09,0.0
1820,1.0679833017945839e-08,2.3732962262101864e-09
1821,1.972297702934611e-08,1.7750679148775816e-08
1822,9.023054303725075e-09,6.015369535816717e-09
1823,2.0753642027138142e-08,0.0
1824,1.0947446504872005e-08,1.51580028528997e-08
1825,1.0566531649658373e-08,2.641632912414593e-09
1826,2.7304752237000685e-08,0.0
1827,1.6591091167583727e-08,0.0
1828,2.2013523448549677e-08,9.172301251858528e-10
1829,1.8860986994440054e-08,8.573175946935407e-09
1830,2.400472176589119e-08,0.0
1831,1.091384405071949e-08,1.7150327380477393e-08
1832,6.764984572527055e-09,0.0
1833,1.6217079235048004e-08,1.0425265983826648e-08
1834,1.0267984240641681e-08,9.334530925997342e-10
1835,3.781543966852041e-08,0.0
1836,2.5538850312312178e-08,6.72075017860152e-09
1837,3.3397877241547747e-08,1.3915781860163179e-09
1838,2.4617430982587507e-08,5.680945491803868e-09
1839,4.1249704096912865e-08,1.3982950353153e-09
1840,4.395085273500854e-08,2.5478754661634184e-09
1841,3.017657768111803e-08,3.2102742686390684e-09
1842,3.4882977395511716e-08,4.024959032733477e-09
1843,2.7171790650815097e-08,5.906911071384968e-10
1844,2.2503100327586623e-08,1.0428266250528395e-08
1845,1.3392546849289033e-08,3.348136878855712e-09
1846,1.5807153808111707e-08,1.1123552745573306e-08
1847,2.534815113364175e-08,9.168480197274675e-09
1848,1.2067832733109185e-08,3.218088684420195e-09
1849,5.865590679832167e-09,1.005529792763582e-08
1850,1.2220192857625989e-08,1.4935791270431764e-08
1851,1.0964046337491595e-08,5.159551008659946e-09
1852,2.40890174474373e-08,1.9531636752390114e-08
1853,1.791579506971175e-08,7.763511611358354e-09
1854,1.1430461910322265e-08,1.2469594912190018e-08
1855,2.2819829581521844e-08,7.960405667972736e-09
1856,1.3460691894451315e-08,6.212626857404757e-09
1857,1.2203772437047178e-08,6.8341128311999455e-09
1858,1.565976370798694e-08,2.6915218498402282e-08
1859,1.4258085379026397e-08,5.601390462572908e-09
1860,1.327383358784573e-08,5.492620580582752e-09
1861,1.9335450851531988e-08,3.3011746669586728e-09
1862,2.0782737364388737e-08,4.066187830886747e-09
1863,1.4983863039219614e-08,4.994620717013731e-09
1864,1.1986819759002287e-08,1.1507347075223606e-08
1865,9.884373597390805e-09,7.530950973944073e-09
1866,1.8489329178805747e-08,6.811858188626729e-09
1867,1.6014277903764196e-08,4.85281148598915e-09
1868,9.87974813071446e-09,7.409810987013543e-09
1869,6.836926691455858e-09,1.660396442559886e-08
1870,5.734048791339319e-09,1.204150201772336e-08
1871,4.248470908407853e-09,4.248470908407853e-09
1872,2.4189357183956872e-09,0.0
1873,1.2570609608797412e-08,5.9860045809045914e-09
1874,1.5533983654947292e-08,7.169530746864439e-09
1875,3.432916173551348e-09,8.58229043387837e-09
1876,9.673623679873344e-09,1.874264654588842e-08
1877,1.7317484335421796e-08,6.184815992682502e-10
1878,9.058633121394877e-09,9.662541877730746e-09
1879,9.774920428640144e-09,1.0996785704264767e-08
1880,1.2835692730917003e-08,8.343199908722454e-09
1881,1.9523020977629812e-08,4.183504653809678e-09
1882,3.9932310791357395e-09,1.5307386025398273e-08
1883,8.847074461915128e-09,2.9068958795619437e-08
1884,1.0562715146988921e-08,1.4523733327109767e-08
1885,1.2891271161663553e-08,1.160214413431504e-08
1886,3.355801142523873e-08,4.517424601058195e-09
