year,des_DET heureux_ADJ
1800,6.288328968651058e-09
1801,1.4287095950749062e-08
1802,2.2378401354217203e-08
1803,1.1702034896643454e-08
1804,3.707776485839531e-08
1805,1.9900143755080535e-08
1806,5.76333825108577e-09
1807,2.8469551160981155e-09
1808,4.5321478125970316e-08
1809,3.6144488291256494e-08
1810,9.360507036149102e-09
1811,3.5099073869560016e-08
1812,2.1337665856435706e-08
1813,2.8757416448144113e-09
1814,6.293354282149721e-09
1815,0.0
1816,2.3176038865813098e-09
1817,1.71256075987003e-08
1818,2.2650237241350624e-08
1819,2.6912729822470283e-08
1820,2.610625848831205e-08
1821,1.1833785507064931e-08
1822,6.015369535816717e-09
1823,2.668325471688604e-08
1824,8.421112696055388e-09
1825,1.584979791857677e-08
1826,3.6112734136395375e-08
1827,1.3825909306319772e-08
1828,2.109629271274116e-08
1829,9.430493719264632e-09
1830,9.39315203396518e-09
1831,1.5591206548037917e-08
1832,1.2176972319366541e-08
1833,1.1583628278799551e-08
1834,1.4935249481595747e-08
1835,6.806779140333674e-09
1836,2.083432448785061e-08
1837,5.5663127440652715e-09
1838,1.3886756633496589e-08
1839,1.8177836125232716e-08
1840,2.293087852933695e-08
1841,1.5409316489467528e-08
1842,1.542900918138912e-08
1843,2.3627643841450663e-08
1844,2.305195678786731e-08
1845,1.1718478631905782e-08
1846,7.025401593807601e-09
1847,4.853901280910122e-09
1848,3.218088684420195e-09
1849,1.1731181359664333e-08
1850,1.4935791270431764e-08
1851,8.384270167027807e-09
1852,1.6276363368206148e-08
1853,1.851298847554972e-08
1854,2.5978321716024766e-08
1855,1.0613874223963649e-08
1856,2.7439103433835044e-08
1857,1.9526035899275485e-08
1858,9.297984604472731e-09
1859,1.884104072757964e-08
1860,2.7920821210614122e-08
1861,1.0846716413936974e-08
1862,1.9427341513278407e-08
1863,1.4484400345793347e-08
1864,1.582260189536555e-08
1865,1.553258677233771e-08
1866,4.865612801552288e-09
1867,1.6984840200962026e-08
1868,1.4819621974027086e-08
