year,six_DET eaux_NOUN,six_DET pots_NOUN
1800,3.144164484325529e-09,6.288328968651058e-09
1801,0.0,2.3811825400343878e-08
1802,0.0,1.1189200677108602e-08
1803,0.0,2.9255089017965474e-08
1804,0.0,9.88740396223875e-08
1805,0.0,8.528632911009026e-09
1806,5.76333825108577e-09,8.645007376628655e-09
1807,2.8469550272802735e-08,0.0
1808,4.5321479902327155e-09,1.3596443970698147e-08
1809,2.259030518203531e-09,1.129515236897305e-08
1810,1.1700633351097167e-08,4.680253518074551e-09
1811,2.5070767684098882e-09,2.2563691359778204e-08
1812,0.0,2.6672083208723052e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,6.922689976818219e-08
1815,0.0,6.203614155708692e-08
1816,0.0,6.489290882427667e-08
1817,7.784366928831332e-09,1.0898113522728181e-08
1818,0.0,3.695565098382758e-08
1819,0.0,2.070210003424222e-09
1820,9.493184904840746e-09,2.610625848831205e-08
1821,0.0,1.676452932031225e-08
1822,0.0,5.012807946513931e-09
1823,0.0,1.9765373782121287e-09
1824,1.6842225392110777e-09,1.0947446504872005e-08
1825,1.7610886082763955e-09,6.868245350233337e-08
1826,5.284790383086602e-09,3.435113882233054e-08
1827,1.8434546111834038e-09,4.147772969531616e-08
1828,0.0,2.568244400480424e-08
1829,0.0,5.143905745796928e-09
1830,1.1480518979922749e-08,4.383471008395645e-08
1831,3.1182412207897414e-09,1.7150327380477393e-08
1832,1.2176972319366541e-08,1.0823975493678972e-08
1833,4.6334514003376626e-09,4.285942378778884e-08
1834,0.0,1.9602515832772838e-08
1835,4.5378527602224494e-09,3.781543966852041e-08
1836,0.0,1.0753200108126748e-08
1837,1.3915781860163179e-09,2.5744196108234974e-08
1838,0.0,3.976662088511773e-08
1839,2.7965900706306e-09,1.4682098203877558e-08
1840,4.458782232319436e-09,2.7389660650634085e-08
1841,6.420548537278137e-09,7.0626033910059505e-09
1842,0.0,5.366612043644636e-09
1843,0.0,2.1855571574747046e-08
1844,0.0,3.567564732520623e-08
1845,3.9061593959388574e-09,4.0177640325822495e-08
1846,3.5127007969038004e-09,1.8734404694242812e-08
1847,1.0786447290911383e-09,8.089835468183537e-09
1848,3.218088684420195e-09,2.172209789819135e-08
1849,6.703531951757213e-09,1.256912263158938e-08
1850,2.7155984128057753e-09,1.0862393651223101e-08
1851,6.449438760824933e-10,1.483370937194195e-08
1852,1.9531636308300904e-09,7.812654523320361e-09
1853,4.777545470346922e-09,1.5527023222716707e-08
1854,3.63696517347023e-09,2.0263091871086658e-08
1855,3.714855978387277e-09,1.4859423913549108e-08
1856,4.1417513307884235e-09,4.866558001026533e-08
1857,1.171562147295191e-08,1.610898081594314e-08
1858,2.4468380654951716e-09,2.6915217388179258e-08
1859,4.582956236731661e-09,1.171199848215565e-08
1860,5.950338888283113e-09,2.0597326844118413e-08
1861,2.8295783494058924e-09,1.084671669149273e-08
1862,1.490935552794781e-08,1.1294965851504912e-08
1863,9.989241656072068e-10,5.9935452156878455e-09
1864,1.438418395505181e-08,2.9247839927748487e-08
1865,6.118897832863013e-09,2.0239431075541603e-08
1866,1.9462451650298362e-09,2.092213513549268e-08
1867,2.91168689159349e-09,1.5043715606566366e-08
1868,3.4579118457500613e-09,2.5687345139857598e-08
1869,6.836927024522765e-09,8.301982545866338e-09
1870,5.160643912205387e-09,1.777555080906268e-08
1871,1.3807530452325523e-08,1.911811864374613e-08
1872,1.2094678591978436e-09,1.3304146229131675e-08
1873,1.5563611288627044e-08,3.352162458725161e-08
1874,1.1949218059470468e-08,2.2703515512034755e-08
1875,3.4329162346136144e-08,2.345826111138649e-08
1876,3.023007311142578e-08,3.748529309177684e-08
1877,1.7935966489801558e-08,3.5253449937044934e-08
1878,9.662542099775351e-09,5.616352605208874e-08
1879,2.1993571408529533e-08,3.1157558311178946e-08
1880,7.059630879879819e-09,3.144744642469277e-08
1881,2.5101027978369217e-08,2.8587281430958456e-08
1882,3.3276926103553706e-08,2.595600268051612e-08
1883,3.4756364897248204e-08,2.5277355319985872e-08
1884,1.3203393933736152e-08,1.650424152899177e-08
1885,3.158361505661844e-08,1.0957580842685388e-08
1886,3.355801270199521e-08,2.0005737511041843e-08
1887,2.350412819929204e-08,3.917354896021408e-08
1888,8.242799331981132e-09,1.3949352783981794e-08
1889,2.568706025662948e-08,1.6289355420084917e-08
1890,1.507508856635198e-08,1.9007720397645755e-08
1891,1.5935549768641977e-08,2.677172439291553e-08
1892,9.402768785804483e-09,3.134256187919959e-08
1893,3.695049988206023e-09,2.0322774130221433e-08
1894,6.9316934414587195e-09,1.1342770500633037e-08
1895,1.023164486468886e-08,2.6481904225050812e-08
1896,4.717623069971921e-09,1.828078954879686e-08
1897,1.0488084178916779e-08,3.787363977991731e-08
1898,1.5277557885440274e-08,2.6028432742464247e-08
1899,4.9748205555033564e-09,1.9346524382513053e-08
1900,7.26747462209687e-09,2.076421301566711e-08
1901,1.2854099562531474e-08,2.1237207603608255e-08
1902,4.4192554615740676e-09,1.32577662736999e-08
1903,3.7801541896698154e-09,1.1340462569009446e-08
1904,8.599400302955473e-09,2.6873126834914274e-08
1905,2.3223416079076742e-08,1.4966200723165457e-08
1906,7.716276506641861e-09,1.1317205561578447e-08
1907,8.228549286393161e-09,1.54285304532209e-08
1908,9.331639239107403e-09,8.840499887696751e-09
1909,7.70137675853988e-09,2.0903738295885432e-08
1910,6.947395769785203e-09,1.4429207051414039e-08
1911,1.4365010514438836e-08,1.1172785807644914e-08
1912,6.251305473270463e-09,1.6149205861459848e-08
1913,1.113627856597077e-08,1.856046338843953e-08
1914,5.357394972094198e-09,8.036092680185902e-09
1915,1.1780761921542648e-09,1.4136914305851178e-08
1916,0.0,1.648119329900055e-08
