year,autres_ADJ artisans_NOUN,autres_ADJ partisans_NOUN
1800,5.65949598296811e-08,9.432493186523061e-08
1801,7.143547975374531e-08,1.3334621939975477e-07
1802,1.6336232988578558e-07,9.398928568771225e-08
1803,1.6967950955404376e-07,7.606323038089613e-08
1804,7.168367943677367e-08,4.69651695311768e-08
1805,2.842877755426798e-08,5.685755510853596e-08
1806,9.509508203109363e-08,8.933174200365102e-08
1807,1.3095993267597805e-07,7.971474502710407e-08
1808,7.478044494746428e-08,2.1980918063491117e-07
1809,9.487928309681593e-08,1.4457795316502597e-07
1810,1.0062544930633521e-07,1.4040760731859336e-07
1811,3.008491944456182e-08,7.019814773912003e-08
1812,7.468182872116813e-08,9.868670503010435e-08
1813,1.0352670187785407e-07,1.1790540810352468e-07
1814,1.541871768040437e-07,1.8565394555025705e-07
1815,1.0249449644561537e-07,2.9130015377631935e-07
1816,1.0892738089296472e-07,1.8540831092650478e-07
1817,6.538868291272593e-08,8.407116069975018e-08
1818,8.225612191381515e-08,1.4305412321391486e-07
1819,6.107119787657211e-08,2.0598589856035687e-07
1820,1.2222476186707354e-07,1.6019750148643652e-07
1821,9.960103142248045e-08,1.8638212395671871e-07
1822,8.922798144794797e-08,2.0051231786055723e-07
1823,1.1958050549765176e-07,1.956772024414022e-07
1824,9.515857612996115e-08,1.5410635967327835e-07
1825,1.171123926724249e-07,2.5271620529565553e-07
1826,8.807984386294265e-08,2.1579562314855139e-07
1827,1.308852830561591e-07,2.590053611584153e-07
1828,1.0181254594954225e-07,1.412534373912422e-07
1829,1.1830982771243725e-07,1.7489279002802505e-07
1830,8.662573947049168e-08,1.711641033352862e-07
1831,1.0134284167406804e-07,1.2472965238430334e-07
1832,1.0282776941039629e-07,7.982681893281551e-08
1833,9.730248251571538e-08,1.6912098033117218e-07
1834,7.841006066655609e-08,1.894909757993446e-07
1835,1.0285799589837552e-07,1.2252202452600613e-07
1836,9.073012563476368e-08,1.7339534963412007e-07
1837,1.6629358867703559e-07,1.6838096428273275e-07
1838,6.94337813911261e-08,1.4833580053164042e-07
1839,6.991475487438947e-08,1.7968091015063692e-07
1840,7.834717052901397e-08,1.9491247371661302e-07
1841,8.218302127716015e-08,1.7078659197977686e-07
1842,7.379091471193533e-08,1.2209042665745073e-07
1843,8.32874462730615e-08,1.6834697191825398e-07
1844,1.1745520822614708e-07,2.3161729245657625e-07
1845,1.3783163410607813e-07,1.205329169806646e-07
1846,1.3465353276842507e-07,1.4460617592249037e-07
1847,1.1649363074184294e-07,1.8283027714005584e-07
1848,1.1665571264529717e-07,1.4722755281582067e-07
1849,6.703531596485846e-08,1.4161211936425389e-07
1850,1.3510101837255206e-07,1.1201843364005981e-07
1851,1.1028540569668621e-07,1.0835056940550203e-07
1852,2.2266065968779003e-07,1.4192988828654052e-07
1853,9.43565225952625e-08,1.3377126606428646e-07
1854,7.014146774508845e-08,1.4651773483365105e-07
1855,1.358575900667347e-07,1.0613874223963649e-07
1856,8.490590630572115e-08,1.454790208299528e-07
1857,5.9554409403972386e-08,1.6792391477338242e-07
1858,8.808616769329092e-08,1.3751230198977282e-07
1859,1.0999094257613251e-07,1.34942595764187e-07
1860,7.872756668803049e-08,1.107678500034126e-07
1861,6.225072013421595e-08,9.620566032708666e-08
1862,7.590217165898139e-08,1.441237600374734e-07
1863,7.791608425122831e-08,1.1287843193485969e-07
1864,6.616724590458034e-08,1.0500454550310678e-07
1865,5.742350239756888e-08,1.3037958979111863e-07
1866,5.157549765044678e-08,1.2310000840898283e-07
1867,7.424801395927716e-08,1.1452635106934395e-07
1868,7.261614598519373e-08,9.632754682797895e-08
1869,8.692664010823137e-08,8.790334504737984e-08
1870,3.612450782952692e-08,1.2098843171770568e-07
1871,8.390730243945654e-08,9.877695106297324e-08
1872,6.652073381019363e-08,1.088521059955383e-07
1873,7.602225338132484e-08,1.0236067993218967e-07
1874,8.543690910300938e-08,8.902167536462002e-08
1875,6.522540729747561e-08,1.0012672646553256e-07
1876,7.073837338111844e-08,8.04119935082781e-08
1877,1.0452338727873212e-07,8.287653230354408e-08
1878,7.0657335982105e-08,8.937850992651875e-08
1879,9.347267848625052e-08,1.0752412293868474e-07
1880,8.792449079919606e-08,1.283569304177945e-07
1881,5.508281120114589e-08,8.2972839265949e-08
1882,4.725323421439498e-08,7.454030992448679e-08
1883,4.73950407808843e-08,9.163041170268116e-08
1884,7.723985362417807e-08,7.195849605068361e-08
1885,6.123353557541122e-08,7.02574283195645e-08
1886,7.098810073102868e-08,1.1229027307990691e-07
1887,6.528924956228366e-08,8.814048158001242e-08
1888,5.2627100899371726e-08,6.847864142400795e-08
1889,7.768769449967294e-08,7.14225620868092e-08
1890,5.571228456346944e-08,6.88210590737981e-08
1891,4.5894385181100006e-08,1.1027400859120462e-07
1892,5.829716442917743e-08,9.59082413487522e-08
1893,6.897426629848269e-08,9.052872229631248e-08
1894,8.570093257276312e-08,5.923446977362801e-08
1895,8.064943557428705e-08,5.838056083007359e-08
1896,6.132910357337096e-08,7.607167162859696e-08
1897,7.225124676324413e-08,6.642453342919907e-08
1898,6.450524381307332e-08,7.242694266551553e-08
1899,4.919544949189003e-08,8.788849470420246e-08
1900,1.2095153134605852e-07,7.163653492625599e-08
1901,4.8622027293276915e-08,1.0395054061973497e-07
1902,4.370152595356558e-08,5.745032183313015e-08
1903,6.156250975664079e-08,7.398301704597543e-08
1904,7.739460272659926e-08,7.094504894666898e-08
1905,9.39258129051268e-08,9.805442147126087e-08
1906,6.841765554099766e-08,6.996091173050445e-08
1907,7.148552388924756e-08,7.405694191220391e-08
1908,7.219741604558294e-08,7.465311568921607e-08
1909,5.280944037622248e-08,5.3359539009534274e-08
1910,8.604082779584132e-08,5.7716828649745366e-08
1911,1.032152567859157e-07,7.076097574554296e-08
1912,5.886645837449578e-08,1.0002088401961373e-07
1913,5.88631863251976e-08,7.68933503536573e-08
1914,8.705767129413289e-08,6.629776549971211e-08
1915,5.0657277483878715e-08,4.947920118070215e-08
1916,8.020847275247434e-08,6.152978926365904e-08
1917,6.031533672512523e-08,5.15421945124217e-08
1918,8.729645628591243e-08,7.925599732061528e-08
1919,9.115770144285662e-08,5.340552178267899e-08
1920,5.7548959375708364e-08,7.950843183834877e-08
1921,6.058198209757393e-08,5.14946840723951e-08
1922,9.591315830448366e-08,6.861480272846165e-08
1923,9.660512745313099e-08,6.369568694708505e-08
1924,9.668718092825657e-08,8.121723737986031e-08
1925,6.598907020816114e-08,7.588742789721437e-08
1926,5.238685218955652e-08,5.684530535177146e-08
1927,5.797597069090443e-08,6.689534615134107e-08
1928,6.627104198742018e-08,5.3702393643106916e-08
1929,7.241263944024467e-08,4.9017788938954254e-08
1930,1.0293531715888093e-07,8.823027286553042e-08
1931,5.930785462737731e-08,8.439963750106472e-08
1932,1.0849941389778905e-07,6.794912366103745e-08
1933,9.75006315684368e-08,8.947116469926186e-08
1934,9.465448158607614e-08,5.6313425034204556e-08
1935,1.077145554972958e-07,6.223507398317452e-08
1936,9.093536013082826e-08,4.849885826274658e-08
1937,1.1206095418270223e-07,4.910535977842301e-08
1938,8.427389275311725e-08,7.001215607260747e-08
1939,1.1164657109929976e-07,5.8117393564316444e-08
1940,1.1918179865233469e-07,7.100192078723921e-08
1941,1.5347814130706183e-07,7.67390702094417e-08
1942,1.1833425617169269e-07,6.371844563091145e-08
1943,7.548411673496958e-08,7.83873517207212e-08
1944,9.960876745651603e-08,6.7476911169706e-08
1945,1.1110370357059196e-07,1.0674669681520754e-07
1946,8.909506910015352e-08,6.26449718765798e-08
1947,6.07964452115084e-08,7.867775053682635e-08
1948,7.719040695519652e-08,5.435943961629164e-08
1949,1.1387729947909264e-07,6.086545312200542e-08
1950,8.720996191868835e-08,7.019338710279044e-08
1951,7.462980988748313e-08,6.823297127311889e-08
1952,7.381363020808607e-08,3.9015773722894664e-08
1953,9.804182754535873e-08,7.97263197682696e-08
1954,7.52485267430103e-08,5.863521579385633e-08
1955,9.010183799063043e-08,6.006789021739678e-08
1956,1.0290946983460003e-07,5.145473380707699e-08
1957,7.509781740910881e-08,6.714628852932947e-08
1958,1.0505749448164181e-07,5.1287909030861556e-08
1959,5.890568444133493e-08,7.440718263751478e-08
1960,9.135499823287319e-08,4.567749911643659e-08
1961,9.31053324992881e-08,7.504011989567516e-08
1962,1.2430234130889062e-07,7.420089076504155e-08
1963,1.3578712421136174e-07,6.595374202333915e-08
1964,1.2167936691565018e-07,7.604960217122425e-08
1965,1.0670484584807127e-07,8.153344310812827e-08
1966,9.970334313713636e-08,7.810095326021838e-08
1967,1.1832805468792174e-07,8.085750380359968e-08
1968,9.2074022184363e-08,7.635406973349745e-08
1969,8.992680422537092e-08,6.313043598993318e-08
1970,1.1772736030479791e-07,7.541908786379281e-08
1971,1.3154297207051968e-07,7.296524273670002e-08
1972,7.797823398103532e-08,7.643918564781416e-08
1973,1.2018783923650744e-07,7.663353329689926e-08
1974,1.1982467640336836e-07,7.369499144260772e-08
1975,1.1879878991649662e-07,5.597250662958686e-08
1976,1.2512623270843903e-07,5.4278505245974884e-08
1977,1.2693849316125494e-07,7.228441489814941e-08
1978,1.5801973307638661e-07,6.653462492067774e-08
1979,1.784851892949746e-07,6.086052195541924e-08
1980,1.2223074064010575e-07,6.139962493989515e-08
