year,mieux_ADV été_VERB
1800,6.288328791015374e-08
1801,5.714838380299625e-08
1802,2.4616241489638924e-08
1803,5.070882025393075e-08
1804,5.6852570651244605e-08
1805,2.55858996212055e-08
1806,7.780506905419315e-08
1807,2.2775640928784924e-08
1808,5.6651849433819734e-08
1809,4.292158095609011e-08
1810,4.212228077449254e-08
1811,5.264861258069686e-08
1812,1.0668832928217853e-08
1813,4.026038169513413e-08
1814,5.349351184236184e-08
1815,3.506390555685357e-08
1816,1.622322720606917e-08
1817,4.3592454090912724e-08
1818,2.5034472272977837e-08
1819,3.2088255608186955e-08
1820,2.4919611263385377e-08
1821,2.070912508145284e-08
1822,5.413832582235045e-08
1823,1.680056804787e-08
1824,4.884245186076441e-08
1825,3.9624492131906663e-08
1826,4.051672775062798e-08
1827,5.069500019772022e-08
1828,1.2841221419535032e-08
1829,6.258418494553553e-08
1830,4.383471008395645e-08
1831,5.76874619184764e-08
1832,4.464889968858188e-08
1833,6.718504863556518e-08
1834,4.480574844478724e-08
1835,4.235329242874286e-08
1836,4.973355061110851e-08
1837,3.6876823372722356e-08
1838,6.94337813911261e-08
1839,5.383435919270596e-08
1840,3.248541347034006e-08
1841,2.6966304744746594e-08
1842,4.762868144325694e-08
1843,3.721353891705803e-08
1844,1.5367971784030487e-08
1845,3.348136701220028e-08
1846,2.4003455223464698e-08
1847,3.020205241455187e-08
1848,2.654923214606697e-08
1849,3.016589289472904e-08
1850,2.7155984128057753e-08
1851,3.8696633453128015e-08
1852,3.5156944022674e-08
1853,3.2845626662947325e-08
1854,4.1565314745639625e-08
1855,3.767925349507095e-08
1856,3.882891874695815e-08
1857,4.051652524594829e-08
1858,3.327699715782728e-08
1859,4.277425702525761e-08
1860,2.4259074749011234e-08
1861,2.169343282787395e-08
1862,3.072230825296174e-08
1863,5.3442441583229083e-08
1864,2.7809422320501653e-08
1865,2.871175119878444e-08
1866,3.308616669528419e-08
1867,3.105799351033056e-08
1868,3.2603168165223906e-08
1869,3.1742874995188686e-08
1870,2.465641024684828e-08
1871,3.186353225714811e-08
1872,3.205089882385437e-08
1873,4.4895035244962855e-08
1874,3.4652732239237594e-08
1875,2.345826111138649e-08
1876,3.204387866162506e-08
1877,3.463496867084359e-08
1878,4.287753085918666e-08
1879,3.0546626561545054e-08
1880,3.2089232604448625e-08
1881,2.998178416646624e-08
1882,4.6587697255517924e-08
1883,3.4756364897248204e-08
1884,2.3105940272216685e-08
1885,2.8360796378024133e-08
1886,3.9366128135043255e-08
1887,2.0239665943222462e-08
1888,3.9311810695608074e-08
1889,5.6386230795624215e-08
1890,3.867087983167039e-08
1891,2.677172439291553e-08
1892,1.56712811616444e-08
1893,3.387129154930335e-08
1894,3.3398158905129094e-08
1895,2.347259631108045e-08
1896,4.1279204054944785e-08
1897,1.631479840114025e-08
1898,2.7160103499568322e-08
1899,3.205995469102163e-08
1900,2.0245106924221545e-08
1901,2.8502569193733507e-08
1902,1.276673788908056e-08
1903,2.4841012802312434e-08
1904,2.956043942958786e-08
1905,2.631987072732045e-08
1906,2.41776678677752e-08
1907,2.468564730406797e-08
1908,1.964555629285769e-08
1909,3.4106097501762633e-08
1910,2.0307773240801907e-08
1911,2.606983251496331e-08
1912,2.2400511667797218e-08
1913,2.4393752795504042e-08
1914,4.620753202289052e-08
1915,4.5944972271172446e-08
1916,2.6369908923129515e-08
1917,1.4256351654751143e-08
1918,2.756730310693456e-08
1919,6.4454939163738345e-09
1920,1.3630017114962811e-08
1921,2.499006690470651e-08
1922,1.9920426197472807e-08
1923,2.0170300985000722e-08
1924,2.3204924204378585e-08
1925,1.2097995494286806e-08
1926,3.566764306128789e-08
1927,3.2332753363562006e-08
1928,2.170947865920425e-08
1929,2.8965056131369238e-08
1930,1.7856125467119455e-08
1931,1.1405356659111021e-08
1932,3.287861005674131e-08
1933,2.2941325283909464e-08
1934,1.3179738189705859e-08
1935,1.4361940969820353e-08
1936,1.6974599503782883e-08
1937,2.5182236740306507e-08
1938,2.463390735840676e-08
1939,1.5294050470515685e-08
1940,2.7893612752905028e-08
1941,3.836953510472085e-08
1942,1.517105907566929e-08
1943,3.4838823381733164e-08
1944,1.6065930807940276e-08
1945,2.178504132643866e-08
1946,1.9489545977080525e-08
1947,3.099426493236024e-08
1948,2.2830963786191205e-08
1949,1.1780409536754632e-08
1950,2.5524867552917385e-08
1951,2.8785784422780125e-08
1952,2.1089608281954497e-08
1953,2.8011951869189033e-08
1954,3.322662323057557e-08
1955,1.0324168187025862e-08
1956,2.703553825256222e-08
1957,2.738861759610245e-08
1958,2.5643954515430778e-08
1959,3.022791617013354e-08
1960,1.6610000486139143e-08
1961,2.987708569435199e-08
1962,3.424656469519505e-08
1963,3.685650185047962e-08
1964,3.8937397306426647e-08
1965,3.228505462971043e-08
1966,2.99110034518435e-08
1967,2.3172576746333107e-08
1968,2.6050212653672133e-08
1969,2.8613074576355757e-08
1970,2.5292987260172595e-08
1971,2.4150468291850302e-08
1972,3.796308689629768e-08
1973,1.7642252103655665e-08
1974,2.81278591529599e-08
1975,2.341706917263764e-08
1976,2.742492810625663e-08
1977,1.7630345183761165e-08
1978,2.257424647211792e-08
1979,2.1652301285257636e-08
1980,2.8994268319593175e-08
1981,1.8344094243616382e-08
1982,1.8001756529884005e-08
1983,1.5788289786655696e-08
1984,1.9136727757995686e-08
1985,2.8273122509858695e-08
1986,1.3787316177626963e-08
1987,2.0776777631681398e-08
1988,2.0987938498251424e-08
1989,2.3050112929468014e-08
1990,2.3429199913493903e-08
1991,1.3481369798284959e-08
1992,1.652983172562017e-08
1993,1.4955860550003308e-08
1994,1.6879765141197822e-08
1995,1.572510655023507e-08
1996,1.868332333287981e-08
1997,2.2536003285722472e-08
1998,2.0979769033147022e-08
1999,2.0108885223635298e-08
2000,1.678851901942835e-08
2001,2.015357480900093e-08
2002,1.4896152755738967e-08
2003,1.9584538435424292e-08
2004,1.9381081628466745e-08
2005,1.9816498664226856e-08
2006,2.182481573242967e-08
2007,1.3980677948666198e-08
2008,1.6178271167177627e-08
2009,1.6211854969583328e-08
2010,1.795041271179798e-08
2011,1.414869643667771e-08
2012,1.2936160587173617e-08
2013,1.2272150407000026e-08
2014,2.1870995681183558e-08
2015,1.1969507163200888e-08
2016,1.6156452176119274e-08
2017,1.4590545660553289e-08
2018,1.2132893800753664e-08
2019,1.4795729086358733e-08
