year,aux_ADP heureux_ADJ
1800,2.263798393187244e-07
1801,2.0478169671100943e-07
1802,1.6783801015662903e-07
1803,1.3262307052563926e-07
1804,2.3729768638958149e-07
1805,1.6204403152642044e-07
1806,1.8154515579738018e-07
1807,1.366538477931556e-07
1808,1.246340701754889e-07
1809,1.490960122030316e-07
1810,1.7550951270095538e-07
1811,1.4290337801980968e-07
1812,1.3069320914382843e-07
1813,1.8117172828624462e-07
1814,3.681612259498479e-07
1815,8.091670622434322e-08
1816,2.595716352971067e-07
1817,1.089811392240847e-07
1818,1.7524130591084486e-07
1819,1.676870061695368e-07
1820,2.0885007412374534e-07
1821,1.7356220005648737e-07
1822,1.744457165386848e-07
1823,1.0475647949093059e-07
1824,2.0968570169088707e-07
1825,1.673034146776331e-07
1826,1.717556985525448e-07
1827,1.354939165310043e-07
1828,1.5501188466160443e-07
1829,1.834659726362986e-07
1830,1.565525380442523e-07
1831,1.3252525832285755e-07
1832,1.7453661049771085e-07
1833,2.0039676940086792e-07
1834,1.3908450458011146e-07
1835,1.4521128122169102e-07
1836,1.854926970912274e-07
1837,1.4472412646071575e-07
1838,1.672722920176284e-07
1839,1.2794400072735357e-07
1840,1.611531201817229e-07
1841,1.3739974535909028e-07
1842,1.6368166511071536e-07
1843,2.2328123705506187e-07
1844,2.2448215397652405e-07
1845,1.8749566343956303e-07
1846,1.721223341633049e-07
1847,1.2026888729366192e-07
1848,1.9147627128290878e-07
1849,1.8769889731373723e-07
1850,1.860184912771956e-07
1851,1.3801799525481329e-07
1852,2.2070748828539877e-07
1853,1.5407584053050982e-07
1854,2.0834614966602771e-07
1855,1.756596148538847e-07
1856,2.0915844967106523e-07
1857,1.5620828675011467e-07
1858,1.6344877984408868e-07
1859,2.143805026832979e-07
1860,1.4601216680176776e-07
1861,2.0467282624281324e-07
1862,2.0285758584037694e-07
1863,1.9129397288430994e-07
1864,1.9754279323436208e-07
1865,1.6050338702555678e-07
1866,1.3185811553739768e-07
1867,1.2617310218843159e-07
1868,1.990769300519446e-07
1869,1.8117856548371947e-07
1870,1.6456719631463557e-07
1871,1.2108142755096196e-07
1872,1.31227266386702e-07
1873,1.3767810402853797e-07
1874,1.2068710686374828e-07
1875,1.516204743978733e-07
1876,1.1185127268831252e-07
1877,1.5647584272748816e-07
1878,1.696983859544865e-07
1879,1.7778136729429406e-07
1880,1.4183439955850474e-07
1881,1.241106369342937e-07
1882,1.3643539076291233e-07
1883,1.440809338504323e-07
1884,1.3137377674610207e-07
1885,1.2246708047669586e-07
1886,1.4004017256930013e-07
1887,1.1947932110345505e-07
1888,1.4329789621569944e-07
1889,1.3845952384627935e-07
1890,1.4157475042297918e-07
1891,1.7656589079706464e-07
1892,1.448026347716791e-07
1893,1.3117427544173665e-07
1894,1.272910958860507e-07
1895,1.9319752442292781e-07
1896,1.279655350572284e-07
1897,1.25274343787396e-07
1898,1.3636635731728575e-07
1899,1.4150600158302495e-07
1900,1.0278285511589047e-07
1901,1.251877537189472e-07
1902,1.0213390111424303e-07
1903,8.91036344707885e-08
1904,1.1447951653309474e-07
1905,1.0992416898947255e-07
1906,9.465299211086631e-08
1907,1.198282486569724e-07
1908,1.5176192835753e-07
1909,1.595285255007184e-07
1910,1.3093168815814238e-07
1911,1.1119582188356958e-07
1912,1.0731407407149618e-07
1913,9.651441135183347e-08
1914,1.0045115428347628e-07
1915,7.186265094105693e-08
1916,9.668966782783173e-08
1917,9.211796481167767e-08
1918,1.0682330042754984e-07
1919,1.1049418291442237e-07
1920,1.0752568924132788e-07
1921,8.708659482437042e-08
1922,1.1730917187646739e-07
1923,8.811236940076128e-08
1924,1.2118126901938808e-07
1925,1.0228305580284314e-07
1926,9.362755992725624e-08
1927,1.103773286104115e-07
1928,9.597874850442167e-08
1929,9.692153213336496e-08
1930,1.0293531360616726e-07
1931,9.238339071515611e-08
1932,1.2055490339335506e-07
1933,1.0323596200123575e-07
1934,8.267290318997311e-08
1935,9.813992729590382e-08
1936,8.487300240389573e-08
1937,5.666003299875655e-08
1938,5.7046944390570786e-08
1939,1.0094073576993878e-07
1940,7.60734906180005e-08
1941,8.264207451702532e-08
1942,1.0012898599143227e-07
1943,8.129058715056203e-08
1944,8.354284375400312e-08
1945,8.496165682103651e-08
1946,8.491873870752897e-08
1947,9.298279501912532e-08
1948,8.588791100549997e-08
1949,6.184715184431866e-08
1950,6.593924273268215e-08
1951,8.742349200119293e-08
1952,7.275914803983596e-08
1953,6.356558146514146e-08
1954,7.427127468595529e-08
1955,7.414630509572362e-08
1956,7.064125018274581e-08
1957,6.272876840185404e-08
1958,8.437688059359516e-08
1959,7.053180550720128e-08
1960,5.467458463748187e-08
1961,8.893643554941377e-08
1962,8.62506091547921e-08
1963,5.1081820440224135e-08
1964,6.449006662023749e-08
1965,6.511731465153048e-08
1966,6.259154361476504e-08
1967,6.902469729119787e-08
1968,7.455750627993751e-08
1969,6.858054368841238e-08
1970,8.553628849661266e-08
1971,7.399292267784574e-08
1972,8.413441032750768e-08
1973,6.395316076712732e-08
1974,6.18812876496122e-08
1975,5.3687912782152125e-08
1976,4.170874662312585e-08
1977,4.701425526665304e-08
1978,5.168314487491443e-08
1979,6.144572073374377e-08
1980,5.6851508389854644e-08
1981,4.7441623185484616e-08
1982,4.7797766855595114e-08
1983,4.294414779337785e-08
1984,5.3350879547497954e-08
1985,5.173379946654677e-08
1986,5.095312727299017e-08
1987,6.233033067459814e-08
1988,5.1570363757136306e-08
1989,6.750390602050516e-08
