year,combats_NOUN heureux_ADJ
1800,1.5720821977538435e-08
1801,1.1905912700171939e-08
1802,4.475680270843441e-09
1803,0.0
1804,7.4155526164076946e-09
1805,8.528632911009026e-09
1806,0.0
1807,1.1387820464392462e-08
1808,6.798221985349073e-09
1809,2.0331274441787173e-08
1810,2.3401267590372754e-09
1811,2.5070768572277302e-08
1812,3.467370746079723e-08
1813,1.7254450312975678e-08
1814,0.0
1815,2.697223555614414e-09
1816,2.5493642752394408e-08
1817,1.556873407970727e-09
1818,4.291623878494022e-08
1819,3.726378139390363e-08
1820,9.493184904840746e-09
1821,1.3806083387635226e-08
1822,1.4035862250239006e-08
1823,1.2847492847356534e-08
1824,1.51580028528997e-08
1825,8.805443485471187e-09
1826,4.315912249808207e-08
1827,2.027800150017356e-08
1828,1.0089530988466322e-08
1829,1.457439946506156e-08
1830,2.5048406016026092e-08
1831,1.5591206548037917e-08
1832,1.0823975493678972e-08
1833,2.0850531967653296e-08
1834,6.254136053485126e-08
1835,3.2521278114927554e-08
1836,5.8470526198561856e-08
1837,3.339787468803479e-08
1838,3.5348108440302894e-08
1839,1.7478688718597368e-08
1840,1.0191501864653674e-08
1841,6.613164904578639e-08
1842,2.3478927246856074e-08
1843,6.202256486176339e-08
1844,4.610391357573462e-08
1845,6.249855033502172e-08
1846,5.093416177714971e-08
1847,3.128069891999985e-08
1848,3.298540818263973e-08
1849,2.4300303991253713e-08
1850,2.5119284430275002e-08
1851,2.96674187438839e-08
1852,1.2370036550635177e-08
1853,4.120633079196523e-08
1854,4.000661757430635e-08
1855,4.192480318465641e-08
1856,5.487820686767009e-08
1857,5.0767695825015835e-08
1858,5.04048642824273e-08
1859,6.161529597648041e-08
1860,7.23195086038686e-08
1861,4.621644633662214e-08
1862,6.144461472956664e-08
1863,4.04564275413577e-08
1864,4.938569797552361e-08
1865,4.7539127800977354e-08
1866,7.298419291146274e-08
1867,4.901339600849042e-08
1868,6.174842326345242e-08
1869,3.711474505507795e-08
1870,7.339582452914328e-08
1871,2.145477775439275e-07
1872,5.6844988716164835e-08
1873,4.669083319974732e-08
1874,3.8237499555560106e-08
1875,4.863297914381448e-08
1876,4.7158916771650183e-08
1877,4.08197848855707e-08
1878,3.865016884319061e-08
1879,2.4437300960578057e-08
1880,4.8775632421893533e-08
1881,3.2770785196589713e-08
1882,5.989846840748214e-08
1883,3.72840999185442e-08
1884,3.9610181801208455e-08
1885,6.510092021017044e-08
1886,3.4203360144147155e-08
1887,4.504958106554824e-08
1888,4.1848057463766963e-08
1889,4.0723389105323804e-08
1890,2.7528423984790606e-08
1891,4.9081492647928826e-08
1892,2.2566645441202127e-08
1893,5.173069794750518e-08
1894,1.9534772022211655e-08
1895,4.4537745935713247e-08
1896,3.007484750128242e-08
1897,5.185775009408644e-08
1898,3.904264833654025e-08
1899,3.427098604902312e-08
1900,4.775768802645075e-08
1901,1.5648469187112823e-08
1902,4.0264328760031276e-08
1903,2.1060859722865644e-08
1904,3.708491291831706e-08
1905,3.715746643706552e-08
1906,1.2860461140462576e-08
1907,2.3657079850636364e-08
1908,3.929111258571538e-08
1909,2.475442606453271e-08
1910,1.8704527593449427e-08
1911,1.7557235443277364e-08
1912,1.8753915753677575e-08
1913,1.9090762748419365e-08
1914,7.768223042603495e-08
1915,1.5904028938251713e-07
1916,1.7250315398342764e-07
1917,1.1295416957324278e-07
1918,9.993147198628094e-08
1919,4.603924352863942e-08
1920,2.3473917920568965e-08
1921,1.060184651180407e-08
1922,1.2542490601674672e-08
1923,1.6985516992917837e-08
1924,6.445812328337297e-09
1925,3.189471442510694e-08
1926,3.232380052509143e-08
1927,1.4493992672726108e-08
1928,1.2568645679778001e-08
1929,2.8965056575458448e-08
1930,2.2057568216382606e-08
1931,2.167017854048936e-08
1932,2.301502632917618e-08
1933,1.7205993296798283e-08
1934,1.7972370258689807e-08
1935,1.6755597798123745e-08
1936,3.6374142808881516e-08
1937,2.6441348666139675e-08
1938,1.4261735792331365e-08
1939,1.8352860564618823e-08
1940,2.028626333583361e-08
1941,0.0
1942,2.1239483061208375e-08
1943,1.4516175816936538e-08
1944,1.927911696952833e-08
1945,2.178504043826024e-09
1946,2.0881657292193267e-08
1947,2.3841742802233057e-08
1948,1.5220643190261285e-08
1949,5.890204768377316e-09
1950,4.2541445921528975e-09
1951,1.2793682557799002e-08
1952,7.381362632230548e-09
1953,1.4005975934594517e-08
1954,1.172704333640695e-08
1955,4.6928039232341234e-09
1956,6.976913269340912e-09
1957,9.718541527092839e-09
1958,1.0753916868111446e-08
1959,1.4726420971555854e-08
1960,3.460416619915918e-09
1961,6.94815938118154e-09
1962,8.8787386332001e-09
1963,1.939815863494232e-09
1964,1.034274621503073e-08
1965,4.924839203113152e-09
1966,8.308612464702492e-09
1967,8.381570104631919e-09
1968,1.527081389118834e-08
1969,1.6804503094602907e-08
1970,7.3579600190498695e-09
1971,5.138397263237948e-09
1972,5.130146973897354e-09
1973,7.718485461882807e-09
1974,7.313243399753588e-09
1975,5.711480177694739e-09
1976,6.2848797277581525e-09
1977,2.3507127355770763e-09
1978,3.5643548113029055e-09
1979,5.266775904289034e-09
1980,3.411090521154847e-09
1981,1.8976649140967083e-09
1982,4.345251713999687e-09
1983,4.4207211225000265e-09
1984,2.8995042478108246e-09
1985,1.2031116103372597e-09
1986,3.5966913891627428e-09
1987,5.49973533381376e-09
1988,5.99655392008458e-09
1989,7.134558721588746e-09
1990,3.814055737905164e-09
1991,2.9307325455363298e-09
1992,1.65298330578878e-09
1993,4.985286683467649e-09
1994,2.1099706426497278e-09
1995,4.3379608238858225e-09
1996,5.338092190498855e-10
1997,1.917957792585412e-09
1998,1.43043876743576e-09
1999,5.484241505371301e-09
2000,2.6508188977203417e-09
2001,1.7524847129024579e-09
2002,3.943099347036849e-09
2003,4.583615265119079e-09
2004,1.3214374039449694e-09
2005,2.251874686720612e-09
2006,4.117890028965121e-09
2007,2.7961355453243186e-09
2008,2.1287198670449925e-09
2009,3.814554005998616e-09
2010,4.723793023408973e-10
2011,3.059177577924288e-09
2012,3.744677928851914e-09
2013,3.0680376017500066e-09
2014,1.7323561057880354e-09
2015,3.768178213903184e-09
2016,1.3256576419928834e-08
2017,2.0124890642847504e-09
2018,2.581466596041082e-09
2019,3.06118530524202e-09
