year,ses_DET hommes_NOUN,ses_DET pommes_NOUN
1800,6.728511934284143e-07,1.7292904352927962e-07
1801,5.905332849387435e-07,2.6907363093187087e-07
1802,4.408545066780789e-07,1.0070280609397742e-07
1803,4.700317610684124e-07,7.606323038089613e-08
1804,2.2741028327111223e-07,9.39303346214615e-08
1805,4.747605752974948e-07,7.107194099909009e-08
1806,3.141019453423155e-07,1.642551330505171e-07
1807,5.864727272708592e-07,6.263301344233696e-08
1808,3.3084681350104006e-07,1.9261628381173068e-07
1809,3.704810060956021e-07,1.4909601020463015e-07
1810,3.603795164508483e-07,9.828532032685189e-08
1811,4.96401225902332e-07,6.267691787797958e-08
1812,5.574465289370778e-07,2.1871107946935808e-07
1813,4.3998846877002507e-07,8.627225156487839e-08
1814,8.779229450084358e-07,2.8320094713762956e-08
1815,4.0997798911313055e-07,7.821948155850578e-08
1816,4.1253349181147314e-07,4.6352077731626196e-08
1817,6.725692873743583e-07,7.317304806520042e-08
1818,8.332902812213661e-07,8.821671571013212e-08
1819,8.353297378249636e-07,5.175525075173937e-08
1820,1.205634500678343e-06,2.610625848831205e-08
1821,8.352680862522277e-07,3.944595483584834e-08
1822,7.719723953414359e-07,6.215881853677274e-08
1823,1.118720107662341e-06,2.8659792761231984e-08
1824,2.935599933806543e-06,5.726356633317664e-08
1825,2.8723354645876498e-06,2.993850500843109e-08
1826,2.4591891971681434e-06,5.989429041619587e-08
1827,1.1346463431038956e-06,6.452091128039683e-08
1828,1.233674481682101e-06,4.035812506408831e-08
1829,1.4325777009105423e-06,3.086343403069236e-08
1830,1.7930483924288865e-06,5.948996473215118e-08
1831,1.7914295860066431e-06,6.704218580289023e-08
1832,1.7764849928880722e-06,7.035584259629246e-08
1833,1.8638058030262528e-06,1.1004447009188567e-07
1834,1.9331814229417432e-06,1.0081293311259287e-07
1835,2.4799366329375516e-06,6.201732105637348e-08
1836,2.373768925423292e-06,6.922372786100084e-08
1837,2.5598081769828696e-06,1.0088942170582982e-07
1838,2.723066756971093e-06,5.0497295012164045e-08
1839,3.3006755177922287e-06,6.222413162504381e-08
1840,2.7625340663917086e-06,5.796416635561741e-08
1841,2.349920876554279e-06,1.1235959895827818e-07
1842,2.870466680349182e-06,4.159124467051356e-08
1843,2.4407356420397264e-06,6.025049281710437e-08
1844,2.936380269602523e-06,7.629099862960231e-08
1845,2.4915718555007516e-06,8.481946617289182e-08
1846,2.4278616805872844e-06,9.601382022772498e-08
1847,2.627578581382295e-06,8.521293182184309e-08
1848,2.3540318494497114e-06,1.0619692858426788e-07
1849,2.435058043204208e-06,1.1312210412839363e-07
1850,2.8330481427474297e-06,7.807345170363078e-08
1851,2.617827231432557e-06,6.25595584224925e-08
1852,2.1068125093393064e-06,5.599069075046259e-08
1853,2.2854583505704795e-06,8.062108247663957e-08
1854,2.3437641445411828e-06,6.962190468584595e-08
1855,2.5223871062962644e-06,1.0454665755332826e-07
1856,2.682301804668441e-06,1.1130956667493308e-07
1857,2.291868515413853e-06,9.518942500896799e-08
1858,3.0438664353482636e-06,4.4043085511979996e-08
1859,3.1052073197201935e-06,7.38365166785826e-08
1860,3.2333226869241116e-06,7.735440910039415e-08
1861,3.458687757529333e-06,1.202570740765907e-07
1862,3.234878178659528e-06,1.0526908278407632e-07
1863,3.0686949799019203e-06,1.0288919249923367e-07
1864,2.8159437341912508e-06,8.774352244778072e-08
1865,3.2637258442491657e-06,6.495445326049065e-08
1866,3.470155043316936e-06,8.56347873723351e-08
1867,3.859926366089894e-06,9.56003880503431e-08
1868,3.6925558788425406e-06,7.903798737718404e-08
1869,3.1996817142498912e-06,6.44624527090798e-08
1870,3.3412301405633116e-06,9.633201658587609e-08
1871,6.199581058297099e-06,1.1152236156775075e-07
1872,4.695759024286872e-06,6.833493704228033e-08
1873,3.928016003129642e-06,8.200826284721074e-08
1874,4.596267025647194e-06,5.3771480768016744e-08
1875,3.72414210403349e-06,8.010137741987222e-08
1876,3.50306107321785e-06,5.622793652904079e-08
1877,3.5939966096520948e-06,9.462768324475235e-08
1878,3.4060460407658866e-06,1.0145668705163757e-07
1879,3.8012222454142375e-06,7.575563543138486e-08
1880,3.0959689425458237e-06,7.893950848547604e-08
1881,3.3628404167984627e-06,5.926631374553182e-08
1882,3.5599654317763907e-06,9.716862559017159e-08
1883,3.2904798814570313e-06,1.1501197072494307e-07
1884,3.5787798609021593e-06,6.93178181521148e-08
1885,3.246022103553514e-06,8.443782439915282e-08
1886,3.983723466660649e-06,7.034275534278933e-08
1887,3.583726794431641e-06,7.312395272629502e-08
1888,3.5386970225204095e-06,8.433017484321681e-08
1889,4.2039068972599125e-06,9.021797192643177e-08
1890,3.865121620094669e-06,7.930807710554433e-08
1891,3.343915878417647e-06,7.840290494609548e-08
1892,3.3304607001127806e-06,7.208789210011446e-08
1893,3.2448696209996797e-06,7.882773256362441e-08
1894,3.895611520476905e-06,7.435816229417469e-08
1895,3.610566913891944e-06,6.620475789809177e-08
1896,3.5217057003933405e-06,1.1322295812021821e-07
1897,3.1598266829746535e-06,8.332200707172888e-08
1898,3.466308250210659e-06,6.903192906193567e-08
1899,3.456947432312063e-06,9.562710800992136e-08
1900,3.3534203041085675e-06,1.2147064210044078e-07
1901,3.701980645587355e-06,1.1624577311852846e-07
1902,2.879881527917405e-06,7.218117326068807e-08
1903,3.053284508780507e-06,7.722314898650495e-08
1904,2.9200338858004216e-06,9.45934033325102e-08
1905,3.1702543346057155e-06,9.753834684378404e-08
1906,3.019636423573502e-06,1.1162880342308057e-07
1907,2.947363441307971e-06,1.0182829868199406e-07
1908,2.7528334740622995e-06,1.0510372927541312e-07
1909,3.018939835897072e-06,1.0616897938575676e-07
1910,2.7351363556249453e-06,9.298822045700206e-08
1911,3.378437604339979e-06,7.608134722225657e-08
1912,2.9589511925109946e-06,9.481146862055922e-08
1913,3.0067952465628878e-06,1.0659009552771437e-07
1914,4.928133513715238e-06,8.437897192070665e-08
1915,1.0943149987951983e-05,5.772573163920214e-08
1916,1.1116015031120696e-05,1.0987461962486123e-07
1917,1.1906247380011337e-05,1.195340296744618e-07
1918,1.0616857338163754e-05,1.458769860462894e-07
1919,8.508051593025812e-06,1.169396723899041e-07
1920,5.425503943001786e-06,1.4538684789400236e-07
