year,vingt - trois paires
1800,0.0
1801,5.229965793773772e-09
1802,4.927008578903269e-09
1803,8.57142268273492e-09
1804,1.9028838948997873e-08
1805,0.0
1806,0.0
1807,0.0
1808,2.2411333233662845e-08
1809,0.0
1810,0.0
1811,0.0
1812,8.762750525193042e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,3.391827263499181e-09
1820,6.474363267727767e-09
1821,0.0
1822,4.385904972536991e-09
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,1.0023107677170628e-08
1829,0.0
1830,1.141392091952298e-09
1831,0.0
1832,4.447881618574456e-09
1833,1.5208534875910118e-08
1834,3.068623133373194e-09
1835,4.979763268408988e-09
1836,7.343489705213813e-10
1837,7.590987838312913e-10
1838,6.882243108741193e-10
1839,7.642578792044219e-10
1840,3.4792697611862877e-09
1841,6.317811163114584e-09
1842,4.401124797936973e-09
1843,7.745013519411259e-09
1844,1.4959935512592892e-08
1845,6.100404625897227e-10
1846,6.406604691200357e-10
1847,1.7671799579233038e-09
1848,1.761803325450728e-08
1849,5.504526612298832e-09
1850,0.0
1851,0.0
1852,0.0
1853,1.307408403761201e-09
1854,0.0
1855,1.1635575836166367e-09
1856,1.1342280448189968e-09
1857,3.2098184110651573e-09
1858,6.969284260804898e-09
1859,1.1148520995263311e-09
1860,4.5161838713170255e-09
1861,1.0327687594013923e-09
1862,0.0
1863,0.0
1864,1.0499079383663457e-09
1865,0.0
1866,0.0
1867,2.1293327101545856e-09
1868,3.78693787439488e-09
1869,2.1429249486004665e-09
1870,1.256657666814931e-09
1871,6.99895519318261e-09
1872,0.0
1873,0.0
1874,1.3110328378473923e-09
1875,0.0
1876,0.0
1877,4.084536264770122e-09
1878,7.311521166286639e-09
1879,4.704370226704668e-09
1880,7.066983109815794e-10
1881,0.0
1882,3.6638168054992093e-09
1883,0.0
1884,0.0
1885,5.6816671367698746e-09
1886,1.4222925059925728e-09
1887,7.20262405273786e-10
1888,6.290117315899124e-09
1889,5.53124968050156e-09
1890,5.783179712892661e-09
1891,0.0
1892,4.150312982176274e-09
1893,3.396470882321978e-09
1894,1.3917619279268933e-09
1895,0.0
1896,0.0
1897,0.0
1898,6.242592553995507e-10
1899,6.10041017701235e-10
1900,3.4416025584960153e-09
1901,2.466938431311405e-09
1902,5.407152503522639e-10
1903,2.3843969021442035e-09
1904,0.0
1905,2.279158417550775e-09
1906,2.837828638746487e-09
1907,2.2734758520215337e-09
1908,4.339891557236797e-09
1909,1.8198196283236712e-09
1910,0.0
1911,0.0
1912,0.0
1913,5.851100159937062e-10
1914,4.431956135420023e-09
1915,1.1689287759963918e-08
1916,0.0
1917,1.206102329120995e-09
1918,0.0
1919,1.0134946215600849e-09
1920,0.0
1921,0.0
1922,1.6287773352274826e-09
1923,0.0
1924,0.0
1925,1.2185186193391928e-09
1926,0.0
1927,0.0
1928,0.0
1929,1.2342626920514022e-09
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,1.3263738996016627e-09
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,3.3643954289175326e-09
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,2.35255281921809e-09
1951,3.5397178521634487e-09
1952,0.0
1953,0.0
1954,1.0806723294010112e-09
1955,0.0
1956,1.929378212750521e-09
1957,0.0
1958,0.0
1959,0.0
1960,3.061346287580591e-09
1961,2.3004387283975802e-09
1962,2.0982773296651658e-09
1963,3.566091644202629e-09
1964,6.711313171869904e-10
1965,1.8101590226748954e-09
1966,5.499517286011724e-09
1967,2.715943248077224e-09
1968,2.9645605970074485e-09
1969,5.492014842900517e-09
1970,5.057877672243194e-09
1971,5.666332403286845e-10
1972,3.957103089646807e-09
1973,6.093281434971232e-09
1974,2.48771603317266e-09
1975,2.5262267833170426e-09
1976,2.5245472379253897e-09
1977,5.1957287361403814e-09
1978,5.234775724005658e-09
1979,2.5765780620190526e-09
1980,4.383167162558266e-09
1981,0.0
1982,2.0456143445812813e-09
1983,2.776772589641041e-09
1984,0.0
1985,7.269255419828369e-09
1986,3.2917717440739125e-09
1987,4.02820798939274e-09
1988,3.951488025677463e-09
1989,4.82224526976438e-09
1990,5.9699956089787065e-09
1991,1.2859849851665217e-09
1992,7.845546434737116e-09
1993,5.459464436086137e-09
1994,5.196032937249129e-09
1995,3.5573148871037574e-09
1996,4.0834722270233215e-09
1997,4.710816181585642e-09
1998,5.202560160455505e-09
1999,7.477714447645667e-09
2000,1.1079911210742921e-08
2001,7.643946808855162e-09
2002,2.38667308138929e-09
2003,7.26069160350562e-09
2004,2.8779920668853265e-09
2005,5.395428992471807e-09
2006,7.179869587758958e-09
2007,1.308907204844445e-09
2008,3.2541866978874623e-09
2009,5.21569676337208e-09
2010,6.2122351707216694e-09
2011,6.714282463349264e-09
2012,8.998956246841772e-09
2013,7.084447251060055e-09
2014,6.466919000303051e-09
2015,6.863966284242906e-09
2016,8.482206048654461e-09
2017,1.0598275146378455e-08
2018,5.72998759551524e-09
2019,4.815252196976871e-09
