year,les_DET eaux_NOUN,les_DET pots_NOUN
1800,6.798626600357238e-05,1.5217755873209171e-06
1801,5.570538405663683e-05,1.4453777978928883e-06
1802,6.57835489619174e-05,1.0517848352264991e-06
1803,6.877285841255798e-05,1.92498482931569e-06
1804,6.552382501467946e-05,2.224665820449445e-06
1805,6.032870669514523e-05,2.0070716999498472e-06
1806,5.051277844358992e-05,6.224405062482674e-07
1807,5.490352896231343e-05,1.6227644010768927e-06
1808,5.092548053653445e-05,5.370595275167034e-07
1809,5.907139029659447e-05,2.07604908553094e-06
1810,5.2238649459468434e-05,8.939284157349903e-07
1811,5.3568709972751094e-05,2.023210925017338e-06
1812,5.794242997581023e-05,9.975358921110455e-07
1813,4.849650667893002e-05,6.269116745727388e-07
1814,4.401571959533612e-05,5.947219605673126e-07
1815,5.169229098100914e-05,6.931864575676627e-07
1816,5.242188080956112e-05,9.942521081995892e-07
1817,4.4865978225061554e-05,7.052636732396422e-07
1818,5.1160924613213865e-05,7.89181967775221e-07
1819,4.7381931381096365e-05,6.376246588501999e-07
1820,3.839281180262333e-05,4.0464699679887417e-07
1821,3.80860542463779e-05,6.281768207827554e-07
1822,4.8787653213366866e-05,7.739775469417509e-07
1823,3.7892198633926455e-05,7.115534472745821e-07
1824,4.0812080214891466e-05,6.467414834787633e-07
1825,4.547130765786278e-05,1.206345643822715e-06
1826,4.5599815848618164e-05,6.359364945751622e-07
1827,4.266859968993231e-05,9.21727284719509e-07
1828,4.227238491694152e-05,7.924868441477884e-07
1829,4.606024685926968e-05,8.050212230159559e-07
1830,4.466026530280942e-05,8.35990569214573e-07
1831,4.8145645450858865e-05,8.840213894245608e-07
1832,4.258693161318661e-05,7.509132871064139e-07
1833,5.670186237693997e-05,1.1236119945579048e-06
1834,4.441183205017296e-05,7.728991846533972e-07
1835,5.218606474954868e-05,6.640391063683637e-07
1836,4.175064509581716e-05,6.633380209564166e-07
1837,4.713414455181919e-05,6.923101238953677e-07
1838,4.5350988330028486e-05,5.472644488691003e-07
1839,4.228024772601202e-05,6.683849989030932e-07
1840,4.3711350599551224e-05,5.630804693623759e-07
1841,4.367578185338061e-05,5.219906071829428e-07
1842,3.850678172057087e-05,6.433226289459526e-07
1843,4.213517991047411e-05,5.203988635571477e-07
1844,4.2020973978651455e-05,7.656543203893307e-07
1845,4.3623432247841265e-05,6.992025589624973e-07
1846,4.385255556371703e-05,7.751359660801427e-07
1847,3.948055450564425e-05,6.541980255292401e-07
1848,4.3825539705721894e-05,6.67753386807135e-07
1849,4.31640432907443e-05,6.946535151541866e-07
1850,3.981474583270028e-05,6.062573447707109e-07
1851,4.472298724067514e-05,7.191124140604188e-07
1852,4.753544521918229e-05,6.543097939015752e-07
1853,4.7953417379176244e-05,7.417139080700963e-07
1854,4.652613529287919e-05,6.738776789916301e-07
1855,4.722218659480859e-05,9.823140629805494e-07
1856,4.4654809698840836e-05,7.165229689576336e-07
1857,4.9362308800482424e-05,9.435956940251344e-07
1858,4.278541041458084e-05,7.399238270977548e-07
1859,4.789290733242524e-05,7.510955555289911e-07
1860,4.40297640125209e-05,6.874930065237095e-07
1861,4.351419875092688e-05,6.838147612597822e-07
1862,4.55652457276301e-05,7.106792665467765e-07
1863,4.365847894405306e-05,8.85046830489955e-07
1864,4.697203030445962e-05,6.324246157873858e-07
1865,4.387814396977774e-05,5.808245759908459e-07
1866,4.269624105290859e-05,6.286372027375364e-07
