year,as_VERB assez_ADV,as_VERB passé_VERB
1800,1.0690159513160324e-07,5.973912209356058e-08
1801,7.143547975374531e-08,4.524246932646747e-08
1802,1.4098392853156838e-07,2.9091921760482364e-08
1803,9.361627917314763e-08,7.801356893821776e-09
1804,9.640218934237055e-08,9.39303390623536e-08
1805,6.822906328807221e-08,2.2743021688143017e-08
1806,7.780506905419315e-08,2.305335300434308e-08
1807,3.9857372513552036e-08,1.1387820464392462e-08
1808,2.4926814390369145e-08,1.5862518409903714e-08
1809,8.584316191218022e-08,9.036122072814123e-09
1810,7.722418615685456e-08,5.616304221689461e-08
1811,3.259199843341776e-08,5.0141535368197765e-09
1812,3.467370746079723e-08,2.1337665856435706e-08
1813,9.202373263406116e-08,3.4508900625951355e-08
1814,3.776012391654149e-08,3.4613449884091096e-08
1815,4.315557688983063e-08,8.091670444798638e-09
1816,8.1116134253989e-08,1.3905623319487859e-08
1817,6.85024303948012e-08,7.784366928831332e-09
1818,5.126106117359086e-08,2.1458118837358597e-08
1819,6.83169290027763e-08,2.794783426907088e-08
1820,5.814575843032799e-08,3.9159388620646496e-08
1821,4.339054981983281e-08,7.100271659510327e-08
1822,1.012587205195814e-07,3.909990198280866e-08
1823,7.906149335212831e-08,6.127265805844218e-08
1824,3.705289586264371e-08,1.3473780313688621e-08
1825,4.490776106536032e-08,2.4655239627691117e-08
1826,6.870227764466108e-08,1.6735169694470642e-08
1827,5.438191053031005e-08,3.3182182335167454e-08
1828,3.5771975603893225e-08,3.393751413227619e-08
1829,4.029392641768936e-08,1.800366966620004e-08
1830,6.262101237552997e-08,2.0873670791843324e-08
1831,3.4300654760954785e-08,3.1182413096075834e-08
1832,4.329590197471589e-08,3.788391467196561e-08
1833,6.139323005527331e-08,6.255159235024621e-08
1834,8.214387037241977e-08,3.080395316601425e-08
1835,6.806779140333674e-08,3.2521278114927554e-08
1836,7.728862527756064e-08,3.965242711956307e-08
1837,8.558205877307046e-08,2.7831564608504777e-08
1838,5.9334322344284374e-08,2.5879863585487328e-08
1839,6.432156851587933e-08,3.2859933440931854e-08
1840,4.522479102320176e-08,2.6752692505738196e-08
1841,4.365973182984817e-08,2.953452238330101e-08
1842,6.976596012009395e-08,6.439934452373564e-08
1843,5.729703644874462e-08,3.898561473647533e-08
1844,4.8299337862545144e-08,4.555505839221041e-08
1845,9.263178668561522e-08,4.1293688468613254e-08
1846,4.742146231251354e-08,3.102885770545072e-08
1847,5.177494699637464e-08,3.289866512545814e-08
1848,6.033916122305527e-08,2.011305433313737e-08
1849,3.5193544078993e-08,9.217356655710773e-09
1850,5.4311968256115506e-08,2.9192683825840504e-08
1851,6.384944128967618e-08,1.9993260380601896e-08
1852,5.338647213193326e-08,4.101643469311966e-08
1853,6.031650912063924e-08,3.702597695109944e-08
1854,8.105236304345453e-08,5.143707682009335e-08
1855,6.527533003009012e-08,4.988520885262915e-08
1856,6.160855292591805e-08,3.6240326295455816e-08
1857,4.1004675210842834e-08,4.246912865824015e-08
1858,8.417122643322728e-08,3.0830157982109085e-08
1859,7.434572779629889e-08,4.430190969628711e-08
1860,6.957319698130959e-08,7.82698421630812e-08
1861,6.225072013421595e-08,5.8006353498285534e-08
1862,6.551080389272101e-08,4.472806480748659e-08
1863,6.093437576737415e-08,5.1444594362237694e-08
1864,6.664672014267126e-08,4.9865171547480713e-08
1865,5.036323358353911e-08,6.354240156269952e-08
1866,7.395731671522299e-08,4.6223323835192787e-08
1867,9.365925990323376e-08,3.88224918879132e-08
1868,5.285665238830006e-08,2.420538258718352e-08
1869,6.104399119521986e-08,4.981189505315342e-08
1870,6.250112960515253e-08,5.791389412479475e-08
1871,8.603153389685758e-08,6.054071377548098e-08
1872,4.9588180672799353e-08,3.4469834986339265e-08
1873,6.46488516053978e-08,4.42964314117944e-08
1874,6.572069821686455e-08,5.317401985394099e-08
1875,6.865832347102696e-08,7.209123964457831e-08
1876,7.980739269441983e-08,5.018192439365521e-08
1877,7.421779457672528e-08,5.813727099734933e-08
1878,6.824170384334138e-08,3.985798358030479e-08
1879,7.758843167948726e-08,4.643087336830831e-08
1880,6.161132404258751e-08,6.674559926977963e-08
1881,8.715634436384789e-08,5.0899306103247e-08
1882,7.587139094766826e-08,4.858431168486277e-08
1883,7.393626333396242e-08,3.6020232130340446e-08
1884,4.951272813968899e-08,5.809493330843907e-08
1885,7.541393642895855e-08,5.220964993668531e-08
1886,5.162771188338411e-08,5.8726520535401505e-08
1887,6.790081386043312e-08,3.525619263200497e-08
1888,7.672143453874014e-08,5.07249175996094e-08
1889,5.6386230795624215e-08,3.821733329800736e-08
1890,5.1124214195397144e-08,4.129263331265065e-08
1891,9.625072294738857e-08,4.461954006274027e-08
1892,7.14610379759506e-08,5.328235630486233e-08
1893,6.343169189904074e-08,4.8035648347877213e-08
1894,4.978215883966186e-08,5.041231432301174e-08
1895,5.838056083007359e-08,6.078800396380757e-08
1896,6.486732218036195e-08,4.776593343081004e-08
1897,8.157398667663074e-08,6.176316702521945e-08
1898,5.8846890027552945e-08,4.0740154361174064e-08
1899,4.864268987603282e-08,4.532614283903058e-08
1900,5.7620688664883346e-08,5.0353214930964896e-08
1901,4.5827658112784775e-08,3.7444550571308355e-08
1902,4.615666782115113e-08,4.271947062761683e-08
1903,6.75027536090056e-08,3.94216073118514e-08
1904,5.8045952044949445e-08,4.3534463145533664e-08
