year,trois_DET anneaux_NOUN,trois_DET panneaux_NOUN
1800,7.231578535993322e-08,2.829747991484055e-08
1801,1.166779455274991e-07,1.1905912700171939e-08
1802,1.3427040812530322e-07,3.1329761895904085e-08
1803,2.0478562134940148e-07,4.6808139586573816e-08
1804,6.673997354766925e-08,7.4155526164076946e-09
1805,7.107194477384837e-08,0.0
1806,6.916005901302924e-08,7.780506905419315e-08
1807,1.708173016368164e-07,2.8469551160981155e-09
1808,1.0423940466353088e-07,5.6651849433819734e-08
1809,6.325285539787728e-08,1.3554183553310395e-08
1810,9.594519667643908e-08,1.1700633351097167e-08
1811,7.270522672797597e-08,2.5070767684098882e-09
1812,5.867858021701977e-08,0.0
1813,9.202373263406116e-08,0.0
1814,5.3493510066005e-08,9.440030979135372e-09
1815,5.664169577812572e-08,0.0
1816,2.0858435334503156e-07,9.270415546325239e-09
1817,1.5724421587037796e-07,3.113746815941454e-09
1818,8.225612191381515e-08,2.384235475716423e-09
1819,1.0868602373648173e-07,1.6561680027393777e-08
1820,1.0561168028999646e-07,0.0
1821,1.173517123476131e-07,9.861488070583846e-09
1822,1.1028177482330648e-07,1.0025615893027862e-09
1823,1.1760397722326843e-07,3.9530747564242574e-09
1824,8.58953512761218e-08,6.736890156844311e-09
1825,1.0478476886177646e-07,2.289415235168235e-08
1826,1.4180854890355477e-07,2.3781557834112732e-08
1827,1.4378945456527958e-07,5.5303638335502114e-09
1828,1.9720447141935438e-07,3.668920500743411e-09
1829,6.3441500608441e-08,2.571952872898464e-09
1830,7.514521627172144e-08,3.1310507520032616e-09
1831,6.080570358335535e-08,2.0268567268999504e-08
1832,1.8671357793209609e-07,1.0823975604701275e-08
1833,9.614411311531512e-08,5.791814139399776e-09
1834,1.4001796966311986e-07,1.6802156110884425e-08
1835,1.194967893525245e-07,9.075705520444899e-09
1836,6.855165191055335e-08,2.016224964762614e-09
1837,1.0854309540064833e-07,1.3915781416073969e-08
1838,9.65760751370226e-08,4.3553917805638775e-08
1839,8.599514256246721e-08,3.775396706373613e-08
1840,9.490836117009849e-08,1.0191502031187127e-08
1841,6.292137655350416e-08,2.8250413564023802e-08
1842,5.9032732480091e-08,2.817471367322355e-08
