year,devons_VERB unir_VERB,devons_VERB punir_VERB
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,1.730295728918918e-08
1805,0.0,2.842877711017877e-09
1806,2.881669125542885e-09,2.881669125542885e-08
1807,8.540865792383556e-09,0.0
1808,9.064295980465431e-09,2.2660739951163578e-09
1809,2.259030518203531e-09,2.259030518203531e-09
1810,1.8721014072298203e-08,0.0
1811,7.521229861140455e-09,5.0141535368197765e-09
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,6.952811659743929e-09,2.3176038865813098e-08
1817,3.113746815941454e-09,7.784366928831332e-09
1818,0.0,1.1921177378582115e-09
1819,3.1053151161586356e-09,1.7596784473994376e-08
1820,2.1359666035891678e-08,4.034603762193001e-08
1821,4.930744257336528e-09,8.875339574387908e-09
1822,7.017931125119503e-09,1.5038423839541792e-08
1823,6.917880934764753e-09,2.9648061783404955e-09
1824,8.421112696055388e-10,1.1789557774477544e-08
1825,8.805443041381977e-10,3.522177216552791e-09
1826,1.7615968683770689e-09,5.284790383086602e-09
1827,1.8434546111834038e-09,7.373818444733615e-09
1828,1.8344602503717056e-09,1.559291185060374e-08
1829,2.571952872898464e-09,8.573175946935407e-09
1830,2.0873671680021744e-09,8.349468672008697e-09
1831,3.1182412207897414e-09,4.677361609140007e-09
1832,5.411987746839486e-09,1.6235963684607668e-08
1833,2.3167257001688313e-09,3.4750886612755494e-09
1834,9.334530925997342e-10,1.4935249481595747e-08
1835,3.025235173481633e-09,3.025235173481633e-09
1836,1.9490174807401672e-08,8.736974699274924e-09
1837,3.478945576063097e-09,1.3915781860163179e-09
1838,6.312161904276081e-10,1.009945904684173e-08
1839,2.0974426639952526e-09,0.0
1840,2.5478754661634184e-09,6.3696887764308485e-09
1841,3.852329122366882e-09,7.0626033910059505e-09
1842,4.024959032733477e-09,6.037438549100216e-09
1843,4.134837805480629e-09,7.678984559333912e-09
1844,8.232841963717874e-09,2.7442805805577564e-09
1845,6.138250796539069e-09,6.138250796539069e-09
1846,2.3418005312692003e-09,9.367202125076801e-09
1847,2.1572894581822766e-09,2.1572894581822766e-09
1848,7.24069959545659e-09,4.02261068899179e-09
1849,4.1897072478036534e-09,8.379414939696517e-10
1850,2.0366988096043315e-09,5.431196825611551e-09
1851,4.514607354622058e-09,7.094382858952031e-09
1852,5.859490670445666e-09,1.9531636308300904e-09
1853,7.763511611358354e-09,1.3138249599364826e-08
1854,2.0782657816909023e-09,5.195664454227256e-10
1855,0.0,3.714855978387277e-09
1856,6.212626857404757e-09,6.73034605824796e-09
1857,1.4644527812635033e-09,9.763018171682347e-10
1858,1.468102750479261e-09,2.4468380654951716e-09
1859,1.018434669930457e-09,5.601390462572908e-09
1860,2.288591982591015e-09,6.408057640072684e-09
1861,5.187560159214399e-09,3.3011746669586728e-09
1862,5.421583626485926e-09,1.8071945051545413e-09
1863,5.9935452156878455e-09,3.995696662428827e-09
1864,4.794728170054441e-09,5.274200631788517e-09
1865,7.0602665935837194e-09,7.0602665935837194e-09
1866,9.731225603104576e-09,4.865612801552288e-09
1867,6.308654931785895e-09,3.88224918879132e-09
1868,7.409810987013543e-09,8.89177353968762e-09
1869,5.371870948067681e-09,4.883519366671862e-09
1870,8.027668307875047e-09,5.160643912205387e-09
1871,1.0621177271019633e-09,2.1242354542039266e-09
1872,5.442605477412599e-09,8.4662747923403e-09
1873,5.986004469882289e-10,8.979006871356887e-09
1874,5.974609251779839e-09,1.7923826867161097e-09
1875,2.8607636259891933e-09,6.293679799540541e-09
1876,3.02300739996042e-09,3.02300739996042e-09
1877,6.184815992682502e-10,1.1132669008873108e-08
1878,4.22736201599605e-09,6.039088673581716e-10
1879,3.0546627449723474e-09,0.0
1880,6.417846254436199e-10,5.776061406947974e-09
1881,6.972507571312292e-10,0.0
1882,2.6621540527571597e-09,4.6587693702804245e-09
1883,2.5277355764075082e-09,2.5277355764075082e-09
1884,1.3203393933736152e-09,7.2618666635548834e-09
1885,1.2891271383708158e-09,2.5782542767416317e-09
1886,5.162771099520569e-09,3.2267319927115068e-09
1887,1.9586774424595887e-09,6.528924623161458e-10
1888,1.014498351992188e-08,0.0
1889,6.265136742733546e-10,2.5060546970934183e-09
1890,1.3108772956016423e-09,0.0
1891,3.1871101313640793e-09,6.374220040683554e-10
1892,4.387958441043338e-09,2.5074049503359674e-09
1893,6.158416554491453e-10,6.158416554491453e-10
1894,6.301539290376468e-10,5.671385139294216e-09
1895,2.4074457982692365e-09,0.0
1896,2.358811590497112e-09,0.0
1897,5.2440420894583895e-09,1.7480140668268973e-09
1898,1.6975064687230201e-09,0.0
1899,6.633094074004475e-09,2.7637891975018647e-09
1900,0.0,9.863001082521805e-09
1901,5.58873880507349e-09,1.1177477832191585e-09
1902,1.276673788908056e-08,0.0
1903,5.400220270956879e-10,0.0
1904,1.0749250378694342e-09,0.0
1905,2.580379465655369e-09,5.160759042333041e-10
1906,2.0576738091193647e-09,0.0
