year,aux_ADP eaux_NOUN,aux_ADP pots_NOUN
1800,3.361111790667337e-06,6.288328968651058e-08
1801,2.771696440362348e-06,3.095537337571841e-08
1802,3.0389869323244056e-06,3.3567602031325805e-08
1803,3.5242629508047685e-06,1.1702034896643454e-08
1804,3.8115940714789076e-06,1.2359254952798437e-08
1805,3.5933974196211693e-06,8.24434565060983e-08
1806,3.942123427691513e-06,8.645007376628655e-09
1807,2.7359237684265736e-06,5.124519120158766e-08
1808,2.984419516849357e-06,3.852325747288887e-08
1809,3.535382673724996e-06,7.00299480627109e-08
1810,3.3908437382379475e-06,9.360507036149102e-09
1811,2.9458152894790146e-06,2.0056614147279106e-08
1812,3.7740995573187774e-06,3.467370746079723e-08
1813,3.3847480125359652e-06,1.4378708002027452e-08
1814,3.2379308390062533e-06,6.293354282149721e-09
1815,3.1935125974769107e-06,0.0
1816,2.6374332460221694e-06,2.3176038865813098e-08
1817,2.7930308359458422e-06,2.490997452753163e-08
1818,3.6979491540023446e-06,2.026600220972341e-08
1819,2.961435393800116e-06,1.2421260464634543e-08
1820,2.535867004382908e-06,4.746592452420373e-08
1821,3.0827011983092234e-06,7.88919063410276e-09
1822,3.5129758657603816e-06,1.4035862250239006e-08
1823,2.967770878825604e-06,3.063632902922109e-08
1824,2.752019703677888e-06,1.8526447931321854e-08
1825,3.0484444017986334e-06,2.3774695989686734e-08
1826,2.805343047640463e-06,2.2019960965735663e-08
1827,3.2039241801840035e-06,2.3043183361437514e-08
1828,3.0020940897657056e-06,1.2841221419535032e-08
1829,3.2749532152820393e-06,2.6576845613135447e-08
1830,3.222894797261233e-06,3.5485243188304594e-08
1831,4.0007034911582195e-06,4.677361609140007e-09
1832,3.7302125157623323e-06,4.7354891563600177e-08
1833,4.814155886379012e-06,3.59092489077284e-08
1834,3.110265744510343e-06,7.374279675786966e-08
1835,3.806502121506128e-06,1.8151411040889798e-08
1836,2.7373615081316416e-06,5.376600054063374e-09
1837,3.3655317466241286e-06,1.461157062010443e-08
1838,3.2791682169630576e-06,2.7142295522253335e-08
1839,2.9154452469981607e-06,1.677954131196202e-08
1840,2.9867470612288116e-06,1.4013314952876499e-08
1841,3.1569836771438986e-06,1.5409316489467528e-08
1842,2.960357287307147e-06,2.5491406763222813e-08
1843,2.984171503683797e-06,1.772073249250994e-08
1844,3.0132201809252024e-06,3.951764165899263e-08
1845,3.1840780287950565e-06,3.0691253982695343e-08
1846,3.3522874929303725e-06,1.3465353276842507e-08
1847,2.8972396854953786e-06,2.8044762956369595e-08
1848,2.8616852807417104e-06,2.976732105253177e-08
1849,3.248699144364764e-06,1.3407063903514427e-08
1850,2.825580084575563e-06,1.9009189777818847e-08
1851,3.3221058104437873e-06,1.8703371962303095e-08
1852,3.4011089322660837e-06,1.9531636752390114e-08
1853,3.696625697102718e-06,1.791579506971175e-08
1854,3.664502229661082e-06,2.441962332344616e-08
1855,3.744044054343476e-06,3.767925349507095e-08
1856,3.5986641719887302e-06,3.675804194358534e-08
1857,4.2073725019520225e-06,1.1715621417440758e-08
1858,3.873833929191051e-06,2.936205589776364e-08
1859,4.611981612612226e-06,2.291477918525686e-08
1860,4.119007746439252e-06,2.8836257992548298e-08
1861,3.6874119793139926e-06,5.942114206236582e-08
1862,3.82718618041622e-06,3.7499287230957634e-08
1863,3.674542448095508e-06,1.848009678617757e-08
1864,3.6171427453268734e-06,1.869943944132757e-08
1865,3.7061691671169683e-06,1.929806248135435e-08
1866,3.5197844674428325e-06,3.0653360627574955e-08
1867,3.5323615446003487e-06,2.814630661873707e-08
1868,3.5329979581888438e-06,3.2603168165223906e-08
1869,3.425300214132676e-06,3.564968986680128e-08
1870,3.923236146619047e-06,4.472558146062511e-08
