year,six_DET ailes_NOUN,six_DET pelles_NOUN
1800,5.0306631749208464e-08,0.0
1801,3.5717739876872656e-08,0.0
1802,4.2518962573012686e-08,0.0
1803,6.046051481689574e-08,0.0
1804,5.19088700912107e-08,0.0
1805,9.665784261869703e-08,0.0
1806,8.645007376628655e-09,0.0
1807,3.9857372513552036e-08,0.0
1808,8.611080914988634e-08,0.0
1809,4.0662548883574345e-08,2.259030518203531e-09
1810,3.978215445954447e-08,0.0
1811,1.3287507272252697e-07,0.0
1812,3.7340914360584065e-08,2.6672082320544632e-09
1813,3.163315653864629e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,1.780167533382837e-07,0.0
1816,1.1356259221884102e-07,0.0
1817,9.808302792180257e-08,0.0
1818,6.556647713651387e-08,0.0
1819,4.554462107453361e-08,0.0
1820,3.0852850052554004e-08,0.0
1821,2.2681422962023134e-08,0.0
1822,6.015369535816717e-08,0.0
1823,7.412015112784331e-08,2.668325471688604e-08
1824,4.547400767052068e-08,0.0
1825,4.490776106536032e-08,0.0
1826,4.492072036565986e-08,0.0
1827,4.3321183085254233e-08,0.0
1828,4.219258542548232e-08,0.0
1829,5.3153691226270894e-08,0.0
1830,7.827626546941246e-08,0.0
1831,6.080570358335535e-08,3.1182412207897414e-09
1832,1.1635773511375902e-07,0.0
1833,6.023486887052343e-08,0.0
1834,4.6672655740209734e-08,0.0
1835,6.655517381659593e-08,0.0
1836,8.400937401287223e-08,0.0
1837,4.453050106434375e-08,0.0
1838,5.680945891484157e-08,5.680945491803868e-09
1839,4.6842884238174065e-08,0.0
1840,3.885510002632486e-08,0.0
1841,5.714288064950779e-08,0.0
1842,9.794066979651461e-08,0.0
1843,1.0041748876865597e-07,0.0
1844,1.201994876964818e-07,1.097712254427563e-09
1845,1.065823534429633e-07,5.580227946389016e-10
1846,5.620321119614857e-08,3.5127007969038004e-09
1847,6.14827504463733e-08,0.0
1848,8.849743998728954e-08,0.0
1849,5.027649052635752e-08,0.0
1850,1.1201843364005981e-07,1.0183494048021657e-08
1851,8.835731080125697e-08,6.449438760824933e-10
1852,8.073076673831281e-08,0.0
1853,5.673335157219128e-08,0.0
1854,8.676759899461928e-08,4.676098175337984e-09
1855,1.3744967475304293e-07,5.306937111981824e-09
1856,9.267169076565551e-08,0.0
1857,8.103304782736132e-08,9.763018171682347e-10
1858,1.3653356301102093e-07,0.0
1859,7.536416868347828e-08,0.0
1860,8.422018477061144e-08,2.746310290291376e-09
1861,7.781340072288145e-08,0.0
1862,1.1385325415780301e-07,4.517986262886353e-10
1863,6.942522778885518e-08,0.0
1864,1.0452507126501587e-07,0.0
1865,1.0307988973501381e-07,0.0
1866,5.838735595009581e-08,4.865612912574591e-10
1867,1.2083500777748668e-07,1.94112459439566e-09
1868,9.682153234713553e-08,2.9639244392143382e-09
1869,6.250904804883106e-08,0.0
1870,5.447346484999116e-08,0.0
1871,8.603153389685758e-08,1.0621177271019633e-09
1872,2.9027228509725944e-08,0.0
1873,1.2810049554445868e-07,1.1972008939764578e-09
1874,6.930546553318706e-08,0.0
1875,6.408110192479555e-08,5.721527140956084e-10
1876,4.776351603119622e-08,0.0
1877,7.607323548874945e-08,0.0
1878,6.220261350442513e-08,0.0
1879,5.437299321897626e-08,0.0
1880,3.5298153511220676e-08,0.0
1881,3.834879280795178e-08,6.972507571312292e-10
1882,3.3276926103553706e-08,3.3276925659464496e-09
1883,3.728409936343269e-08,6.319338941018771e-10
1884,3.564916273290919e-08,6.601696966868076e-10
1885,4.383032248256313e-08,0.0
1886,5.3563748991791726e-08,1.2906927748801422e-09
1887,3.395040970577412e-08,3.264462256069578e-09
1888,4.2482119155806686e-08,0.0
1889,6.077182790331648e-08,0.0
1890,5.964491833765351e-08,1.3108772956016423e-09
1891,4.2707275382802834e-08,0.0
1892,5.0148097896496324e-08,0.0
1893,8.991288247273133e-08,0.0
1894,4.7891697274593525e-08,0.0
1895,3.7315409429083957e-08,4.213029924926559e-09
1896,3.597187614445829e-08,1.179405795248556e-09
1897,2.155884004650943e-08,5.826713556089658e-10
