year,quelques_DET hommes_NOUN,quelques_DET pommes_NOUN
1800,6.8259810745985305e-06,1.3519907327008696e-07
1801,5.345755027974519e-06,1.4287095462250932e-07
1802,4.623377662937855e-06,8.727576528144709e-08
1803,4.4175181983519e-06,8.58149284965748e-08
1804,5.4158253988134675e-06,8.65147817830092e-08
1805,4.599776275426848e-06,4.5486042488107614e-08
1806,4.2706334681952285e-06,4.3225035994964855e-08
1807,4.7544149310851935e-06,6.832692633906845e-08
1808,3.621186181135272e-06,3.6257184365950934e-08
1809,4.012038232303894e-06,7.454800710071652e-08
1810,4.347955552930216e-06,6.084329573496916e-08
1811,2.7903764703296474e-06,2.0056614147279106e-08
1812,3.5607230870482454e-06,8.535066342574282e-08
1813,4.805364170579196e-06,1.4091133948568313e-07
1814,7.4418913413865084e-06,5.349351184236184e-08
1815,8.639206896532414e-06,5.664169577812572e-08
1816,5.956242119964372e-06,5.7940097164532745e-08
1817,6.235278135591216e-06,8.407116391939695e-08
1818,7.618824440669414e-06,9.536941547594324e-08
1819,6.746814563030057e-06,8.280840235741493e-09
1820,8.186685420241702e-06,7.35721794598021e-08
1821,7.0489916197402636e-06,7.001656854299654e-08
1822,6.022387395887563e-06,6.316138012607553e-08
1823,7.96050426288275e-06,8.696764552951208e-08
1824,7.42489498861687e-06,3.115811608722652e-08
1825,6.6877341851068195e-06,6.251864870243651e-08
1826,5.8634751098907145e-06,5.725189922145546e-08
1827,6.598645938993286e-06,4.608636500202934e-08
1828,6.188551708419254e-06,6.970948618345574e-08
1829,6.212123537352454e-06,3.8579291317120123e-08
1830,6.356033054544241e-06,6.470838243011201e-08
1831,7.3169531447092595e-06,5.924658252887127e-08
1832,6.48491419497077e-06,7.576782601326215e-08
1833,6.487990447112679e-06,1.6101243360822082e-07
1834,6.8132742967463855e-06,9.33453085938396e-08
1835,6.148790617999111e-06,4.689114518896531e-08
1836,6.1165545730546e-06,9.274635004441478e-08
1837,6.832648921317741e-06,9.114836962975659e-08
1838,6.124690514752729e-06,4.1029051267571504e-08
1839,6.378322723321617e-06,6.921560402606275e-08
1840,7.146153905068786e-06,1.05099864811109e-07
1841,6.316535689165903e-06,9.438206660661308e-08
1842,6.643194922162365e-06,7.848670202648123e-08
1843,6.072895473607787e-06,4.312044954435379e-08
1844,6.382098945323378e-06,8.781697902193741e-08
1845,6.152201251552469e-06,8.370341797458991e-08
1846,5.757902044933871e-06,9.133022094154342e-08
1847,7.219369024369371e-06,6.687597498000741e-08
1848,6.496516675724706e-06,8.527935235758122e-08
1849,6.951562568247027e-06,7.625267550714909e-08
1850,6.076830402435007e-06,1.093028334508972e-07
1851,5.81481378958415e-06,7.803820700758024e-08
1852,5.0072605972673045e-06,5.208436171244557e-08
1853,4.854583579572136e-06,6.927440976411958e-08
1854,4.924450735188657e-06,5.923057538881338e-08
1855,4.821883010208694e-06,5.1477289986223695e-08
1856,4.915223655643786e-06,6.367942861906783e-08
1857,5.342323618151568e-06,6.150701614693332e-08
1858,5.093827326163591e-06,5.823474535926465e-08
1859,5.584077428011369e-06,6.212451264531182e-08
1860,5.567228868130769e-06,7.82698426071704e-08
1861,5.7846011713991174e-06,7.121105438656627e-08
1862,5.285140559863066e-06,7.725756759335844e-08
1863,5.16044224241341e-06,7.641770150002003e-08
1864,5.0234363868639775e-06,7.000302537640835e-08
1865,4.352889732217591e-06,6.824924558834766e-08
1866,4.420409226213451e-06,6.665889573653772e-08
1867,4.152550843627978e-06,8.735060852416154e-08
1868,4.19494108427898e-06,9.68215312369125e-08
1869,4.34096017443153e-06,6.202069202654314e-08
1870,4.56716981034333e-06,5.6193679043303746e-08
1871,5.596298194632254e-06,1.3488895156399394e-07
1872,5.330124963620619e-06,8.042961563425877e-08
1873,4.143512256860049e-06,8.320546046602928e-08
1874,4.033458594676631e-06,7.886484043595487e-08
1875,4.08517047389978e-06,5.835957739286357e-08
1876,3.817453688270689e-06,7.25521784872285e-08
1877,3.5605985715392308e-06,6.865145707468656e-08
1878,3.348070634956457e-06,8.817069518940457e-08
1879,3.6576530817455932e-06,6.842444111310186e-08
1880,3.4605027110501396e-06,5.71188329967498e-08
1881,3.114619175903499e-06,8.367009179943707e-08
1882,3.2138855203811545e-06,7.187815720399726e-08
1883,2.8607647379885748e-06,5.3714379888436525e-08
1884,3.15891210789232e-06,7.723985540053491e-08
1885,3.1403135949403804e-06,4.2541193845391234e-08
1886,3.039581542907399e-06,6.582532985355272e-08
1887,2.8616276779303007e-06,8.1611556235206e-08
1888,3.0320818495965796e-06,1.0208389999988299e-07
1889,3.1814363978810434e-06,5.0121095274135996e-08
1890,2.7253139478489175e-06,8.258526884574735e-08
1891,3.0290294432688825e-06,7.394095558055369e-08
1892,2.704863078406561e-06,6.205826919014612e-08
1893,2.8531943883081112e-06,4.8651490280882115e-08
1894,2.9623536761391733e-06,6.9947086567268e-08
1895,3.186856332604293e-06,5.2963808006012414e-08
1896,2.896030849797171e-06,7.312315664087521e-08
1897,2.753122231524685e-06,6.992056500454424e-08
1898,2.7177078436579905e-06,8.317781940991864e-08
1899,2.5028874119925604e-06,5.859233098703953e-08
1900,2.6718350909504807e-06,4.516216278727114e-08
1901,2.5814385651301563e-06,6.594712026464222e-08
1902,2.400146826175842e-06,5.057592189494642e-08
1903,2.421998857471408e-06,6.264255580923361e-08
1904,2.5454225749399484e-06,7.201997398453841e-08
1905,2.437942612232291e-06,6.244518635512009e-08
1906,2.271157512723221e-06,5.504277511558797e-08
1907,2.3065653067533276e-06,5.554270765539826e-08
1908,2.41198321759839e-06,1.0461258770355641e-07
1909,2.2713560667853017e-06,6.656190176812515e-08
1910,2.4887709173526673e-06,5.451033846526343e-08
1911,2.3925722132389637e-06,7.55493109183547e-08
1912,2.3682028427174373e-06,8.12669724292725e-08
1913,2.239452498997707e-06,7.212066088779778e-08
1914,2.1905049152337597e-06,8.504864634772957e-08
1915,2.5929456342055346e-06,1.4843759910121435e-07
1916,3.0083670310432353e-06,1.7470064417324238e-07
1917,3.2636079367875936e-06,7.566833204464274e-08
1918,2.8796344793136086e-06,9.189101035644853e-08
1919,2.4953268109584315e-06,8.931612949236722e-08
1920,2.17777392208518e-06,6.815008246618959e-08
1921,1.963613385669305e-06,6.512562578109282e-08
1922,2.1152540909952222e-06,8.484625513283106e-08
1923,1.996859793962358e-06,8.705077725323918e-08
1924,2.110358963136605e-06,5.027733596119077e-08
1925,2.0368625541777874e-06,4.2892892793133797e-08
1926,2.039743378645653e-06,3.9011483488060605e-08
1927,1.968953171171961e-06,5.6861046648926106e-08
1928,1.7207618299153182e-06,6.512843575556815e-08
1929,1.7702106163142162e-06,5.5702033430193865e-08
1930,2.0355983281206136e-06,4.3064773969092585e-08
1931,1.9024134587652952e-06,3.877821175279905e-08
1932,1.8006518445190522e-06,8.877224577652498e-08
1933,1.9603361636200134e-06,7.341223895451776e-08
1934,1.7864536090428373e-06,6.350237491403732e-08
1935,1.680347139654259e-06,5.0266792506192814e-08
1936,1.6732106473682506e-06,6.911087080396783e-08
1937,1.6444000578985651e-06,6.799204044227736e-08
1938,1.8890317505793064e-06,3.759912203804561e-08
1939,1.8031685442565504e-06,7.647025412893527e-08
