year,des_DET airs_NOUN,des_DET paires_NOUN
1800,1.9305169658423438e-06,6.288328791015374e-08
1801,1.514432067750704e-06,7.143547975374531e-09
1802,1.609007057368217e-06,7.161088433349505e-08
1803,1.7045964781914336e-06,7.80135707145746e-08
1804,2.031861363605003e-06,5.19088700912107e-08
1805,1.6289689126480766e-06,2.2174445746259153e-07
1806,2.4321286673512077e-06,5.76333825108577e-09
1807,1.6853974180719433e-06,1.4234776024579787e-08
1808,1.8400520644945573e-06,4.305540457494317e-08
1809,1.6468332475483294e-06,1.8072244145628247e-08
1810,2.5975406430234216e-06,2.3401267590372754e-09
1811,2.2062274780410007e-06,2.2563691359778204e-08
1812,1.7150148821087896e-06,1.0668832928217853e-08
1813,2.2286997882758897e-06,1.1502966579257645e-08
1814,2.0359000529879268e-06,3.1466771410748606e-09
1815,1.151714417169103e-06,4.315557688983063e-08
1816,1.3418926556596489e-06,1.3905623319487859e-08
1817,1.6627408570002444e-06,7.317304806520042e-08
1818,1.6308170760481744e-06,1.0729059329861457e-07
1819,1.495726777989148e-06,1.8631890696951814e-08
1820,1.940169710223927e-06,2.7292905713238724e-08
1821,1.4900709235377008e-06,1.8736827200882544e-08
1822,1.6903187969319333e-06,4.912551787583652e-08
1823,1.6691858242268154e-06,7.807322788266902e-08
1824,1.5318003860897988e-06,6.652678763430231e-08
1825,1.7681329573804305e-06,8.629334047327575e-08
1826,1.4621254500468694e-06,4.315912249808207e-08
1827,1.1825761010442193e-06,2.2121454890111636e-08
1828,1.3740107824844472e-06,5.13648868438743e-08
1829,1.3717082136821546e-06,9.173298565201549e-08
1830,1.652151127018442e-06,5.635891398014792e-08
1831,1.4437456314908559e-06,4.989185953263586e-08
1832,1.6290083664216581e-06,4.329590197471589e-08
1833,1.692368128303201e-06,3.1275796175123105e-08
1834,1.4617875230271693e-06,4.947301479596433e-08
1835,2.072286044096927e-06,6.655517381659593e-08
1836,1.4785650712667575e-06,5.645430078971003e-08
1837,1.4423708147859315e-06,7.444943583845287e-08
1838,1.5433235649453536e-06,4.481634818809255e-08
1839,1.7059199706181971e-06,4.754203075663099e-08
1840,1.4790416997811917e-06,3.885510224677091e-08
1841,1.596790447422336e-06,3.852328944731198e-08
1842,1.6992035796192795e-06,4.762868144325694e-08
1843,1.7130041811697083e-06,2.3627643841450663e-08
1844,1.6449218165348611e-06,4.9397051782307244e-08
1845,1.343718853519249e-06,6.194053092656304e-08
1846,1.5087050151407766e-06,5.1519613464279246e-08
1847,1.3671822181038351e-06,5.555020354819362e-08
1848,1.5519232903216107e-06,4.746680914990975e-08
1849,1.539298523312027e-06,2.6814127807028854e-08
1850,1.2220192786571715e-06,4.955967014552698e-08
1851,1.2756989651308004e-06,6.191461210391935e-08
1852,1.5840156546431672e-06,6.315229228448516e-08
1853,1.6166019918273378e-06,4.777545470346922e-08
1854,1.4360816216196781e-06,2.8576154775805662e-08
1855,1.7979903113030105e-06,5.200798369742188e-08
1856,1.812533945155792e-06,5.5913645269356493e-08
1857,1.770035183312757e-06,6.443591710203478e-08
1858,1.914895452870269e-06,6.753272691062406e-08
1859,1.8591524533206893e-06,4.124660435422811e-08
1860,1.9251635201555928e-06,3.6617471499411636e-08
1861,1.9288291834840265e-06,1.6977470096435354e-08
1862,1.8026765253864596e-06,4.337266912290971e-08
1863,1.7641001193169359e-06,2.2475793670651e-08
1864,1.7898718951414594e-06,1.534312921158687e-08
1865,1.7490633963390678e-06,3.6242702672328875e-08
1866,1.8270376607176786e-06,6.47126516817309e-08
