year,dernières_ADJ îles_NOUN,dernières_ADJ iles_NOUN,dernières_ADJ piles_NOUN
1800,8.803660733747165e-08,9.432493452976587e-09,0.0
1801,1.4287095950749062e-08,0.0,0.0
1802,2.9091921760482364e-08,0.0,0.0
1803,7.996391104825307e-08,1.950339223455444e-09,1.5602713787643552e-08
1804,4.2021465418429216e-08,0.0,2.4718509461507665e-09
1805,1.1371510844071508e-08,0.0,1.7057265822018053e-08
1806,3.458002950651462e-08,0.0,1.4408345627714425e-08
1807,1.4804166426074516e-07,8.540865792383556e-09,0.0
1808,5.211970233176544e-08,2.2660739951163578e-09,0.0
1809,6.777091243748146e-08,2.259030518203531e-09,0.0
1810,3.7442028144596406e-08,0.0,1.8721014072298203e-08
1811,9.526891631139733e-08,0.0,0.0
1812,2.400487453257938e-08,0.0,1.0668832928217853e-08
1813,6.326631307729258e-08,5.751483289628823e-09,2.8757416448144113e-09
1814,0.0,0.0,0.0
1815,5.664169577812572e-08,0.0,0.0
1816,8.806894413737609e-08,0.0,0.0
1817,5.7604317760251433e-08,0.0,0.0
1818,4.053200441944682e-08,0.0,0.0
1819,5.175524897538253e-09,0.0,1.6561680027393777e-08
1820,9.137190204455692e-08,0.0,0.0
1821,1.4792232327920374e-08,9.86148829262845e-10,0.0
1822,5.81485721795616e-08,1.0025615893027862e-09,0.0
1823,3.261286707356703e-08,9.882686891060644e-10,0.0
1824,3.789500624407083e-08,0.0,0.0
1825,1.6730341556581152e-08,0.0,1.2327619813845558e-08
1826,8.015265962058038e-08,4.403992281964975e-09,0.0
1827,8.295545583791863e-09,0.0,0.0
1828,3.118582370120748e-08,9.172301251858528e-10,0.0
1829,3.0006116702452346e-08,6.001223074036943e-09,0.0
1830,4.174734158368665e-08,1.0436835840010872e-09,1.0436835840010872e-09
1831,2.6505050598757407e-08,0.0,0.0
1832,4.058990654698391e-08,0.0,5.411987746839486e-09
1833,1.1351956175076339e-07,8.108539617524002e-09,1.1583628500844156e-09
1834,6.440826183506942e-08,0.0,0.0
1835,3.327758690829796e-08,2.2689263801112247e-09,6.806779140333674e-09
1836,3.293167694096155e-08,6.720750067579218e-10,0.0
1837,5.218418053232199e-08,2.087367279024477e-09,3.478945576063097e-09
1838,3.471689069556305e-08,1.8936485712828244e-09,0.0
1839,3.635567225046543e-08,2.0974426639952526e-09,5.5931801412612e-09
1840,2.5478755105723394e-08,1.2739377330817092e-09,1.9109065441114126e-09
1841,2.118781061710706e-08,6.420548537278137e-10,4.494383976094696e-09
1842,4.628702754416736e-08,6.708265054555795e-09,1.341653010911159e-09
1843,4.134837894298471e-08,4.7255288571079745e-09,2.953455480181333e-09
1844,2.6893950177964143e-08,1.6465683816413446e-09,0.0
1845,1.5066614622583074e-08,1.1160455892778032e-09,1.674068439427856e-09
1846,3.805426018743674e-08,1.7563503984519002e-09,1.7563503984519002e-09
1847,4.7460368080010085e-08,2.1572894581822766e-09,0.0
1848,4.103063133698015e-08,8.045221711050488e-10,0.0
1849,1.4245005175439474e-08,3.3517659758786067e-09,2.513824481908955e-09
1850,1.3577992064028876e-08,1.3577992064028876e-09,6.788996032014438e-09
1851,2.257303499675345e-08,2.579775504329973e-09,0.0
1852,1.3021090872200602e-08,1.3021090872200602e-09,7.161600201754936e-09
1853,2.448492075757258e-08,4.180352286553557e-09,4.180352064508952e-09
1854,3.221311928314208e-08,2.0782657816909023e-09,1.0391328908454511e-09
1855,3.131092896069276e-08,1.0613874223963649e-09,3.1841622671890946e-09
1856,2.2261913201759853e-08,1.0354378465748937e-09,4.659470143053568e-09
1857,2.2943092758964667e-08,9.763018171682347e-10,4.881508974818871e-09
1858,8.31924928945682e-09,3.9149408159744326e-09,2.4468380654951716e-09
1859,2.3933214521321133e-08,0.0,3.5645213447565993e-09
1860,2.9751696217772405e-08,4.577183909670879e-10,9.15436793036406e-09
1861,2.169343282787395e-08,9.431927461278633e-10,7.073945429425521e-09
1862,2.710791768834042e-08,1.8071945329101169e-09,4.9697850279528666e-09
1863,1.897955925755923e-08,1.9978483312144135e-09,8.490855130105501e-09
1864,1.342523781033833e-08,0.0,8.63051052846231e-09
1865,2.447559133145205e-08,9.41368871743009e-10,9.413688495385486e-09
1866,1.9949013108089275e-08,4.865612912574591e-10,8.271541673821048e-09
1867,1.552899675516528e-08,5.82337378318698e-09,5.338092634588065e-09
1868,1.975949714960734e-08,9.87974813071446e-10,0.0
1869,2.0999133099053324e-08,4.883519144627257e-10,1.953407657850903e-09
1870,1.4335121534259088e-08,1.7202146374017957e-09,1.834895613228582e-08
1871,1.6993883633631413e-08,3.18635318130589e-09,0.0
1872,2.9027228620748247e-08,6.047339295989218e-10,2.4189357183956872e-09
1873,1.97538145840781e-08,1.1972008939764578e-09,2.3944017879529156e-09
1874,1.7326366119618797e-08,4.182226565063729e-09,3.5847653734322193e-09
1875,2.803548326824057e-08,1.1443054281912168e-09,5.149374260327022e-09
1876,2.7811667635546655e-08,1.209202959984168e-09,4.232210137899983e-09
1877,3.0924081073635534e-08,3.092407996341251e-09,1.2369632429454214e-08
1878,2.717589886458427e-08,1.2078177347163432e-09,1.0266450800600069e-08
1879,9.774920428640144e-09,6.10932526790009e-10,1.832797580370027e-09
1880,2.8238524407697696e-08,1.2835692508872398e-09,7.701415505323439e-09
1881,2.7890029841159958e-08,1.3945015142624584e-09,0.0
1882,3.527354053289855e-08,1.9966155395678697e-09,1.3310770263785798e-09
1883,2.5277355764075082e-09,0.0,1.3902545781263598e-08
1884,5.149323811792783e-08,1.9805090900604227e-09,0.0
1885,3.996294140051759e-08,1.2891271383708158e-09,1.353583467533781e-08
1886,2.0651084398082276e-08,1.9360391623202133e-09,5.162771099520569e-09
