year,vingt - deux hommes
1800,1.0334305855508319e-08
1801,3.6609762332773244e-08
1802,9.854017157806538e-09
1803,1.714284536546984e-08
1804,4.34944880112198e-08
1805,6.244470274197056e-09
1806,0.0
1807,2.8034536470045168e-08
1808,2.2411333233662845e-08
1809,6.918686068502211e-08
1810,3.846435348009436e-08
1811,9.657561861331487e-08
1812,3.797191894250318e-08
1813,1.5735327707488977e-08
1814,4.8151303388976885e-08
1815,1.7738505775355407e-08
1816,3.2930831395106e-08
1817,3.071022547374014e-08
1818,6.646946815180854e-08
1819,6.444471267741392e-08
1820,1.0488468404901141e-07
1821,5.508164235834556e-08
1822,5.3727337245845774e-08
1823,3.238761436819004e-08
1824,5.3287724455231e-08
1825,7.111921007663113e-08
1826,8.745637813944995e-08
1827,9.65822835041763e-08
1828,6.715482570029963e-08
1829,7.211430386178108e-08
1830,8.103883897270237e-08
1831,6.845792643872528e-08
1832,8.599237755202438e-08
1833,1.1152926049362577e-07
1834,5.62580898533227e-08
1835,5.228751343011595e-08
1836,6.756010351161024e-08
1837,5.920970380657309e-08
1838,5.024037336154308e-08
1839,2.980605795510627e-08
1840,6.262685303681792e-08
1841,9.336321227237931e-08
1842,4.6945331177994376e-08
1843,7.035054494508586e-08
1844,3.7699035004834514e-08
1845,3.965263184468881e-08
1846,4.997151492602825e-08
1847,5.4782578473577814e-08
1848,4.4925982933818887e-08
1849,4.587105517650514e-08
1850,4.235137929242683e-08
1851,3.105770252087581e-08
1852,2.3540656535203652e-08
1853,3.530002867790927e-08
1854,3.9782289462664266e-08
1855,5.003297509631466e-08
1856,3.17583848108427e-08
1857,4.172763912180244e-08
1858,2.305224700016595e-08
1859,4.9610919372611306e-08
1860,2.7598902496706046e-08
1861,3.9245212524186e-08
1862,4.6045089518997884e-08
1863,3.289568029085643e-08
1864,1.8373389254477956e-08
1865,3.869704179315647e-08
1866,2.9900114384417975e-08
1867,2.714899172140406e-08
1868,4.057433589110815e-08
1869,4.875154235861601e-08
1870,4.712466106226998e-08
1871,4.7826194338185246e-08
1872,4.444452539331678e-08
1873,3.805046322469252e-08
1874,3.408685411709911e-08
1875,4.652357921131056e-08
1876,3.386823976825326e-08
1877,5.24182124372885e-08
1878,3.323418584777471e-08
1879,4.637165051946113e-08
1880,2.402774296195176e-08
1881,2.7663812574019175e-08
1882,2.5646717194405255e-08
1883,1.671986371576395e-08
1884,2.0369558484389927e-08
1885,1.9175625975975663e-08
1886,2.4890119743048444e-08
1887,1.8726822759163042e-08
1888,3.843960671989777e-08
1889,4.0792967392899726e-08
1890,3.180748819886503e-08
1891,1.827073781157651e-08
1892,3.7352817727764887e-08
1893,3.4644001667416546e-08
1894,4.3144619432666786e-08
1895,5.114307355391645e-08
1896,4.2928737897796054e-08
1897,2.1902261782003052e-08
1898,1.935203719494183e-08
1899,3.660246150616331e-08
1900,3.269522669269165e-08
1901,2.3435914542346836e-08
1902,2.0006463818944553e-08
1903,2.5632266198449827e-08
1904,1.0089885371655782e-08
1905,3.3047797387553146e-08
1906,2.3837760376732575e-08
1907,2.614497240926994e-08
