year,les_DET airs_NOUN,les_DET pairs_NOUN
1800,1.3324968762162825e-05,2.9114962671883404e-06
1801,9.998585923653991e-06,1.7549315973752755e-06
1802,9.871112979453756e-06,1.7567045347277599e-06
1803,1.2858586558195384e-05,1.4627544100420664e-06
1804,1.5327947807008968e-05,1.0109870522967412e-06
1805,1.2190259582212093e-05,1.978642934830077e-06
1806,1.3604359764940455e-05,1.5013496224014489e-06
1807,9.542993836930691e-06,7.40208336402759e-07
1808,1.1763189775138017e-05,1.7607394529051135e-06
1809,9.46985633731856e-06,1.4457794801359114e-06
1810,1.557588387868236e-05,1.0226353683862044e-06
1811,1.0391833313860843e-05,5.841488750490953e-07
1812,1.0028703343323286e-05,1.4642973518164126e-06
1813,1.183942828220097e-05,1.8922379929620092e-06
1814,1.101022309057953e-05,3.85467956220964e-06
1815,8.515134723552364e-06,7.185403632092857e-06
1816,7.467319932175087e-06,4.106794207814346e-06
1817,9.496927731333926e-06,3.938889680199509e-06
1818,1.0029286769963619e-05,3.1138116352025236e-06
1819,9.241417828320664e-06,6.185787599477521e-06
1820,1.0386730480149708e-05,4.003750824210783e-06
1821,9.884169799079245e-06,3.155676166599619e-06
1822,9.61155804191094e-06,2.962569411124605e-06
1823,8.369647432004967e-06,3.91749713912759e-06
1824,9.600068523241134e-06,2.858125757398966e-06
1825,1.0828053007116978e-05,3.826845500043419e-06
1826,9.133879913747478e-06,4.3405746410485335e-06
1827,6.846590473230663e-06,4.19109411886609e-06
1828,7.461666939434508e-06,4.317402304110374e-06
1829,8.055356147451675e-06,8.165950063698801e-06
1830,9.430724787762301e-06,4.996113297295324e-06
1831,8.018557679179139e-06,5.2480000078958255e-06
1832,9.112434710800699e-06,5.5269923393552745e-06
1833,1.0465808713888691e-05,4.278992463468967e-06
1834,8.686714238592685e-06,3.203610980051508e-06
1835,8.70738324465492e-06,5.049117390854008e-06
1836,8.332386045140083e-06,3.714558642897714e-06
1837,7.959827073023007e-06,3.087912107346824e-06
