year,énormes_ADJ yeux_NOUN,énormes_ADJ pieux_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,1.5664880947952042e-08
1803,5.851017448321727e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,1.2586708564299443e-08,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,4.670620334934483e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,1.1028177482330648e-08,0.0
1823,8.894418535021487e-09,0.0
1824,3.3684450784221553e-09,8.421112696055388e-10
1825,1.937197424695114e-08,0.0
1826,1.2331177856594877e-08,0.0
1827,0.0,5.530363722527909e-09
1828,1.8344602503717056e-09,0.0
1829,1.0287811491593857e-08,4.286587973467704e-09
1830,1.1480519646056564e-08,0.0
1831,1.5591206103948707e-09,0.0
1832,0.0,0.0
1833,3.4750886612755494e-09,2.548398292390175e-08
1834,1.6802156110884425e-08,1.120143711119681e-08
1835,5.294161553592858e-09,9.075705520444899e-09
1836,1.68018754465038e-08,0.0
1837,6.262101948095733e-09,2.7831563720326358e-09
1838,0.0,0.0
1839,1.3982950353153e-09,4.894032734625853e-09
1840,1.0191501864653674e-08,1.2739377330817092e-09
1841,6.420548537278137e-10,0.0
1842,0.0,4.024959032733477e-09
1843,2.953455480181333e-09,5.906910960362666e-09
1844,2.7442805805577564e-09,0.0
1845,6.138250796539069e-09,1.785672942844485e-08
1846,0.0,9.952652035849496e-09
1847,5.393223645455691e-10,5.3932236454556914e-09
1848,4.02261068899179e-09,6.43617736884039e-09
1849,0.0,8.379414495607307e-09
1850,1.3577992064028876e-09,8.82569484161877e-09
1851,7.094382858952031e-09,5.159551008659946e-09
1852,9.765818376195057e-09,6.510545436100301e-10
1853,1.4332636411040767e-08,5.3747388761848924e-09
1854,2.5978321716024766e-09,3.63696517347023e-09
1855,4.776243400783642e-09,4.776243400783642e-09
1856,3.6240324075009767e-09,3.6240324075009767e-09
1857,1.3180074809326925e-08,5.369659827891837e-09
1858,2.4468380654951716e-09,5.3830437884982985e-09
1859,2.036869339860914e-09,3.5645213447565993e-09
1860,3.204028820036342e-09,5.492620580582752e-09
1861,1.4147891747029462e-09,3.772770984511453e-09
1862,9.035972525772706e-10,4.066187830886747e-09
1863,4.994620828036034e-10,4.994620717013731e-09
1864,3.835782358407869e-09,8.151037178549814e-09
1865,9.413688495385486e-09,9.413688495385486e-09
1866,3.4059290943133647e-09,2.919367858567057e-09
1867,9.7056229719783e-09,9.220341823379385e-09
1868,5.9278488784286765e-09,6.421836395986702e-09
1869,7.813630631403612e-09,3.906815315701806e-09
1870,2.8670243956696595e-09,1.0894693147633916e-08
1871,5.3105884134652115e-09,5.3105884134652115e-09
1872,1.269941218851045e-08,6.047339295989218e-10
1873,8.979006871356887e-09,2.9930022904522957e-09
1874,1.0156835372754358e-08,2.9873046258899194e-09
1875,2.8607636259891933e-09,5.721527251978387e-09
1876,1.209202959984168e-08,7.859819461941697e-09
1877,3.710889595609501e-09,4.329371083855449e-09
1878,6.6429977074733415e-09,5.435179861734696e-09
1879,3.665595160740054e-09,0.0
1880,5.776061406947974e-09,0.0
1881,2.4403776777148778e-08,9.761510710859511e-09
1882,1.1979693681496428e-08,8.652000893505374e-09
1883,6.951272890631799e-09,2.5277355764075082e-09
1884,9.242375753615306e-09,4.621187876807653e-09
1885,1.6758653131887513e-08,5.156508553483263e-09
1886,2.0005737511041843e-08,6.4534639854230136e-09
1887,1.828098916689669e-08,6.528924512139156e-09
1888,9.510921827882157e-09,8.876860135842435e-09
1889,8.14467782106476e-09,1.1903759755682586e-08
1890,1.1797895993481688e-08,2.6217545912032847e-09
1891,2.1672347472190268e-08,3.1871101313640793e-09
1892,2.0686091062316336e-08,9.402768341715273e-09
