year,quelques_DET iles_NOUN,quelques_DET piles_NOUN
1800,3.458580977167003e-08,3.772997558826319e-08
1801,6.667311325259107e-08,2.8574191901498125e-08
1802,4.699464284385613e-08,1.7902721083373763e-08
1803,5.460949736857401e-08,3.900678446910888e-09
1804,9.145848367531073e-08,1.9774807569206132e-08
1805,2.2743021688143017e-08,0.0
1806,1.4408345627714425e-08,2.881669125542885e-08
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,9.064295980465431e-09,3.3991110370834576e-08
1809,2.936739762482432e-08,1.8072244145628247e-08
1810,3.510190094146992e-08,0.0
1811,3.008491944456182e-08,9.025476543911282e-08
1812,5.3344164641089264e-09,1.3336041604361526e-08
1813,2.0130190847567064e-08,5.176335093892703e-08
1814,1.5733386149463513e-08,1.2586708564299443e-08
1815,2.4275012222574333e-08,0.0
1816,2.3176038865813098e-08,4.6352077731626196e-09
1817,5.2933695871004716e-08,1.5568733857662664e-08
1818,2.3842354535119625e-08,2.741870863687268e-08
1819,1.9666995143552413e-08,1.0351050239165716e-08
1820,2.966620371580575e-08,7.119888678630559e-09
1821,9.861488403650753e-09,9.861488514673056e-09
1822,2.3058916553964082e-08,9.023054303725075e-09
1823,4.150728605267773e-08,2.3718449426723964e-08
1824,3.705289497446529e-08,2.5263338088166165e-09
1825,2.377469621173134e-08,6.163809906922779e-09
1826,2.113916308665864e-08,2.7304750904733055e-08
1827,4.4242909502667516e-08,1.474763688946723e-08
1828,5.411657844067719e-08,7.337841001486822e-09
1829,7.372931309923558e-08,7.715858174606183e-09
1830,5.114049561605327e-08,1.5655254204105518e-08
1831,1.5591206325993312e-08,2.182768810143898e-08
1832,5.0060886991332154e-08,1.3529969367098715e-08
1833,1.0077756618098732e-07,2.6642345773986165e-08
1834,5.8807546166050884e-08,1.213489042584115e-08
1835,4.9160071569076536e-08,1.285724948729694e-08
1836,4.032449923974113e-08,1.2097349955109138e-08
1837,4.5226292488820263e-08,1.530736071231331e-08
1838,6.249040485073465e-08,2.651107955387033e-08
1839,5.8728391039153394e-08,4.6842884238174065e-08
1840,6.560779208797385e-08,4.649872731299354e-08
1841,5.585877094205216e-08,1.0914932069283623e-08
1842,3.6224632182779715e-08,2.4820581145945653e-08
1843,3.7804230856863796e-08,2.3036953011867922e-08
1844,3.677335985718955e-08,1.2623690592850068e-08
1845,3.9061595402678506e-08,1.1160456114822637e-08
1846,4.683601084742861e-08,3.3370656238318475e-08
1847,4.0988498817284835e-08,1.77976389181822e-08
1848,5.390298735141741e-08,1.689496542667257e-08
1849,5.7817962639816756e-08,1.005529792763582e-08
1850,4.412847331991543e-08,1.6293590476834652e-08
1851,3.1602249261908355e-08,1.9993260380601896e-08
1852,4.036538281404489e-08,5.208436348880241e-09
1853,4.001194309211087e-08,1.4929829816878737e-08
1854,3.325225317318825e-08,1.8184826089395756e-08
1855,4.8823821430232783e-08,1.6982198758341838e-08
1856,2.6403664143970218e-08,1.8120162870172152e-08
1857,2.3431243612037633e-08,2.001418764052687e-08
1858,1.517039577292323e-08,1.0276719919488642e-08
1859,1.7822606501738392e-08,1.9350258284589472e-08
1860,2.1970483377042882e-08,1.4189270203246451e-08
1861,2.1693433105429705e-08,8.488735048217677e-09
1862,2.25899317307654e-08,8.132375661773494e-09
1863,1.8480097063733325e-08,2.3474718169325115e-08
1864,2.0617330287464597e-08,2.6371003158942585e-08
1865,1.8827377157304426e-08,1.1296426127849202e-08
1866,2.6760870741604492e-08,1.751620715140234e-08
1867,1.1161466417775046e-08,1.94112459439566e-08
1868,1.8771521115290568e-08,1.2349684830326169e-08
1869,1.416220518635214e-08,1.0743742229202269e-08
1870,1.204150290590178e-08,3.4977697183080636e-08
1871,1.5931766128574054e-08,1.805600113868877e-08
1872,1.6932549695702903e-08,9.071008943983827e-09
1873,2.8134221785602875e-08,1.2570609442263958e-08
1874,1.3144140331711185e-08,1.8521287614703397e-08
1875,1.2015206996007777e-08,2.4030413214859436e-08
1876,2.2974855795609983e-08,3.204387866162506e-08
1877,2.5976226503132693e-08,1.6080522136086017e-08
1878,2.1136810302024855e-08,1.0266450578555464e-08
1879,3.8488748299592146e-08,1.2829582729523281e-08
1880,2.1820677487127682e-08,1.7969970400599777e-08
1881,2.789002989667111e-08,1.9523020644562905e-08
1882,1.9966155617723302e-08,1.6638462607687643e-08
1883,1.5166413291911596e-08,1.1374810426900694e-08
1884,2.5086449362277108e-08,1.650424241717019e-08
1885,1.4180398244523218e-08,2.90053603357876e-08
1886,2.7104548327994138e-08,1.5488312854472497e-08
1887,1.8280988667296327e-08,1.0446279397058333e-08
1888,1.5851536305788727e-08,1.8387781963724592e-08
1889,1.691586909435827e-08,3.257871128425904e-08
1890,2.3595791043273806e-08,2.5562107097698572e-08
1891,2.740914517573856e-08,7.0116419337296065e-09
1892,2.19397926493059e-08,1.692498341476778e-08
1893,2.7712874106633478e-08,1.6011883430255835e-08
1894,1.2603078136663726e-08,2.7726773099701063e-08
1895,9.027921521465032e-09,2.1667012850556944e-08
1896,1.2973463803245266e-08,1.1204354777305525e-08
1897,1.631479740193953e-08,1.981082631274944e-08
1898,1.2448381103702388e-08,2.3765090340077677e-08
1899,1.6029977345510815e-08,1.6029977345510815e-08
1900,1.609226463195057e-08,1.1939421895590385e-08
1901,1.5089595462036698e-08,2.347270311453542e-08
1902,9.329539363278627e-09,1.6203935970793282e-08
1903,1.674068261792172e-08,9.720396931811592e-09
1904,1.7198800605910947e-08,1.8811189050893518e-08
1905,2.270733934217617e-08,1.0321517696088023e-08
1906,2.1605575717398295e-08,1.1831624013858288e-08
1907,8.742833679242779e-09,1.2857108599995115e-08
1908,2.9468334439286537e-09,1.2278472460991452e-08
1909,7.70137675853988e-09,1.8153246017504898e-08
1910,9.085056262847502e-09,1.2825961626106164e-08
1911,1.2236860857939291e-08,3.990280461607654e-08
1912,7.814131675054625e-09,1.3544495303108306e-08
1913,1.1666577537372547e-08,5.302989602995467e-09
1914,1.2054139020278853e-08,1.0714789611121489e-08
1915,1.5314990053916233e-08,2.8273827723523937e-08
1916,5.493731025651982e-09,1.3184954461564757e-08
1917,1.425635154372884e-08,1.2063066989753679e-08
1918,1.72295644418341e-08,9.189101035644853e-09
1919,7.366278753639932e-09,1.289098744416961e-08
1920,9.086678076641874e-09,1.3630017114962811e-08
1921,9.844571879913389e-09,2.8019165654313838e-08
1922,8.853522970309058e-09,2.6560567079059183e-08
1923,3.1847844361720945e-09,5.307974060286824e-09
1924,1.5469949210533684e-08,1.4180787211159895e-08
1925,7.698724546756353e-09,6.598906754362588e-09
1926,4.458455493683289e-09,2.5636118672345276e-08
1927,8.919379901328739e-09,1.4493992672726108e-08
1928,1.599645738092903e-08,5.713020723163709e-09
1929,6.684243825105796e-09,1.5596568925246856e-08
1930,7.352522701786768e-09,5.2518016602221e-09
1931,6.843213995466613e-09,4.5621426636444085e-09
1932,6.575722188983946e-09,8.767629289252454e-09
1933,4.588264879146209e-09,1.3764794637438627e-08
1934,5.990790086229936e-09,1.5576054224197833e-08
1935,1.0771455727365264e-08,1.196828414151696e-08
1936,1.333718602225531e-08,4.849885826274658e-09
1937,7.554670999887492e-09,3.1477796369472344e-08
1938,1.8151300351654243e-08,1.2965214679638848e-08
1939,6.117620188206274e-09,9.176430282309411e-09
1940,5.0715658339584024e-09,1.2678914806940611e-08
1941,0.0,1.7709016475464523e-08
1942,1.2136847082899749e-08,6.068423541449874e-09
1943,5.806470415592457e-09,2.9032352077962287e-09
1944,6.4263723231761105e-09,0.0
1945,8.714016175304096e-09,4.357008087652048e-09
1946,1.6705325123211878e-08,1.9489545977080525e-08
1947,1.0728784083369192e-08,1.7881307101674793e-08
1948,9.784698828951832e-09,5.435944139264848e-09
1949,1.2762110923603132e-08,1.276211036849162e-08
1950,4.2541445921528975e-09,1.4889506516624351e-08
1951,8.529121409139861e-09,5.330700769690111e-09
1952,7.381362521208246e-09,2.1089607837865287e-09
1953,1.1851209791302608e-08,8.619061908632375e-09
1954,4.886268278880834e-09,1.07497895029951e-08
1955,1.2201290200408721e-08,3.754243138587299e-09
1956,2.703553869665143e-08,1.1337483840634377e-08
1957,1.4136059989233729e-08,1.1485549400447326e-08
1958,8.272243445794913e-09,1.3235589513271862e-08
1959,1.0851046838844525e-08,1.1626121954044777e-08
1960,4.844583401109048e-09,1.4533750203327145e-08
1961,1.04222386276831e-08,4.16889545107324e-09
1962,1.331810839388936e-08,1.585489073363533e-08
1963,1.2285501060915749e-08,1.3578711488548834e-08
