year,dois_VERB oser_VERB,dois_VERB poser_VERB
1800,9.432493897065797e-09,3.144164484325529e-09
1801,0.0,7.143547975374531e-09
1802,0.0,4.475680270843441e-09
1803,0.0,5.851017448321727e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,2.8469551160981155e-09,0.0
1808,1.3596443970698147e-08,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,0.0,1.504245972228091e-08
1812,0.0,5.3344164641089264e-09
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,2.4275012222574333e-08
1816,0.0,2.3176038865813098e-09
1817,9.341240669868967e-09,2.9580593974287694e-08
1818,0.0,0.0
1819,0.0,1.8631890696951814e-08
1820,0.0,9.493184904840746e-09
1821,0.0,2.9584463767662328e-09
1822,0.0,1.5038423839541792e-08
1823,0.0,4.941343334508019e-09
1824,0.0,1.2631669044083083e-08
1825,0.0,6.163809906922779e-09
1826,0.0,6.1655889282974385e-09
1827,1.8434546111834038e-09,8.295545583791863e-09
1828,9.172301251858528e-10,7.337841001486822e-09
1829,8.57317605795771e-10,7.715858174606183e-09
1830,1.0436835840010872e-09,2.6092090266160994e-08
1831,3.1182412207897414e-09,1.5591206548037917e-08
1832,0.0,1.0823975493678972e-08
1833,0.0,5.791814139399776e-09
1834,0.0,4.667265685043276e-09
1835,8.31939672707449e-09,2.2689263801112247e-08
1836,6.72075017860152e-09,7.392825018825988e-09
1837,6.957890930081589e-10,1.3219993100221927e-08
1838,6.312161904276081e-09,3.787297142565649e-09
1839,2.0974426639952526e-09,9.088918062616358e-09
1840,4.458782232319436e-09,9.554533164646273e-09
1841,7.704658244733764e-09,8.346713542550788e-09
1842,0.0,6.708265054555795e-09
1843,4.134837805480629e-09,3.18973185642335e-08
1844,2.195424508855126e-09,2.085653250105679e-08
1845,1.1160455892778032e-09,6.696273757711424e-09
1846,7.025401593807601e-09,1.2879903366069811e-08
1847,4.853901280910122e-09,1.1865092020002521e-08
1848,8.04522137798358e-09,3.218088684420195e-09
1849,0.0,1.4245005175439474e-08
1850,1.3577992064028876e-08,6.788996032014438e-09
1851,0.0,5.8044946626978344e-09
1852,0.0,5.208436348880241e-09
1853,0.0,3.5831591027601917e-09
1854,0.0,1.2469595134234623e-08
1855,1.5920811335945473e-09,1.4859423913549108e-08
1856,2.5885946719483854e-09,3.6240324075009767e-09
1857,0.0,5.857811125054013e-09
1858,0.0,1.9574704079872163e-09
1859,5.092173349652285e-09,1.884104072757964e-08
1860,4.577183909670879e-10,1.0527522853465143e-08
1861,2.357981809808507e-09,7.073945429425521e-09
1862,2.2589932147099034e-09,1.8523744316212287e-08
1863,4.994620828036034e-10,4.994620717013731e-09
1864,3.835782358407869e-09,1.0068928801842958e-08
1865,1.882737743486018e-09,8.001635798393636e-09
1866,2.919367858567057e-09,2.919367858567057e-09
1867,4.85281148598915e-09,1.4073153309368536e-08
1868,4.44588676984381e-09,5.433861360870651e-09
1869,2.9301114867763545e-09,2.490594752657671e-08
1870,1.1468097582678638e-09,1.4335121534259088e-08
1871,0.0,1.6993883633631413e-08
1872,1.8142017887967654e-09,1.2094679036067646e-08
1873,5.986004469882289e-10,5.387403856360606e-09
1874,1.1949218281515073e-09,8.961913877669758e-09
1875,0.0,1.1443054281912168e-09
1876,0.0,4.836811839936672e-09
1877,1.8554447978047506e-09,1.9791411176584006e-08
1878,0.0,4.831270938865373e-09
1879,1.832797580370027e-09,9.163987790827832e-09
1880,3.8507077526617195e-09,1.1552122813895949e-08
1881,3.4862537301449947e-09,8.367009307619355e-09
1882,0.0,9.317538740560849e-09
1883,6.319338941018771e-10,1.7062214752172622e-08
1884,0.0,1.7164412113856997e-08
1885,3.86738152613475e-09,6.445635691854079e-10
1886,0.0,1.1616235084943582e-08
1887,6.528924623161458e-10,9.793386546164129e-09
1888,0.0,1.014498351992188e-08
1889,6.265136742733546e-10,5.012109394186837e-09
1890,0.0,1.9663159989136147e-09
