year,leurs_DET oies_NOUN,leurs_DET poids_NOUN
1800,6.288328968651058e-09,5.69093799640541e-07
1801,0.0,7.595972537632889e-07
1802,2.2378401354217203e-09,3.110597788236191e-07
1803,2.3404069793286908e-08,3.042529062025068e-07
1804,4.943701892301533e-09,1.5572661093976592e-07
1805,5.685755422035754e-09,2.4733034820201283e-07
1806,0.0,3.688536409640619e-07
1807,2.8469551160981155e-09,3.3024679169102455e-07
1808,2.2660739951163578e-09,4.736094751933706e-07
1809,3.6144488291256494e-08,3.840351772144146e-07
1810,1.1700633351097167e-08,4.212228077449254e-07
1811,0.0,6.794178162294884e-07
1812,5.3344164641089264e-09,5.094367452329607e-07
1813,8.627225156487839e-09,3.6809492076628203e-07
1814,0.0,2.265607559337468e-07
1815,0.0,2.9939181445115537e-07
1816,0.0,3.3605255111979204e-07
1817,1.556873407970727e-09,2.0706416137272754e-07
1818,2.384235386898581e-08,2.0385213628237864e-07
1819,0.0,2.763730417854049e-07
1820,3.322614716694261e-08,1.8155715508783032e-07
1821,1.2819934447350079e-08,2.0117435362010383e-07
1822,2.0051231786055723e-09,2.1154049534288788e-07
1823,8.894418535021487e-09,2.1050122711585573e-07
1824,1.431589158329416e-08,2.1810681971601298e-07
1825,7.924898959288385e-09,2.491940449544927e-07
1826,3.5231937367541377e-09,2.4926595187935163e-07
1827,1.3825909306319772e-08,2.1844936881620924e-07
1828,1.4675682002973645e-08,2.1921799486790405e-07
1829,3.3435387791769244e-08,1.8089401199183897e-07
1830,2.0873671680021744e-09,3.047556178525923e-07
1831,1.5591206103948707e-09,1.7150326470094512e-07
1832,5.411987746839486e-09,1.9483155977439992e-07
1833,3.4750886612755494e-09,2.5599820219213143e-07
1834,5.600718555598405e-09,2.426978051861539e-07
1835,0.0,2.579012843284545e-07
1836,3.36037508930076e-09,2.4530737618988496e-07
1837,5.5663127440652715e-09,2.497882722884981e-07
1838,1.3886756633496589e-08,2.695293233045959e-07
1839,9.788065469251706e-09,2.95739397415673e-07
1840,0.0,2.758075066111587e-07
1841,3.852329122366882e-09,3.7174976252885017e-07
1842,0.0,2.072853861889712e-07
1843,1.7720733769266417e-09,2.23871936100295e-07
1844,5.488561272137815e-10,2.760746307117756e-07
1845,6.138250796539069e-09,2.6394477004032524e-07
1846,5.269050973311096e-09,2.0139484746550806e-07
1847,8.089835468183537e-09,2.9608798612912324e-07
1848,2.172209789819135e-08,2.58251617424321e-07
1849,0.0,1.625606529387369e-07
1850,6.788996032014438e-10,2.2878916627888657e-07
1851,7.739326512989919e-09,2.6829664068195314e-07
1852,2.278690836021724e-08,1.751336766719902e-07
1853,1.0749477752369785e-08,1.6781128997500616e-07
1854,6.754363734984281e-09,2.2133530530599188e-07
1855,4.2455496895854594e-09,2.2713690839282208e-07
1856,3.6240324075009767e-09,1.822370614412705e-07
1857,3.905207268672939e-09,1.6255424828415244e-07
1858,7.34051397444091e-09,2.3147088068498078e-07
1859,2.036869339860914e-09,2.30166232739748e-07
1860,1.373155145145688e-09,2.123813347409964e-07
1861,1.8863854922557266e-09,2.0655920618395385e-07
1862,1.0391368654438793e-08,2.0511657095045877e-07
1863,2.9967726078439227e-09,2.2126170162728442e-07
1864,9.589456340108882e-09,3.538509143474755e-07
1865,1.2237795665726026e-08,2.30164689973833e-07
1866,5.838735717134114e-09,2.1506008940352928e-07
1867,9.7056229719783e-10,2.562284500129408e-07
1868,2.9639244392143382e-09,2.8552471276199753e-07
1869,4.883519366671862e-09,2.5345463350312514e-07
1870,4.587239033071455e-09,2.9702373360862566e-07
1871,4.248470908407853e-09,2.549082500635791e-07
1872,7.256807155187062e-09,2.6366398975241623e-07
1873,3.591602570907071e-09,2.765533952953092e-07
1874,5.974609140757536e-10,3.100822105750467e-07
1875,1.0298748520654044e-08,2.4888641814158063e-07
1876,1.209202959984168e-09,2.031460910600913e-07
1877,3.0924081073635534e-09,2.4244478513679724e-07
1878,7.2469061862534545e-09,2.512260945941591e-07
1879,3.665595160740054e-09,2.956913407459183e-07
1880,6.417846254436199e-10,2.804598731032115e-07
1881,1.6036766581351003e-08,1.840742043235366e-07
1882,9.983077475794744e-09,2.635532609929214e-07
1883,5.687405213450347e-09,3.425081640529015e-07
1884,9.902545450302114e-09,4.964475994739814e-07
1885,3.86738152613475e-09,3.300165358766094e-07
1886,5.808117542471791e-09,3.000860795410176e-07
1887,5.876032105334161e-09,2.735619490934482e-07
1888,3.804368819970705e-09,2.0606997708227937e-07
1889,6.265136853755848e-09,3.7214910975080784e-07
1890,3.9326319978272295e-09,3.0346808932435465e-07
1891,7.0116419337296065e-09,3.7225444593502743e-07
1892,6.268512375839919e-09,2.814562001240972e-07
1893,6.158416554491453e-10,2.808237984375239e-07
1894,4.411077725308132e-09,2.810486536830581e-07
1895,3.611168697403855e-09,2.365315499019971e-07
1896,3.5382172747233653e-09,2.7421184434217594e-07
1897,8.740070001067579e-09,3.1347719264829266e-07
1898,8.487532454637403e-09,2.6254766538613694e-07
1899,8.291367592505594e-09,2.647709944625376e-07
1900,7.26747462209687e-09,2.751258181277194e-07
1901,1.0059729937950124e-08,2.7831918858467475e-07
1902,9.820567692386817e-10,3.0541966555830413e-07
1903,7.020286574288548e-09,3.2725335152861135e-07
1904,3.7622376325430196e-09,3.719240702082516e-07
1905,1.5482277682110634e-09,3.4473870513807015e-07
1906,7.716276506641861e-09,2.880743303901312e-07
1907,1.1828539925318182e-08,2.710278561579571e-07
1908,2.4556945366072114e-09,3.3495673079642074e-07
1909,4.950885035270858e-09,2.805501644331798e-07
1910,1.6032452032632705e-09,2.3674588023325782e-07
1911,4.788336838146279e-09,2.4580129043272336e-07
1912,5.730363294986773e-09,2.641176699569314e-07
1913,9.545381374209683e-09,2.8477055913356253e-07
1914,7.366418142140674e-09,2.5849432105928827e-07
1915,8.246533234057551e-09,2.132317886704982e-07
1916,3.2962386153911893e-09,1.8239186871937818e-07
1917,2.1932848870420685e-09,2.0178220783151346e-07
1918,1.1486376294556067e-09,1.8378202604196758e-07
