year,les_DET airs_NOUN,les_DET paires_NOUN
1800,1.3324968762162825e-05,2.829748027011192e-07
1801,9.998585923653991e-06,2.190687926617585e-07
1802,9.871112979453756e-06,1.3874608839614666e-07
1803,1.2858586558195384e-05,1.560271414291492e-07
1804,1.5327947807008968e-05,2.5707250084217037e-07
1805,1.2190259582212093e-05,5.344609910196141e-07
1806,1.3604359764940455e-05,1.3832011802605848e-07
1807,9.542993836930691e-06,1.1957211620838848e-07
1808,1.1763189775138017e-05,1.2463406706686442e-07
1809,9.46985633731856e-06,1.649092302713484e-07
1810,1.557588387868236e-05,1.9657064420641746e-07
1811,1.0391833313860843e-05,8.774769000297056e-08
1812,1.0028703343323286e-05,7.468182872116813e-08
1813,1.183942828220097e-05,1.9267469042461016e-07
1814,1.101022309057953e-05,6.608021863030444e-08
1815,8.515134723552364e-06,1.968973135646479e-07
1816,7.467319932175087e-06,8.343373814057031e-08
1817,9.496927731333926e-06,3.42512151974006e-08
1818,1.0029286769963619e-05,1.7047283229487675e-07
1819,9.241417828320664e-06,1.0247539705687814e-07
1820,1.0386730480149708e-05,8.662531048031497e-08
1821,9.884169799079245e-06,8.38226491550742e-08
1822,9.61155804191094e-06,9.323822780515911e-08
1823,8.369647432004967e-06,8.894418268567961e-08
1824,9.600068523241134e-06,1.6758014709239433e-07
1825,1.0828053007116978e-05,2.3158315087812298e-07
1826,9.133879913747478e-06,1.8937166146315576e-07
1827,6.846590473230663e-06,1.3088527595073174e-07
1828,7.461666939434508e-06,2.2563860824220683e-07
1829,8.055356147451675e-06,1.6717693152035196e-07
1830,9.430724787762301e-06,9.080047291831761e-08
1831,8.018557679179139e-06,1.262887678876723e-07
1832,9.112434710800699e-06,1.3259370046370123e-07
1833,1.0465808713888691e-05,1.0077756940063409e-07
1834,8.686714238592685e-06,1.278830792372787e-07
1835,8.70738324465492e-06,2.639517688862725e-07
1836,8.332386045140083e-06,2.0162249825261824e-07
1837,7.959827073023007e-06,2.838819384010094e-07
1838,7.293702950050829e-06,1.6600986008086238e-07
1839,7.055097526631471e-06,2.181340246210084e-07
1840,6.677344650540817e-06,1.3440043300505522e-07
1841,7.537724059147877e-06,1.958267361601429e-07
1842,6.920917101638224e-06,1.3081116279067828e-07
1843,7.585655282582593e-06,1.1223131224369354e-07
1844,7.089025793050041e-06,1.2623691025837047e-07
1845,6.053989366705537e-06,2.488781669640616e-07
1846,5.999107713705598e-06,1.1943182798290763e-07
1847,5.701716169426163e-06,2.1357165636004538e-07
1848,6.272859550904286e-06,1.7297226406753907e-07
1849,6.230932918072085e-06,1.1312210190794758e-07
1850,6.899656739278726e-06,1.2423862294497212e-07
1851,6.306261127519974e-06,1.2060450238493559e-07
1852,6.749482395207451e-06,2.2917120645615796e-07
1853,6.968049916622476e-06,1.1286951107081222e-07
1854,6.6852613400669725e-06,9.715892268502557e-08
1855,7.634559651137351e-06,1.1675262001631381e-07
1856,6.480805353703545e-06,1.403018305978776e-07
1857,7.01619282494903e-06,1.3570595780443284e-07
1858,6.3020758886978e-06,1.7274676533673983e-07
1859,6.959473168421937e-06,9.776972920150229e-08
1860,7.022773090170631e-06,9.657858224265681e-08
1861,7.099411860167493e-06,1.329901717639359e-07
1862,6.448973493888843e-06,1.8162305170932314e-07
1863,6.414591609882336e-06,1.088827366046985e-07
1864,6.506445842546782e-06,6.5208301647246e-08
1865,5.8444885695507764e-06,8.142840890457137e-08
1866,5.933615113917767e-06,1.050972411320572e-07
1867,6.235862642256507e-06,1.3296703116338904e-07
1868,5.725807923795401e-06,1.1262912735787722e-07
1869,5.786481651171016e-06,9.620532548382243e-08
1870,6.216282130822037e-06,7.282242275863382e-08
1871,5.228805733281661e-06,2.3366590085061034e-07
1872,5.312587347816589e-06,1.4513614488009807e-07
1873,4.743908711191125e-06,1.5084731863623801e-07
1874,5.086184728497756e-06,2.3061991960560135e-07
1875,5.059546225538725e-06,8.467860368455149e-08
1876,5.622189149789847e-06,1.281755137583218e-07
1877,5.453770590690965e-06,1.8368903376142498e-07
1878,5.661645488430622e-06,2.4820654687118804e-07
1879,4.9705468612160075e-06,1.0935692085212168e-07
1880,5.092560776631672e-06,1.610879412083932e-07
1881,4.6862222120580554e-06,1.791934423067687e-07
1882,4.654776411427974e-06,1.3843201429608598e-07
1883,4.673151266842979e-06,2.1928105908841644e-07
