year,plusieurs_DET eaux_NOUN,plusieurs_DET peaux_NOUN
1800,4.4647134433972724e-07,1.131899196593622e-07
1801,4.905236004049129e-07,8.810375362600098e-08
1802,2.6854081625060644e-07,6.489736392722989e-08
1803,7.489302760177452e-07,7.216254971353919e-08
1804,2.7190359297435407e-07,6.426812149129546e-08
1805,3.3261667908845993e-07,2.55858996212055e-08
1806,1.7578181132904547e-07,3.1698359492793315e-08
1807,3.1031811431603273e-07,4.555128185756985e-08
1808,3.0818605356586204e-07,3.3991110370834576e-08
1809,3.930713194932878e-07,4.743964154840796e-08
1810,1.825298880930859e-07,4.680253340438867e-08
1811,3.058633719632553e-07,3.008491944456182e-08
1812,1.787029546562735e-07,7.734903562095496e-08
1813,2.013019202440347e-07,2.8757416448144113e-09
1814,2.0138733702879108e-07,0.0
1815,2.7781403844073793e-07,5.394447111228828e-09
1816,2.549364239712304e-07,3.244645441213834e-08
1817,2.5999784725172503e-07,7.472992535895173e-08
1818,2.718028302428621e-07,6.079800130009971e-08
1819,2.4739009951701973e-07,2.794783426907088e-08
1820,1.8630375020478596e-07,2.0173018810965004e-08
1821,1.3806084253609185e-07,1.577838126820552e-08
1822,1.3233812978796777e-07,6.817418807258946e-08
1823,1.8777105204037525e-07,2.3718449426723964e-08
1824,1.6842225214475093e-07,3.2000230021367315e-08
1825,1.7698941112698208e-07,1.3208164340028361e-08
1826,1.1714619407854343e-07,4.0516726751427257e-08
1827,1.8711064875276406e-07,4.424290978022327e-08
1828,1.6051527507165986e-07,3.66892045633449e-08
1829,1.294549552000035e-07,4.2865881511033876e-08
1830,1.4298465633721946e-07,5.218418053232199e-08
1831,2.1671776728737768e-07,3.4300654760954785e-08
1832,2.9495332221074477e-07,2.3000948701223933e-08
1833,2.281974778028939e-07,5.6759780875381693e-08
1834,2.0162586711336417e-07,3.9205030333278046e-08
1835,8.546289365085613e-08,5.672315950278062e-08
1836,1.592817713280681e-07,1.7473950730817478e-08
1837,1.607272839265761e-07,2.2265250976261086e-08
1838,1.1614377637414464e-07,2.651107910978112e-08
1839,2.286212446023228e-07,4.404629383447656e-08
1840,8.216898661483896e-08,2.5478755105723394e-08
1841,1.3033714019172749e-07,3.4028907247574125e-08
1842,6.37285153537448e-08,6.305769062464606e-08
1843,1.4826347272123286e-07,3.071593823733565e-08
1844,6.696044607679141e-08,1.8661108436290874e-08
1845,1.2946129324120648e-07,2.6785095030845696e-08
1846,1.0830827568142354e-07,2.7516156908546918e-08
1847,1.0948244177910738e-07,3.343798660182529e-08
1848,9.010648227558704e-08,3.378993085334514e-08
1849,1.1312210324021521e-07,2.262442011513599e-08
1850,1.1948632838709727e-07,1.3577992064028876e-08
1851,1.199595587308977e-07,2.8377531435808123e-08
1852,1.1653876130779395e-07,2.9297454018362146e-08
1853,1.510898699486063e-07,4.29979092331223e-08
1854,1.7041779409865399e-07,1.8704392701351935e-08
1855,1.2630509971245374e-07,2.9718847827098216e-08
1856,1.5169164357953235e-07,3.675804283176376e-08
1857,1.6255425805411505e-07,1.659713172452726e-08
1858,1.8204475304983703e-07,1.9574703413738348e-08
1859,1.7618919923023668e-07,1.4258085379026397e-08
1860,9.612086060428737e-08,1.876645461251769e-08
1861,1.466664747984403e-07,1.0846716413936974e-08
1862,1.644546971935057e-07,1.490935552794781e-08
1863,1.573305503654865e-07,2.1476870060155306e-08
1864,1.448007906912352e-07,1.9658384031728815e-08
1865,1.0543331430135083e-07,1.5061901559310087e-08
1866,6.90917041357153e-08,1.0217787504984699e-08
1867,8.73506067478047e-08,1.8925964795357686e-08
1868,6.273639874265768e-08,1.5807597009143137e-08
1869,6.788091344578362e-08,3.95565057376146e-08
1870,9.403839706934036e-08,8.027668307875047e-09
1871,5.629224020253787e-08,1.3807530230280918e-08
1872,6.773019978201233e-08,3.205089882385437e-08
1873,1.8915773869476737e-07,2.8732820567256567e-08
