year,sommes_VERB heureux_ADJ,sommes_VERB peureux_ADJ
1800,1.4463157071986643e-07,0.0
1801,3.000290007548756e-07,0.0
1802,1.5888664961494214e-07,0.0
1803,2.6719646939454833e-07,0.0
1804,1.928043786847411e-07,0.0
1805,1.506725197941705e-07,0.0
1806,2.9104859322615084e-07,0.0
1807,3.017772485236492e-07,0.0
1808,2.1527702642742952e-07,0.0
1809,2.5075237886085233e-07,0.0
1810,2.5975407424994046e-07,0.0
1811,1.2284675676710322e-07,0.0
1812,1.973734100602087e-07,0.0
1813,2.3581081620704936e-07,0.0
1814,1.888006266881348e-07,0.0
1815,2.2386954867670283e-07,0.0
1816,2.688420579488593e-07,0.0
1817,2.3041727104100573e-07,0.0
1818,2.7895555376744596e-07,0.0
1819,2.2358267415256705e-07,0.0
1820,2.3970292772901303e-07,0.0
1821,3.1063689220900415e-07,0.0
1822,2.997659294123878e-07,0.0
1823,2.6287946752745484e-07,0.0
1824,2.0968570879631443e-07,0.0
1825,2.474329505730566e-07,0.0
1826,3.866705071686738e-07,0.0
1827,3.2536974003960495e-07,0.0
1828,3.8707111116309534e-07,0.0
1829,3.9608073620911455e-07,0.0
1830,5.531522901947028e-07,0.0
1831,7.84237670359289e-07,0.0
1832,7.076174028952664e-07,0.0
1833,7.07759681972675e-07,0.0
1834,8.821131700642582e-07,0.0
1835,7.245438382597058e-07,0.0
1836,7.943926334519347e-07,0.0
1837,7.931995469334652e-07,0.0
1838,6.861320116513525e-07,0.0
1839,7.963290045154281e-07,0.0
1840,8.497164571963367e-07,0.0
1841,1.0786521897898638e-06,0.0
1842,1.1793130170190125e-06,0.0
1843,1.1311734624541714e-06,0.0
1844,1.1696124602167401e-06,0.0
1845,1.4352345942825195e-06,0.0
1846,1.4683089375466807e-06,0.0
1847,1.249609908882121e-06,0.0
1848,1.7305271740042372e-06,0.0
1849,1.879502747215156e-06,8.379414939696517e-10
1850,1.7787169781513512e-06,0.0
1851,1.785204631232773e-06,6.449438760824933e-10
1852,1.6907886219996726e-06,0.0
1853,1.8321886727790115e-06,0.0
1854,1.4999883433119976e-06,0.0
1855,1.7772932778825634e-06,0.0
1856,1.919701844599331e-06,0.0
1857,1.7817508251027903e-06,0.0
1858,1.807723947422346e-06,0.0
1859,1.937572051247116e-06,5.092173349652285e-10
1860,2.181943500545458e-06,0.0
1861,1.8967606365549727e-06,0.0
1862,2.0421298358996864e-06,0.0
1863,1.965882802323904e-06,0.0
1864,2.115913503075717e-06,0.0
1865,2.0272377696528565e-06,0.0
1866,2.0849151951551903e-06,0.0
1867,2.1963824110571295e-06,4.85281148598915e-10
1868,2.0456018319237046e-06,0.0
1869,2.2249312223721063e-06,0.0
1870,1.778701971488772e-06,0.0
1871,2.1582231966021936e-06,0.0
1872,2.0313011646067025e-06,0.0
1873,2.190279019487207e-06,0.0
1874,2.0146383121755207e-06,2.3898436563030145e-09
1875,2.1930613911536057e-06,5.721527140956084e-10
1876,2.0689462871814612e-06,0.0
1877,2.376824795646826e-06,0.0
1878,2.3504132968810154e-06,0.0
1879,2.4229584596469067e-06,0.0
1880,2.451617319820798e-06,0.0
1881,2.657919822013355e-06,0.0
