year,ayez_VERB eu_VERB,ayez_VERB pu_VERB
1800,5.0306631749208464e-08,5.0306631749208464e-08
1801,1.3334621939975477e-07,2.09544069207368e-07
1802,1.1860552717735118e-07,1.4545960880241182e-07
1803,7.216254971353919e-08,1.1311967540450496e-07
1804,9.39303390623536e-08,2.768473166270269e-07
1805,1.4214388954769674e-07,9.097208675257207e-08
1806,2.2765186713513685e-07,1.440834580535011e-07
1807,7.117387923472052e-08,6.547996633798903e-08
1808,8.611080914988634e-08,7.478044494746428e-08
1809,1.3102376783535874e-07,7.00299480627109e-08
1810,1.942305232205399e-07,1.8018975822542416e-07
1811,8.273353557797236e-08,7.019814773912003e-08
1812,9.068507722531649e-08,1.0935553973467904e-07
1813,1.2653262615458516e-07,5.463909147351842e-08
1814,9.125363931161701e-08,1.2901375612273114e-07
1815,7.821948599939788e-08,1.4565007688815967e-07
1816,1.367386346373678e-07,1.0892738089296472e-07
1817,1.3389110620209976e-07,1.8371106591530406e-07
1818,1.513989502655022e-07,1.5735953695639182e-07
1819,1.2524770909294602e-07,1.8528379541749018e-07
1820,1.4358441546846734e-07,9.255855104584043e-08
1821,1.9821591479285416e-07,3.057061235267611e-07
1822,1.303330066093622e-07,1.804610860745015e-07
1823,1.7294702558956487e-07,1.5515819029587874e-07
1824,1.4905369027928828e-07,2.2315948911000305e-07
1825,1.3736490700466675e-07,1.5321471380502771e-07
1826,1.2243097557984584e-07,1.7175570121708006e-07
1827,2.037017310385636e-07,1.0507691428074395e-07
1828,1.1098484264948638e-07,1.8069432883294212e-07
1829,9.087566610332942e-08,1.0373543091191095e-07
1830,1.49246758951449e-07,1.7220779113813478e-07
1831,6.392394169552063e-08,1.683850285871813e-07
1832,1.1229874274931717e-07,2.5301042683167907e-07
1833,1.2973663388038403e-07,2.0734694317070534e-07
1834,1.1761508744712046e-07,1.6335428654201678e-07
1835,1.4899282518854307e-07,2.231111011496978e-07
1836,1.290383977448073e-07,1.5659347241125943e-07
1837,1.0436836106464398e-07,1.0158520780123581e-07
1838,8.458297173774554e-08,9.72072911054056e-08
1839,1.3913034990764572e-07,1.293422968728919e-07
1840,1.2038711361128662e-07,1.3440043744594732e-07
1841,1.3097918838411715e-07,1.1685398249028367e-07
1842,1.395319202401879e-07,1.1404050326291326e-07
1843,1.0455232768435962e-07,1.2463581811061886e-07
1844,1.2074835353814706e-07,8.726812694703767e-08
1845,1.0379223880363497e-07,1.166267651342423e-07
1846,1.0538102657164927e-07,1.4519163471504726e-07
1847,9.761734531821276e-08,9.11454804963796e-08
1848,7.321151684891447e-08,1.0297883790144624e-07
1849,8.798385664476882e-08,1.6842624006585538e-07
1850,1.2966982865236787e-07,1.2763312895458512e-07
1851,8.126292527776968e-08,1.3285843181165546e-07
1852,1.0481978307552708e-07,1.263045845689703e-07
1853,8.539862506040663e-08,1.379516305632933e-07
1854,8.832629561084104e-08,9.975676107387699e-08
1855,8.119613426060823e-08,1.1887539130839286e-07
1856,8.179959110066193e-08,1.1389816023665844e-07
1857,1.2154957573784486e-07,9.47012779306533e-08
1858,1.1206518024664547e-07,1.6736372288050916e-07
1859,1.31887290422128e-07,1.3850711866325582e-07
1860,1.1809134292661838e-07,1.318229010394134e-07
1861,1.150695183582684e-07,1.565699960792699e-07
1862,1.3870217685507669e-07,1.7574966193478758e-07
1863,1.1287843193485969e-07,1.4434453987632878e-07
1864,8.630509995555258e-08,1.4863657327168767e-07
1865,1.289675424231973e-07,1.219072629510265e-07
1866,1.1336877747680774e-07,9.196008221579177e-08
