year,autres_ADJ âges_NOUN,autres_ADJ ages_NOUN,autres_ADJ pages_NOUN
1800,1.0375742931501009e-07,0.0,4.4018303668735825e-08
1801,1.8096987730586989e-07,0.0,4.524246932646747e-08
1802,1.6112448975036386e-07,0.0,1.7902721083373763e-08
1803,1.5992782209650613e-07,0.0,7.801356893821776e-09
1804,9.640218934237055e-08,0.0,7.662737999680758e-08
1805,8.812921237222326e-08,0.0,3.1271653710973624e-08
1806,4.8988376022407465e-08,0.0,4.8988376022407465e-08
1807,3.131650672116848e-08,0.0,1.2526602688467392e-07
1808,9.290903335568146e-08,0.0,3.6257183921861724e-08
1809,8.584316191218022e-08,2.259030518203531e-09,3.6144488291256494e-08
1810,1.0296557917399696e-07,0.0,6.786367379163494e-08
1811,3.008491944456182e-08,0.0,7.521229861140455e-09
1812,1.7870294755084615e-07,0.0,6.401299401659344e-08
1813,1.35159851311073e-07,2.8757416448144113e-09,2.300593315851529e-08
1814,1.541871768040437e-07,0.0,1.2901375612273114e-07
1815,1.780167480092132e-07,0.0,1.8880564667256294e-08
1816,4.6352077731626196e-08,0.0,4.6352077731626196e-08
1817,7.7843672841027e-08,0.0,5.4490570278176165e-08
1818,1.192117764503564e-07,0.0,5.2453181353939726e-08
1819,1.511253344688157e-07,0.0,9.522965882524659e-08
1820,2.0173017389879533e-07,3.5599443393152796e-09,7.594547923872597e-08
1821,1.272131981977509e-07,1.97229765852569e-09,6.01550809165019e-08
1822,1.0426640528748976e-07,2.0051231786055723e-09,6.917674966189225e-08
1823,8.004976592701496e-08,0.0,8.993244904331732e-08
1824,1.5747480119898682e-07,1.6842225392110777e-09,9.600068295867459e-08
1825,7.836844417852262e-08,0.0,1.1975402003372437e-07
1826,6.077509340229881e-08,0.0,5.6371099788066203e-08
1827,8.019027575301152e-08,1.8434546111834038e-09,5.069500019772022e-08
1828,1.8986663974374096e-07,1.8344602503717056e-09,8.255071293206129e-08
1829,1.4660130887023115e-07,1.714635211591542e-09,6.001223340490469e-08
1830,1.0854309095975623e-07,0.0,5.218418053232199e-08
1831,8.731075240575592e-08,1.5591206103948707e-09,5.9246584527272717e-08
1832,1.3394669906574563e-07,1.3529969367098715e-09,6.900284432731496e-08
1833,1.5290389399069682e-07,1.1583628500844156e-09,9.266902623039641e-08
1834,1.2508272106970253e-07,2.8003592777992026e-09,8.027696907220161e-08
1835,8.924443761770817e-08,0.0,7.033671778344797e-08
1836,1.1761312634916976e-07,1.3441500135158435e-09,1.0417162599196672e-07
1837,1.5655254514967964e-07,2.7831563720326358e-09,1.0645572956491378e-07
1838,1.009945904684173e-07,0.0,6.56464820281144e-08
1839,1.50316722624666e-07,2.09744255297295e-09,5.942753844578874e-08
1840,8.599079848181646e-08,1.2739377330817092e-09,7.516232614079854e-08
1841,1.5922960017178411e-07,6.420548537278137e-10,7.383631128732304e-08
1842,2.9046788085906883e-07,2.0124795163667386e-09,8.989075439558292e-08
1843,1.4826346728114004e-07,1.1813822142769936e-09,3.6622846977252266e-08
1844,1.4599572750739753e-07,2.1954245643662773e-09,7.683986069650928e-08
1845,1.7242903993519576e-07,5.580227946389016e-10,5.412821124650691e-08
1846,1.4577707929674943e-07,5.854501328173001e-10,7.083946940156238e-08
1847,1.3213397664912918e-07,1.0786447290911383e-09,1.0354989399274928e-07
1848,1.3033259449457546e-07,1.6090443422100975e-09,1.2389641312893218e-07
1849,1.0893239732467919e-07,0.0,7.792856138166826e-08
1850,1.439267123259924e-07,1.3577992064028876e-09,8.96147440698769e-08
1851,1.0448091103398838e-07,6.449438760824933e-10,6.06247212431299e-08
1852,1.3216407523941598e-07,0.0,9.635607511881972e-08
1853,1.8931024214907666e-07,2.9859659189668264e-09,8.241266158393046e-08
1854,2.0938527711678034e-07,3.63696517347023e-09,9.871762784996463e-08
1855,1.3373481522194197e-07,1.5920811335945473e-09,1.2577440600125556e-07
1856,9.681343726697378e-08,1.5531567698623405e-09,8.8012214405353e-08
1857,8.786716421127494e-08,9.763018171682347e-10,1.039761414745044e-07
1858,7.53626139271546e-08,1.4681028059904122e-09,9.053300686900911e-08
1859,9.878816342734353e-08,0.0,1.043895565544517e-07
1860,9.9324893199082e-08,9.154367819341758e-10,1.7347527148103836e-07
1861,1.9005334195298929e-07,9.431927461278633e-10,1.28745810457076e-07
1862,1.3599138526387833e-07,9.035972525772706e-10,1.1520864973135758e-07
