year,trois_DET yeux_NOUN,trois_DET pieux_NOUN
1800,2.5782149615238836e-07,3.144164484325529e-09
1801,2.762171789072454e-07,7.143547975374531e-09
1802,4.72184268573983e-07,2.0140561218795483e-08
1803,3.0815360219094146e-07,1.3652374342143503e-08
1804,3.856087573694822e-07,2.4718509905596875e-08
1805,3.212451815670647e-07,2.842877755426798e-08
1806,1.9595350408962986e-07,1.729001475325731e-08
1807,1.2241907221266501e-07,0.0
1808,2.4246992325061e-07,1.5862517965814504e-08
1809,4.563241589039535e-07,6.777091599019514e-08
1810,1.2168659679900884e-07,5.3822913681500495e-08
1811,1.554387605295915e-07,3.7606151970237534e-08
1812,7.734903562095496e-08,2.400487453257938e-08
1813,7.189354045422647e-08,2.8757416448144113e-09
1814,1.258670891957081e-07,0.0
1815,7.821948599939788e-08,1.8880564667256294e-08
1816,3.036061002603674e-07,2.5493642752394408e-08
1817,3.191590565165825e-07,4.203558356952186e-08
1818,1.40669895287715e-07,4.530047359452283e-08
1819,2.8775919302947983e-07,1.3456365466346654e-08
1820,9.611849804969097e-08,1.779972080839798e-08
1821,1.3904698903388635e-07,6.903041693817613e-09
1822,8.922798144794797e-08,3.60922172149003e-08
1823,1.7097048043979157e-07,1.1859224713361982e-08
1824,1.1368501873221248e-07,1.7684336661716316e-08
1825,2.791325584006188e-07,1.4969252504215547e-08
1826,1.9994124755839948e-07,2.6423953025656033e-09
1827,2.1752765011484598e-07,1.7512818750731185e-08
1828,1.5042573409118631e-07,8.255070960139221e-09
1829,3.086343269842473e-07,1.7146351893870815e-08
1830,1.0228098834552668e-07,1.3567886369969528e-08
1831,1.6058942886587602e-07,3.1182413096075834e-08
1832,1.6506562872109498e-07,1.0823975715723577e-08
1833,1.01935931695607e-07,1.1583628278799551e-08
1834,1.5308630452182115e-07,1.9602515166639023e-08
1835,1.1571524538567246e-07,9.075705520444899e-09
1836,2.3522625269833952e-07,2.2850549896702432e-08
1837,1.1202204319715747e-07,1.4611571397260548e-08
1838,1.098316162462254e-07,2.7773512378814758e-08
1839,1.2934228710292928e-07,1.3283802724473048e-08
1840,1.0573683084658114e-07,1.0191502031187127e-08
1841,1.695024760550723e-07,1.0914932957462042e-08
1842,1.006239744860693e-07,2.1466448174578545e-08
1843,1.3408687715710244e-07,2.835317236549173e-08
1844,9.714753379519436e-08,3.567564732520623e-08
1845,1.0769840291802169e-07,2.734311665975042e-08
1846,1.3172628143820475e-07,2.1076203893244383e-08
1847,6.364003724002032e-08,4.530307951000623e-08
1848,1.0136979256003542e-07,8.84974404868899e-09
1849,1.4077416565783096e-07,1.1731181359664333e-08
1850,1.3849552260580822e-07,2.9192683825840504e-08
1851,1.1351012574323249e-07,3.805168802273329e-08
1852,1.7643578109627356e-07,1.6276363368206148e-08
1853,6.628844650968801e-08,1.5527022556582892e-08
1854,8.93654285016865e-08,1.922395820308509e-08
1855,1.0613874223963649e-07,1.539011762474729e-08
1856,4.2970672353703776e-08,1.2942972638096961e-08
1857,1.2838368945722323e-07,2.0502338937689046e-08
1858,1.0766087399360913e-07,2.4468380155351355e-08
1859,5.906921174414492e-08,1.7313389610862373e-08
1860,1.1351416162597161e-07,2.4259074749011234e-08
1861,1.1176834391335433e-07,2.4051415969950085e-08
1862,9.532951142365853e-08,1.716834857612426e-08
1863,1.1537574096109893e-07,1.8480097008222174e-08
1864,1.5055445867773187e-07,2.780942121027863e-08
1865,1.76506665949816e-07,1.9298061371131325e-08
1866,1.5229368166558288e-07,3.259960656976091e-08
1867,1.033648846515689e-07,1.9896527092555516e-08
1868,9.08936854671083e-08,1.4325634678513666e-08
1869,9.474027340417024e-08,1.3185501690493595e-08
1870,8.601073187008978e-08,1.9495766334642894e-08
1871,9.134212231032279e-08,1.3807530230280918e-08
1872,8.103434889772387e-08,1.3304146229131675e-08
1873,6.644464889404844e-08,1.3767810003173508e-08
1874,1.212845596176848e-07,2.3898437007119355e-08
1875,1.0527610072585958e-07,1.6020276105699338e-08
1876,4.800535764459823e-07,2.5997863417615008e-08
1877,1.1380061371024652e-07,1.855444864418132e-08
1878,1.1474268291067347e-07,2.0532901601200138e-08
1879,5.6205792020591616e-08,1.466238042091561e-08
