year,premières_ADJ îles_NOUN,premières_ADJ iles_NOUN,premières_ADJ piles_NOUN
1800,7.860410988769218e-08,6.288328968651058e-09,0.0
1801,4.524246932646747e-08,0.0,0.0
1802,1.5664880947952042e-08,0.0,0.0
1803,1.755305234496518e-08,0.0,7.801356893821776e-09
1804,9.887403784603066e-09,7.4155526164076946e-09,0.0
1805,1.7057265822018053e-08,0.0,2.842877755426798e-08
1806,2.881669125542885e-09,0.0,2.0171682990621775e-08
1807,3.131650672116848e-08,2.8469551160981155e-09,0.0
1808,9.064295980465431e-09,0.0,0.0
1809,2.710836710662079e-08,0.0,0.0
1810,4.680253518074551e-09,2.3401267590372754e-09,0.0
1811,1.2535384286138651e-08,1.0028307073639553e-08,0.0
1812,1.600324850414836e-08,0.0,1.0668832928217853e-08
1813,3.738464116054274e-08,0.0,0.0
1814,0.0,0.0,0.0
1815,1.8880564667256294e-08,2.697223555614414e-09,0.0
1816,2.0858434979231788e-08,2.3176038865813098e-09,0.0
1817,3.113746771532533e-08,0.0,0.0
1818,4.768470951432846e-09,0.0,0.0
1819,1.2421260464634543e-08,0.0,1.035105001712111e-09
1820,4.746592452420373e-08,0.0,1.4239777357261119e-08
1821,6.903041693817613e-09,9.86148829262845e-10,3.94459531705138e-09
1822,1.604098542884458e-08,0.0,2.0051231786055723e-09
1823,2.174191138237802e-08,9.882686891060644e-10,1.9765373782121287e-09
1824,1.6000115010683658e-08,0.0,1.6842225392110777e-09
1825,2.1133063299316746e-08,0.0,1.584979791857677e-08
1826,1.8496766784892316e-08,0.0,0.0
1827,4.608636583469661e-09,1.8434546111834038e-09,3.6869092223668076e-09
1828,4.4027046897099353e-08,2.7516904310687096e-09,5.503380862137419e-09
1829,2.5719527840806222e-08,1.714635211591542e-09,1.8860987438529264e-08
1830,4.4878394334091354e-08,3.1310507520032616e-09,1.0436835840010872e-09
1831,3.1182412207897414e-09,0.0,2.182768810143898e-08
1832,1.8941957335982806e-08,0.0,1.352996914505411e-08
1833,4.51761508202253e-08,4.633451511359965e-09,1.6217079235048004e-08
1834,1.4935249481595747e-08,0.0,6.534171426153534e-09
1835,3.025235173481633e-09,1.5126175867408165e-09,1.739510224751939e-08
1836,1.2769425516978572e-08,6.720750067579218e-10,1.2097349788575684e-08
1837,5.357576071673975e-08,2.0873671680021744e-09,8.349468672008697e-09
1838,1.0730675015224733e-08,0.0,6.943378316748294e-09
1839,1.4682098203877558e-08,0.0,3.4957374772659477e-09
1840,1.9109066329292546e-08,1.2739377330817092e-09,7.64362617644565e-09
1841,1.8619591202195807e-08,2.5682194149112547e-09,1.7977535904378783e-08
1842,2.4820581145945653e-08,1.341653010911159e-09,2.4820581145945653e-08
1843,2.2446261738195972e-08,4.1348376944583265e-09,7.088293507706567e-09
1844,8.232841963717874e-09,1.6465684371524958e-09,7.1351298203126134e-09
1845,1.3950569588416784e-08,2.790113973194508e-09,1.2276501593078137e-08
1846,1.2879903366069811e-08,5.854501328173001e-10,4.0981511517657054e-09
1847,1.3483059113639229e-08,5.393223645455691e-10,1.4561703842730367e-08
1848,1.689496542667257e-08,0.0,1.6090443422100975e-09
1849,1.3407063903514427e-08,5.865590457787562e-09,2.6814127807028854e-08
1850,1.0183494048021657e-08,3.394498016007219e-09,4.752297222410107e-09
1851,7.094382858952031e-09,0.0,5.159551008659946e-09
1852,3.2552727180501506e-09,0.0,1.3021090872200602e-09
1853,1.7318601663873778e-08,1.1943863675867306e-09,4.180352064508952e-09
1854,2.5978321716024766e-08,1.0391328908454511e-09,2.286092382064453e-08
1855,4.776243400783642e-09,0.0,9.021793090369101e-09
1856,1.0872097000458325e-08,2.0708756931497874e-09,1.9673318973900678e-08
1857,1.610898081594314e-08,2.9289055625270066e-09,6.345961978126979e-09
