year,mes_DET heures_NOUN,mes_DET peurs_NOUN
1800,1.4148740490327327e-07,0.0
1801,1.1905913055443307e-07,0.0
1802,2.215461734067503e-07,0.0
1803,1.2287136885724692e-07,0.0
1804,2.2741028504746907e-07,0.0
1805,2.2174445368783324e-07,0.0
1806,1.4120178093435243e-07,0.0
1807,5.124519342203371e-08,0.0
1808,7.931259204951857e-08,0.0
1809,1.0391540428145163e-07,0.0
1810,1.614687459294828e-07,0.0
1811,1.1031138047457034e-07,0.0
1812,1.5203086523030152e-07,0.0
1813,8.91479885467561e-08,2.8757416448144113e-09
1814,1.0698702279654526e-07,0.0
1815,1.1058616755654782e-07,0.0
1816,9.270415368689555e-08,0.0
1817,8.407116647290991e-08,0.0
1818,1.3828566114426621e-07,0.0
1819,9.522966104569264e-08,0.0
1820,1.768105697408373e-07,0.0
1821,1.7257603934783816e-07,9.86148829262845e-10
1822,9.223566621585633e-08,0.0
1823,1.759118284372363e-07,0.0
1824,1.330535788213183e-07,8.421112696055388e-09
1825,2.509551235707619e-07,0.0
1826,1.136229960119195e-07,0.0
1827,8.479890922785671e-08,0.0
1828,1.1190207721556433e-07,6.420610709767516e-09
1829,7.973053384180417e-08,0.0
1830,2.0873672124110954e-07,0.0
1831,1.699441458669071e-07,0.0
1832,2.056555400420379e-07,0.0
1833,2.5136474113285345e-07,1.1583628500844156e-09
1834,2.445647069304613e-07,9.334530925997342e-10
1835,2.458003507399553e-07,0.0
1836,1.5793763202820443e-07,4.704525213838906e-09
1837,2.0664936117853472e-07,0.0
1838,1.7800297280601285e-07,2.5248647617104325e-09
1839,2.572862909389073e-07,0.0
1840,1.9873428636074664e-07,0.0
1841,1.8298563952967584e-07,5.778493683550323e-09
1842,2.596098456209006e-07,0.0
1843,1.5180761253619224e-07,0.0
1844,1.2733462201319767e-07,1.097712254427563e-09
1845,1.2388106351846062e-07,1.1160455892778032e-09
1846,1.3875168702881524e-07,2.3418005312692003e-09
1847,1.3914516472368632e-07,2.1572894581822766e-09
1848,1.777993990925708e-07,9.65426583121598e-09
1849,2.438409689720089e-07,0.0
1850,1.7447720335184158e-07,0.0
1851,1.1931461618708283e-07,1.2898877521649865e-09
1852,1.5169570155570966e-07,0.0
1853,1.6781128420184643e-07,0.0
1854,1.4391990688089606e-07,2.5978321716024766e-09
1855,2.563250518505811e-07,5.306937111981824e-10
1856,1.905205626595574e-07,1.1389816201301528e-08
1857,2.8996165024608445e-07,6.8341128311999455e-09
1858,2.21683523982108e-07,0.0
1859,2.729404897650056e-07,5.092173349652285e-10
1860,3.071290400613602e-07,1.830873536112776e-09
1861,2.4051415198345083e-07,4.715963619617014e-09
1862,2.837295289825903e-07,4.517986262886353e-10
1863,2.8369445570497476e-07,4.994620828036034e-10
1864,2.2247537945219165e-07,0.0
1865,2.2122168097382655e-07,4.706844358715045e-10
1866,2.3063005016865645e-07,1.4596839292835284e-09
1867,2.2856742276644582e-07,4.85281148598915e-10
