year,longs_ADJ yeux_NOUN,longs_ADJ pieux_NOUN
1800,6.288328968651058e-09,4.7162465932615305e-08
1801,0.0,2.3811825844433088e-09
1802,6.713520406265161e-09,3.1329761895904085e-08
1803,5.851017448321727e-09,1.950339223455444e-09
1804,0.0,1.1370514130248921e-07
1805,2.842877711017877e-09,3.695740957709859e-08
1806,0.0,0.0
1807,0.0,3.4163463169534225e-08
1808,0.0,2.2660739951163578e-09
1809,4.518061036407062e-09,4.0662548883574345e-08
1810,1.6380887757350138e-08,2.8081521108447305e-08
1811,2.5070767684098882e-09,5.0141535368197765e-09
1812,8.00162425207418e-09,6.13457871168066e-08
1813,2.8757416448144113e-09,2.300593315851529e-08
1814,0.0,3.1466771410748606e-09
1815,0.0,5.394447111228828e-09
1816,0.0,4.6352077731626196e-09
1817,4.670620334934483e-09,1.401186100480345e-08
1818,1.1921177378582115e-09,1.0729059418679299e-08
1819,1.035105001712111e-09,7.24573512300708e-09
1820,5.933240565525466e-09,3.5599443393152796e-09
1821,0.0,8.875339574387908e-09
1822,0.0,4.010246357211145e-09
1823,0.0,1.3835761869529506e-08
1824,3.3684450784221553e-09,1.8526447931321854e-08
1825,1.7610886082763955e-09,1.584979791857677e-08
1826,2.642395191543301e-09,2.2019960965735663e-08
1827,0.0,5.530363722527909e-09
1828,1.3758452155343548e-08,2.109629271274116e-08
1829,9.430493719264632e-09,5.143905745796928e-09
1830,1.0436835395921662e-08,1.982998831806526e-08
1831,2.3386808933878456e-08,9.354723218280014e-09
1832,2.976593194148336e-08,1.2176972319366541e-08
1833,2.0850531967653296e-08,2.89590715851773e-08
1834,2.333632664885954e-08,2.5203233278148218e-08
1835,1.3613558280667348e-08,3.100866052818674e-08
1836,1.2097349788575684e-08,3.091545153210973e-08
1837,6.262101948095733e-08,2.1569462660409044e-08
1838,4.481634974240478e-08,1.830527018853445e-08
1839,3.355908262392404e-08,2.1673573158409454e-08
1840,2.6115722917552375e-08,1.7198159341091923e-08
1841,4.044945711711989e-08,1.6051371787284552e-08
1842,2.884553929050071e-08,1.2745703159566801e-08
1843,6.261326035428283e-08,1.594865928211675e-08
1844,3.732221642849254e-08,8.232841963717874e-09
1845,5.30121653241622e-08,1.9530798311961917e-08
1846,2.751615646445771e-08,6.439951683034906e-09
1847,1.5101026207275936e-08,1.5101026207275936e-08
1848,1.769948809737798e-08,2.413566591030758e-08
1849,4.273501730267526e-08,1.508294644736452e-08
1850,1.9009188889640427e-08,1.2220192857625989e-08
1851,9.674158363282004e-09,8.384270167027807e-09
1852,2.018269107395554e-08,1.3021090872200602e-09
1853,3.4040009921909586e-08,2.030456869306363e-08
1854,2.6497888327980945e-08,7.27393034694046e-09
1855,3.3964397516683675e-08,1.751289246954002e-08
1856,5.901995692170203e-08,3.6240324075009767e-09
1857,1.0983395526409367e-07,7.322263684272912e-09
1858,2.838332058274773e-08,5.3830437884982985e-09
1859,3.8700516569178944e-08,9.675129142294736e-09
1860,6.59114505197067e-08,1.2358396972445007e-08
1861,5.0932406736592384e-08,1.0375120318428799e-08
1862,6.099281790739042e-08,1.400575744270327e-08
1863,2.0477944673302773e-08,9.489779628779615e-09
1864,2.8768367243969806e-08,8.151037178549814e-09
1865,2.5416959203994338e-08,8.001635798393636e-09
1866,4.2330832172865485e-08,4.379051787850585e-09
1867,3.34843974769683e-08,1.067618526917613e-08
1868,1.778354707937524e-08,7.903798504571569e-09
1869,3.5161338729494673e-08,1.8069020057964735e-08
1870,5.5620272831902184e-08,1.204150201772336e-08
1871,1.4869648623516696e-08,4.248470908407853e-09
1872,3.930770375859538e-08,2.7213026498884574e-08
1873,4.309923085088485e-08,1.3767810003173508e-08
1874,3.943242177228967e-08,1.0754296120296658e-08
1875,3.4901315615343265e-08,1.8881038954532414e-08
1876,4.5949711591219966e-08,1.0278225381910033e-08
1877,5.071549225021954e-08,1.7317484335421796e-08
1878,4.891661831152305e-08,1.69094480639842e-08
1879,6.292604837199178e-08,1.0385853066452455e-08
