year,mes_DET airs_NOUN,mes_DET pères_NOUN
1800,9.432493452976587e-09,5.156429825348141e-07
1801,3.333655596016172e-08,5.643402727351088e-07
1802,2.2378401354217203e-08,5.48270804756612e-07
1803,3.1205427575287104e-08,6.436119326380663e-07
1804,5.19088700912107e-08,7.613300794240274e-07
1805,1.7057266488151868e-08,8.414917846977232e-07
1806,8.068673551520078e-08,6.887189316628906e-07
1807,0.0,1.5914478881384753e-06
1808,6.798222074166915e-08,5.733167416366314e-07
1809,1.1295152813062259e-08,5.783118037783197e-07
1810,6.552354792077608e-08,1.0436965212079485e-06
1811,5.515568801683912e-08,2.933279765748864e-07
1812,1.0668832928217853e-08,2.907257101725236e-07
1813,4.313612333994854e-08,4.773731250296009e-07
1814,2.5173417128598885e-08,6.041619928787156e-07
1815,1.0788894222457657e-08,1.424134033811697e-06
1816,1.8540831092650478e-08,2.0232681450238488e-06
1817,1.5568733857662664e-08,5.884981613135665e-07
1818,0.0,7.808371247364221e-07
1819,4.140420006848444e-09,3.1332628722680056e-06
1820,3.678609061807947e-08,6.47909846662742e-07
1821,2.465372084259343e-08,1.1222373288433118e-06
1822,1.0025615893027862e-08,8.441568724038007e-07
1823,2.9648061450338048e-08,9.003127683371304e-07
1824,2.6105450245950124e-08,1.4762210378549412e-06
1825,1.496925317034936e-08,7.828038999235787e-07
1826,1.76159691278599e-08,7.980033984722468e-07
1827,1.3825909916942436e-08,4.94967551389891e-07
1828,2.2013523448549677e-08,8.135830942279654e-07
1829,2.0575622983187714e-08,1.315125171430509e-06
1830,2.2961039292113128e-08,9.215726262112867e-07
1831,9.354723218280014e-09,7.078407833205347e-07
1832,2.5706942574643676e-08,9.30861899561819e-07
1833,2.548398292390175e-08,8.502383104236344e-07
1834,5.600718555598405e-09,1.1313451668826247e-06
1835,1.663879345414898e-08,9.136210223914532e-07
1836,2.419469957715137e-08,1.2708938861294428e-06
1837,7.653680356156656e-09,7.083133031215993e-07
1838,1.7042836475411605e-08,7.953323990506078e-07
1839,6.9914749545318955e-09,6.907577718706648e-07
1840,3.184844388215424e-08,6.662694556069937e-07
1841,1.733548060656176e-08,5.142859418327816e-07
1842,7.379091560011375e-09,1.0994846135758962e-06
1843,2.4218335781256428e-08,8.618183304776039e-07
1844,4.390849017710252e-09,1.019225845055871e-06
1845,1.0602432709561072e-08,6.819038649297227e-07
1846,9.367202125076801e-09,1.0017051543798061e-06
1847,6.47186837454683e-09,5.506481137729224e-07
1848,1.528592186161859e-08,6.162640104889761e-07
1849,6.703531951757213e-09,8.329138605489561e-07
1850,2.1045888587423178e-08,9.857621989795007e-07
1851,5.804494884742439e-09,1.4982045968281454e-06
1852,1.3021090872200602e-08,1.0573125592827637e-06
1853,2.20961471342207e-08,1.0421021343631764e-06
1854,3.013485283531736e-08,9.019673541388329e-07
1855,2.812676669350367e-08,6.474463063455005e-07
1856,2.8992259260007813e-08,7.356786113632552e-07
1857,1.6597130780837688e-08,6.258094806810277e-07
1858,7.829881809584549e-08,1.3697398912881908e-06
1859,3.360834455179429e-08,7.179964285342066e-07
1860,1.876645361331697e-08,6.53621860635667e-07
1861,1.7920661843362495e-08,7.375767214767848e-07
1862,2.5300723294208183e-08,7.296547614998872e-07
1863,1.9479021062807078e-08,6.632856379695795e-07
1864,8.151037178549814e-09,1.0658679663322346e-06
1865,1.3179164537469035e-08,1.6775193572016178e-06
1866,3.503241252644784e-08,6.364221967203321e-07
1867,1.5043715606566366e-08,7.934347046045787e-07
1868,1.2349684830326169e-08,6.357618200780735e-07
1869,1.6115613732381462e-08,8.087107552512407e-07
1870,1.490852596930381e-08,5.126239592811999e-07
1871,1.5931766128574054e-08,5.809783765187149e-07
1872,1.8746751706544273e-08,5.110001666253083e-07
1873,3.112722185560912e-08,3.597588680293029e-07
1874,2.3898437007119355e-08,7.737118910000618e-07
1875,2.7463329999033448e-08,4.55433545987205e-07
1876,4.353130833578689e-08,5.689299982236662e-07
1877,8.040260901509555e-09,7.384670022148043e-07
1878,2.355244521634603e-08,6.033049633202836e-07
1879,2.077170613290491e-08,3.8610935604310725e-07
1880,2.6954953824542827e-08,3.2153408646706794e-07
1881,2.9284532132578533e-08,2.795975557745578e-07
1882,2.6621540527571597e-08,5.144612682528305e-07
1883,1.895801765572358e-08,3.9875027724178835e-07
1884,2.3105939384038265e-08,3.0169754694497897e-07
1885,2.6427105892512515e-08,3.0165574749219104e-07
1886,1.677900662855336e-08,1.0151298948102294e-06
1887,2.154545164501087e-08,3.9630572867821456e-07
1888,1.9021844543942734e-08,2.707442492422274e-07
1889,1.3156787381785051e-08,4.849215784474836e-07
1890,1.2453334363726754e-08,2.726624730442495e-07
1891,2.6771723837804018e-08,3.1679874190615465e-07
1892,1.6298132621272998e-08,2.758145312142801e-07
1893,1.23168328869383e-08,2.9745151586269003e-07
1894,1.827446460822557e-08,2.96172338209999e-07
1895,2.7083764564395096e-08,7.270486435118073e-07
1896,9.435246361988447e-09,2.6713540712819395e-07
1897,9.322741689743452e-09,2.435566317515736e-07
1898,1.5277558773618694e-08,2.3086087708179548e-07
1899,1.9346524382513053e-08,3.0512233628599006e-07
1900,1.9206896184620348e-08,2.4657502262215303e-07
