year,avons_VERB eu_VERB,avons_VERB pu_VERB
1800,5.4959996305115055e-06,1.141331722465111e-06
1801,5.162403795111459e-06,9.23898824112257e-07
1802,4.486869329412002e-06,1.0786388884298503e-06
1803,4.0976628952194005e-06,8.11341124062892e-07
1804,4.130462912144139e-06,1.0727833341661608e-06
1805,5.134237198944902e-06,1.2935093991472968e-06
1806,5.795036486233585e-06,1.478296212553687e-06
1807,4.939467089570826e-06,1.6426930642410298e-06
1808,4.4551015889737755e-06,1.4072319345359574e-06
1809,4.897578037343919e-06,1.6490922689627041e-06
1810,5.06169408254209e-06,1.179423861685791e-06
1811,5.011646408092929e-06,1.40396298320411e-06
1812,5.035689355281647e-06,1.6003249356799643e-06
1813,5.521424100152217e-06,1.7657054058872745e-06
1814,5.893726211070316e-06,2.4858750293788034e-06
1815,4.8711858653405216e-06,1.5401146811200306e-06
1816,5.242419774731388e-06,2.166959575333749e-06
1817,5.352530934032984e-06,1.6051365037128562e-06
1818,5.480165327753639e-06,1.5318712485168362e-06
1819,5.4943375289440155e-06,1.5578330021526199e-06
1820,5.676924502040492e-06,1.5829886024221196e-06
1821,6.042133918526815e-06,1.872696657301276e-06
1822,6.078530986997066e-06,1.9820643046841724e-06
1823,5.089583737571957e-06,1.527863446426636e-06
1824,5.3575117817672435e-06,2.1002254015911603e-06
1825,5.124767994857393e-06,1.7469999420427484e-06
1826,5.075160515843891e-06,2.1799760361318476e-06
1827,5.169046744413208e-06,1.932862232933985e-06
1828,5.734522801503772e-06,2.374708856223151e-06
1829,5.930923180130776e-06,2.3481929929403123e-06
1830,6.597123956453288e-06,3.0256387617555447e-06
1831,6.5701342464308254e-06,2.5164206363115227e-06
1832,7.41171743356972e-06,3.182248747179983e-06
1833,6.281801688601263e-06,3.3523022011650028e-06
1834,6.373617907229345e-06,3.0113196771708317e-06
1835,5.749459432990989e-06,2.547247959228116e-06
1836,5.705916919396259e-06,2.565310296631651e-06
1837,6.503540589619661e-06,2.708706915655057e-06
1838,5.803401563753141e-06,2.5153965452773264e-06
1839,6.423068043659441e-06,2.989554786836379e-06
1840,6.347394901240477e-06,2.7797320854006102e-06
1841,6.819264399382519e-06,3.3752824037946993e-06
1842,6.369497896230314e-06,3.117330834356835e-06
1843,6.5123695094371215e-06,3.791646122408565e-06
1844,6.516568646475207e-06,3.294783255114453e-06
1845,6.528308858833043e-06,3.311307182229939e-06
1846,7.029499556665542e-06,3.4125887395930476e-06
