year,soyez_VERB heureux_ADJ
1800,1.603523855919775e-07
1801,2.0478170625892744e-07
1802,2.215461734067503e-07
1803,1.8333189188979304e-07
1804,2.1010732709214608e-07
1805,3.553597123229224e-07
1806,1.181484350354367e-07
1807,1.6797035939930538e-07
1808,1.269001419501592e-07
1809,1.423189246452239e-07
1810,1.6848912842704067e-07
1811,7.521229861140455e-08
1812,1.8937178225542084e-07
1813,7.764502285567687e-08
1814,1.4789381808100188e-07
1815,1.3216395089443722e-07
1816,1.6454987772362983e-07
1817,1.6035796335245323e-07
1818,1.7881765401739358e-07
1819,1.2214239220043055e-07
1820,1.981702411057995e-07
1821,3.7769498817397107e-07
1822,2.536480820936049e-07
1823,2.193956447626988e-07
1824,1.2968513729560982e-07
1825,1.6642287548052082e-07
1826,1.294773710469599e-07
1827,1.2351146239097943e-07
1828,1.7977709632077676e-07
1829,1.1916714370840964e-07
1830,1.722077875854211e-07
1831,1.2472964883158966e-07
1832,2.0700854008737224e-07
1833,2.328309349763913e-07
1834,1.8202335638761724e-07
1835,1.64875316954749e-07
1836,1.3643122898088222e-07
1837,1.5307359646499208e-07
1838,1.59066477323222e-07
1839,1.2514740177493877e-07
1840,1.4650284185790952e-07
1841,1.60513712543775e-07
1842,1.8783142863298963e-07
1843,1.6184936413310425e-07
1844,1.2184606212883864e-07
1845,1.3001931264966515e-07
1846,1.375807805459317e-07
1847,1.0301057074002529e-07
1848,1.761903583030744e-07
1849,1.0474268563598343e-07
1850,1.3917442132083124e-07
1851,1.386629353561375e-07
1852,1.4648727031385533e-07
1853,1.2481337918757163e-07
1854,1.392438093716919e-07
1855,1.8468141149696748e-07
1856,2.0656984744960027e-07
1857,1.4498082023806091e-07
1858,1.849809478926545e-07
1859,1.5021911536905463e-07
1860,1.8217191666280996e-07
1861,1.8628056608349652e-07
1862,1.8840002624642693e-07
1863,1.1787304998733816e-07
1864,2.028169987511319e-07
1865,1.6897570986884602e-07
1866,1.980304418225387e-07
1867,1.8780380983685063e-07
1868,1.5659400709466809e-07
1869,1.9338735768315019e-07
1870,1.422044100252151e-07
1871,8.072094637157079e-08
1872,1.4029827255512828e-07
1873,1.1672708666310427e-07
1874,1.0395820027042646e-07
1875,1.5676984688184348e-07
1876,1.287801154603585e-07
1877,1.5400192054926265e-07
1878,1.298404086469418e-07
1879,1.6861737961448853e-07
1880,1.732818404320824e-07
1881,1.3526664588425774e-07
1882,1.7969539811701907e-07
1883,1.497683275175632e-07
1884,1.2477207178562821e-07
1885,1.3600291026705236e-07
1886,1.045461139881354e-07
1887,1.162148599576085e-07
1888,1.2173980223906256e-07
1889,9.14709978871997e-08
1890,8.324071032461688e-08
1891,1.0453721088765633e-07
1892,9.716194071529571e-08
1893,9.483961349587844e-08
1894,8.696124353946288e-08
1895,1.023164486468886e-07
1896,8.609662316416689e-08
1897,7.516460343026665e-08
1898,1.1543044209361142e-07
1899,9.396883626777708e-08
1900,9.395806443990296e-08
1901,7.041810867747245e-08
1902,8.00376263043745e-08
1903,9.072370232843241e-08
1904,1.1071727712419488e-07
1905,1.1147239931119657e-07
1906,1.0391252480701496e-07
1907,9.308546644604121e-08
1908,8.545816854166333e-08
1909,1.309234072266463e-07
1910,1.1169274571898313e-07
1911,1.0215118706469184e-07
1912,1.3284024191762e-07
1913,1.3522624087158874e-07
1914,1.1384464571051467e-07
1915,6.008188613293441e-08
1916,5.7134800890423776e-08
1917,8.005489604556715e-08
1918,7.695872028534723e-08
1919,8.839534260118853e-08
1920,5.7548961152065203e-08
1921,1.3100853024639036e-07
1922,7.377935418162451e-08
1923,1.040362889170865e-07
1924,1.1086797258030856e-07
1925,1.2097995849558174e-07
1926,9.808601575400644e-08
1927,1.1260717514005592e-07
1928,8.341009838375157e-08
1929,9.580749349424877e-08
1930,1.1133819910469356e-07
1931,9.010231849515549e-08
1932,7.23329396379313e-08
1933,9.176530113563786e-08
1934,7.188947925840239e-08
1935,9.095896125188574e-08
1936,7.032334536916096e-08
1937,7.932404244570535e-08
1938,1.063147543334253e-07
1939,5.964679505865433e-08
1940,4.057252667166722e-08
1941,1.0330259314628165e-07
1942,7.282108249739849e-08
1943,9.870999662098257e-08
1944,5.1410978585408884e-08
1945,8.496165548876888e-08
1946,7.238974042422797e-08
1947,1.2040079511166368e-07
1948,8.914948068650119e-08
1949,7.16641590514655e-08
1950,1.0316301057855526e-07
1951,1.226061243642107e-07
1952,1.1704732472139767e-07
1953,8.188108857609677e-08
1954,8.306655630008208e-08
1955,7.03920566280658e-08
1956,8.633930193013839e-08
1957,1.0602045108498714e-07
1958,9.926692001727133e-08
1959,9.765942721173815e-08
1960,1.0312041709426012e-07
1961,8.963125530669913e-08
1962,7.927445544453349e-08
1963,1.0927630356150075e-07
1964,1.1498700303036458e-07
1965,7.4419789442004e-08
1966,7.477750685325191e-08
1967,1.0255098104039462e-07
1968,8.129462791828246e-08
1969,8.220581726448017e-08
1970,7.449934535941338e-08
1971,6.936836705051519e-08
1972,6.976999600283307e-08
1973,7.222297071507455e-08
1974,4.500457340128605e-08
1975,5.8257096924307916e-08
1976,6.970502752778884e-08
1977,5.641710743020667e-08
1978,5.405938097169383e-08
1979,6.027532428731774e-08
1980,6.879032277140595e-08
1981,7.274381985666878e-08
1982,5.897127230980459e-08
1983,7.51522613029465e-08
1984,6.088959025873919e-08
1985,7.579603256147038e-08
1986,6.414099473772694e-08
1987,6.049708645150531e-08
1988,6.056519374908476e-08
1989,5.4332410570623324e-08
1990,6.647354311439813e-08
1991,5.978694517239092e-08
1992,5.344645792604297e-08
1993,7.367145826719934e-08
1994,4.747433912655197e-08
1995,6.615390191200277e-08
1996,6.832758003838535e-08
1997,5.130537061859286e-08
1998,6.198567881199324e-08
1999,7.31232194794984e-08
2000,7.024670090061136e-08
2001,5.43270264330431e-08
2002,6.17752249354453e-08
2003,5.750353437861122e-08
2004,6.43099529185065e-08
2005,8.0617116537951e-08
2006,6.670981633760675e-08
2007,7.789235034749709e-08
2008,8.812900276211622e-08
2009,9.584067051093825e-08
2010,9.40034805552159e-08
2011,9.789368249357722e-08
2012,1.6170200112242128e-07
2013,1.5953795085010825e-07
2014,1.7042053812588165e-07
2015,1.8730062123495372e-07
2016,2.303330148833993e-07
2017,1.9646924798166765e-07
2018,2.1297100971651162e-07
2019,2.150482600882242e-07
