year,nos_DET airs_NOUN,nos_DET pairs_NOUN
1800,3.772997558826319e-08,1.5720821977538435e-08
1801,6.191074786165984e-08,7.143547975374531e-09
1802,4.475680270843441e-09,8.951360541686881e-09
1803,7.021221204439598e-08,3.315576702078715e-08
1804,8.404293261321527e-08,0.0
1805,1.8762992382015398e-07,0.0
1806,1.2391177506287931e-07,0.0
1807,3.131650672116848e-08,0.0
1808,7.478043961839376e-08,2.039466551195801e-08
1809,1.8072244145628247e-08,0.0
1810,6.786367467981336e-08,1.1700633351097167e-08
1811,4.763445815569867e-08,1.2535384286138651e-08
1812,2.9339290108509886e-08,6.934741048070237e-08
1813,5.463909147351842e-08,8.627225156487839e-09
1814,3.461344899591268e-08,5.034683425719777e-08
1815,8.091670444798638e-09,1.888056444521169e-08
1816,9.270415546325239e-09,2.0858434979231788e-08
1817,8.095742032310227e-08,3.425121453126678e-08
1818,3.099506074022429e-08,2.1458118615313992e-08
1819,1.0040518816367694e-07,6.210630232317271e-08
1820,5.93324074316115e-08,3.9159387732468076e-08
1821,5.719663320746804e-08,6.508582517383843e-08
1822,5.413832582235045e-08,2.0051231786055723e-08
1823,2.8659792761231984e-08,2.668325471688604e-08
1824,3.621078548121659e-08,2.105278085196005e-08
1825,6.95629991387392e-08,6.339919167430708e-08
1826,4.4039921931471326e-08,3.787433300317389e-08
1827,3.3182182335167454e-08,1.935627302884768e-08
1828,4.769596628761974e-08,5.686826770601172e-08
1829,3.172075158097698e-08,3.857929264938775e-08
1830,9.706257486641334e-08,7.410153290976496e-08
1831,5.1450980143030733e-08,5.768746080825338e-08
1832,3.111892965534935e-08,5.8178868167502173e-08
1833,3.8225973497674204e-08,1.0309429177013385e-07
1834,8.681113605746305e-08,2.5203233944282033e-08
1835,5.52105419160398e-08,5.899208588289184e-08
1836,3.1587525484155776e-08,3.024337535961763e-08
1837,1.8090515530033713e-08,5.427154903259179e-08
1838,4.86036455527028e-08,7.5745943961536e-08
1839,5.593180230079042e-08,4.9639474752893875e-08
1840,4.58617570586739e-08,2.5478754384078428e-08
1841,5.3290552415319326e-08,2.5682193260934127e-08
1842,1.8783141708667017e-08,4.8970334010078886e-08
1843,3.839492035417891e-08,2.8353174030826267e-08
1844,4.390849023261367e-08,1.3721403568922597e-08
1845,1.7298706467272496e-08,4.9106004429422256e-08
1846,4.5665111247927825e-08,3.1028857927495324e-08
1847,2.6426796750911308e-08,5.44715597072809e-08
1848,2.172209789819135e-08,4.1835152897462535e-08
1849,2.1786478399121734e-08,6.70353177412153e-08
1850,2.308258650884909e-08,2.7834883731259197e-08
1851,1.1608989325395669e-08,1.9993260380601896e-08
1852,3.8412219849348617e-08,1.1067927019325907e-08
1853,3.1054046445433414e-08,2.329053394589664e-08
1854,3.273268500691984e-08,1.7665259477439577e-08
1855,3.980202833986368e-08,3.131092896069276e-08
1856,5.539592606851329e-08,2.7439103433835044e-08
1857,3.954022459451423e-08,1.757343248698362e-08
1858,4.9426128856389084e-08,1.5170396494568195e-08
1859,4.277425569298998e-08,2.2405561850291633e-08
1860,1.51047069019139e-08,3.844834592370283e-08
1861,5.470517772110384e-08,3.0182167432002416e-08
1862,3.343309987191567e-08,2.3945327942698214e-08
1863,1.9978482868054925e-08,1.39849385405455e-08
1864,2.4453112201783256e-08,1.8699439774394477e-08
1865,2.8241066374334878e-08,2.447559088736284e-08
1866,3.2113044667880786e-08,1.702964524952222e-08
1867,1.8925964795357686e-08,2.232293283555009e-08
1868,2.7663294210888978e-08,1.0867723165830512e-08
1869,4.102156014873515e-08,3.857980157562224e-08
1870,1.3188312220080434e-08,2.3509600932669628e-08
1871,1.6993883855676017e-08,1.274541228113435e-08
1872,3.4469832321804006e-08,3.3260366905096816e-08
1873,2.7535620894525437e-08,2.21482157058972e-08
1874,2.509335778055899e-08,1.8521287947770304e-08
1875,1.94531928343622e-08,3.718992758194872e-08
1876,3.0834675479596285e-08,9.673623679873344e-09
1877,3.834585893258691e-08,1.2369632207409609e-08
1878,5.4955707762260886e-08,1.0870359723469392e-08
1879,4.4598075343849075e-08,1.221865053580018e-08
1880,2.3104245627791897e-08,1.5402831232691483e-08
1881,4.671580100534811e-08,3.137628468152798e-08
1882,1.3976308999019693e-08,1.7969540078155433e-08
1883,3.6652167523243406e-08,1.9589950661647038e-08
1884,2.772712726084592e-08,2.1125430293977843e-08
1885,2.707166935067562e-08,4.060750491419185e-08
1886,2.774989482645651e-08,1.2906927970846027e-08
1887,2.3504128421336645e-08,9.793386546164129e-09
1888,2.346027505595316e-08,1.7119660133957382e-08
1889,4.322944491264025e-08,1.3783300722991498e-08
1890,1.7696843102044113e-08,1.7696843546133323e-08
1891,1.9122660899206778e-08,1.7210394887001712e-08
1892,1.817868566789116e-08,2.570090096298827e-08
1893,2.894455697344256e-08,1.97069330298838e-08
1894,4.2220313245522334e-08,1.449354058991048e-08
1895,2.8889349357186234e-08,2.6481902892783182e-08
1896,2.8895442705234586e-08,1.8280790214930676e-08
1897,2.097616802476665e-08,2.0976168357833558e-08
1898,1.2448381103702388e-08,1.5277558773618694e-08
1899,8.844125432005967e-09,2.7085134135518274e-08
1900,1.5573159761750333e-08,3.426095018799202e-08
1901,2.4590450786732276e-08,1.9001712314725694e-08
1902,2.356936334990678e-08,9.329538919189417e-09
1903,2.1060859722865644e-08,1.5120615870500842e-08
1904,1.8811189050893518e-08,1.5048950530172078e-08
1905,2.5287720029076866e-08,8.257214467732865e-09
1906,2.006231891726884e-08,1.7490227710581507e-08
1907,1.5942813902380948e-08,6.171411992550446e-09
1908,3.14328898465277e-08,1.964555629285769e-08
1909,1.870334465081669e-08,7.151278680339601e-09
1910,1.4963622119168463e-08,2.8858412992605054e-08
1911,1.7025197585063268e-08,1.3300935464144459e-08
1912,2.344239469209697e-08,1.82329742415277e-08
1913,1.909076252637476e-08,5.833288518886093e-09
1914,4.754688076591407e-08,6.696743604095445e-09
1915,2.1205371680821372e-08,1.4136913861761968e-08
1916,2.307367052978293e-08,2.197492410260793e-09
1917,4.496233962925089e-08,9.869782324756216e-09
1918,2.5270027848023346e-08,1.033773866510046e-08
1919,3.4069039145379065e-08,1.012863304339362e-08
1920,2.953170330499688e-08,8.329454459499175e-09
1921,3.7863738422405646e-08,1.36309453724337e-08
1922,3.6889677090812256e-08,9.591316185719734e-09
1923,2.653987030143412e-08,1.3800733000834953e-08
1924,5.156649840465377e-08,1.804827398643738e-08
1925,2.969508017258704e-08,1.8696901804560184e-08
1926,1.0031524944054127e-08,1.3375366592072169e-08
1927,1.8953683067479687e-08,1.3379069518926201e-08
1928,2.2852082337543322e-08,1.2568645679778001e-08
1929,1.7824650200282122e-08,4.4561625500705304e-09
1930,2.625900974440043e-08,1.0503603542488804e-08
1931,3.5356604755065746e-08,1.2545892325022123e-08
1932,1.53433514782364e-08,2.4110979879310435e-08
1933,2.408839039347299e-08,8.029463538505865e-09
1934,2.6359476379411717e-08,1.3179738189705859e-08
1935,2.393656917121234e-08,4.787313656606784e-09
1936,2.9099314957647948e-08,1.8187071404440758e-08
1937,1.6368453259474336e-08,7.554670666820584e-09
1938,1.2965214124527336e-08,2.463390735840676e-08
1939,2.2941076593951948e-08,1.2235240376412548e-08
1940,1.0143131667916805e-08,1.2678914806940611e-08
1941,1.0920559567750843e-07,1.1806010391524069e-08
1942,4.5513175450651033e-08,2.730790527039062e-08
1943,2.6129116648121453e-08,1.7419411690866582e-08
1944,3.213186161588055e-08,4.819779064746399e-08
1945,2.6142049414090707e-08,8.714016175304096e-09
1946,2.227376683094917e-08,1.1136883415474585e-08
1947,1.668921911779364e-08,1.6689218895749036e-08
1948,1.8482209318548826e-08,1.195907639583993e-08
1949,1.0798709482173763e-08,2.2579119796084512e-08
1950,1.8080114516649815e-08,1.8080114516649815e-08
1951,2.1322804077961166e-08,1.2793682557799002e-08
1952,2.319856839960721e-08,2.0035127445972023e-08
1953,1.4005975934594517e-08,2.0470272588113403e-08
1954,2.6385848173049453e-08,1.5636057781875934e-08
1955,7.508486277174597e-09,5.631364707880948e-09
1956,2.3547081839936368e-08,2.616342476002842e-08
