year,vos_DET airs_NOUN,vos_DET pairs_NOUN
1800,2.2009151834367913e-08,0.0
1801,3.5717737434382e-08,3.809892179518215e-08
1802,3.3567602031325805e-08,1.3427040812530322e-08
1803,5.265915836716317e-08,3.900678446910888e-09
1804,1.359518080334965e-07,9.887403784603066e-09
1805,4.548604315424143e-08,2.842877711017877e-09
1806,1.0374009207225754e-07,5.76333825108577e-09
1807,1.7081730252499483e-08,5.693910232196231e-09
1808,4.75875534533543e-08,6.798221985349073e-09
1809,1.3554183553310395e-08,1.581321384946932e-08
1810,1.0530570193623134e-07,3.510190094146992e-08
1811,8.774768467390004e-08,0.0
1812,6.134578844907423e-08,1.8670457180292033e-08
1813,6.039057609541487e-08,3.163315653864629e-08
1814,9.125363398254649e-08,1.2586708564299443e-08
1815,1.8880564667256294e-08,3.506390555685357e-08
1816,3.0128852301913867e-08,2.0858434979231788e-08
1817,7.472992091805963e-08,7.317304895337884e-08
1818,5.0068943213688044e-08,2.8610826152686286e-08
1819,5.175524897538253e-08,3.001804493862892e-08
1820,7.950542535439808e-08,4.390598107306687e-08
1821,6.015507691969901e-08,1.3806083165590621e-08
1822,2.5064039732569654e-08,2.90742860897808e-08
1823,5.731958552246397e-08,1.087095569118901e-08
1824,3.8737119290033206e-08,3.115811697540494e-08
1825,5.459374818883589e-08,1.584979791857677e-08
1826,2.8185549894033102e-08,1.4092774724971946e-08
1827,2.0278000945062047e-08,4.4242910446357087e-08
1828,5.3199348259980184e-08,3.944089499441361e-08
1829,3.0006116702452346e-08,5.143905768001389e-08
1830,6.575206312753323e-08,1.6698937344017395e-08
1831,3.2741533706470705e-08,6.54830667468076e-08
1832,4.058990832334075e-08,1.3529969256076413e-08
1833,4.749287596528262e-08,1.3900354645102198e-08
1834,2.893704542650255e-08,3.733812370398937e-09
1835,5.218530674255817e-08,1.285724948729694e-08
1836,2.822714967321005e-08,2.6210925874181612e-08
1837,1.8090516529234435e-08,2.5744196108234974e-08
1838,3.787297009338886e-08,2.9035945203759184e-08
1839,2.6567605448946097e-08,1.3982949909063791e-08
1840,3.375935120342177e-08,2.4841785517537573e-08
1841,3.5955072252846776e-08,7.704658244733764e-09
1842,6.439934541191406e-08,2.2808101185489704e-08
1843,3.7804230856863796e-08,1.713004182946065e-08
1844,3.56756482688958e-08,2.4698525058486354e-08
1845,5.6918324276011845e-08,2.0646843346128207e-08
1846,4.9763260845381296e-08,1.6978054073746307e-08
1847,3.020205241455187e-08,1.4022381478184798e-08
1848,5.5512030749937935e-08,2.2526621346052877e-08
1849,3.854530761238095e-08,5.698002336629315e-08
1850,5.159636806695289e-08,1.6972490080036096e-08
1851,2.4507867735223954e-08,1.805842941848823e-08
1852,4.5573818718835923e-08,1.4323200403509873e-08
1853,4.060913649794884e-08,1.6721409812348043e-08
1854,6.33871053423718e-08,2.4939190268469247e-08
1855,8.278822249963014e-08,2.865746040470185e-08
1856,3.572260576234498e-08,1.9155599773057475e-08
1857,5.272029879321849e-08,3.563501588255136e-08
1858,5.1872966366772744e-08,2.6425849952715907e-08
1859,4.786642771037464e-08,3.3608344329749684e-08
1860,6.087654602637826e-08,3.478659826861019e-08
1861,4.810282866474225e-08,1.4147890803339891e-08
1862,3.885468324860142e-08,1.8523744343967863e-08
1863,5.044567208400963e-08,1.6482248454963155e-08
1864,6.856460954551835e-08,1.2945765348604255e-08
1865,4.7068444919418084e-08,1.0825742080555756e-08
1866,5.1575495207956124e-08,3.35727279310305e-08
1867,5.386620571812273e-08,3.882249366427004e-08
1868,5.236266353847441e-08,2.1241458814102998e-08
1869,7.325278961189952e-08,2.7347706987868037e-08
1870,2.8670243512607385e-08,1.9495765002375265e-08
1871,2.549082545044712e-08,2.8677177965619194e-08
1872,3.9307707089264454e-08,1.2699412854644265e-08
1873,2.9930021461233025e-08,9.577607151811662e-09
1874,3.5847653734322193e-08,5.377148060148329e-09
1875,3.37570102426632e-08,1.6592428764283795e-08
1876,5.6832537564943664e-08,1.4510435075720807e-08
1877,6.865146029433333e-08,1.979141139862861e-08
1878,3.442280499532657e-08,1.5097721739465442e-08
1879,6.048231937505477e-08,3.360128797424977e-08
1880,3.3372801855335865e-08,2.1820677043038472e-08
1881,1.8128519629900808e-08,1.1156012336144272e-08
1882,5.923292589748996e-08,2.5290463501193017e-08
1883,4.613117443597048e-08,7.58320695126713e-09
1884,3.4328825115892414e-08,2.3105940272216685e-08
1885,1.4180398411056672e-08,8.379326565943757e-09
1886,2.5813855941692054e-08,6.4534639854230136e-09
1887,2.7421483972389638e-08,1.697520346510828e-08
1888,3.4873380627686856e-08,2.2192150561650692e-08
1889,2.7566601445982997e-08,1.5036328349093964e-08
1890,1.8352282582512203e-08,1.638596663910974e-08
1891,4.971891465199718e-08,1.3385862196457765e-08
1892,3.635737289009455e-08,5.641661360300532e-09
1893,2.2170299485146927e-08,8.621783287310336e-09
1894,2.6466465019581165e-08,2.0164925729204697e-08
1895,2.407445731655855e-08,1.9259566386153892e-08
1896,3.715128332748563e-08,2.122930492509667e-08
1897,3.43776108691074e-08,1.3401440845939305e-08
1898,1.697506502029711e-08,2.4896762096382474e-08
1899,2.65323762960179e-08,1.5477219506010442e-08
1900,3.426095018799202e-08,9.863001082521805e-09
1901,3.409130766574009e-08,2.0678333767509827e-08
1902,2.1114220427609354e-08,1.1293652790733688e-08
1903,1.4580595175672784e-08,1.4580594953628179e-08
1904,2.0961038238453966e-08,1.3436562973367927e-08
1905,1.3934049136743454e-08,8.773290538499623e-09
1906,3.806696413644062e-08,1.8519063615940468e-08
1907,3.394276593127188e-08,1.542852956504248e-08
1908,2.7503778587956162e-08,1.9154417163491644e-08
1909,3.13556076103616e-08,9.351672325408344e-09
1910,5.076943265791556e-08,2.939282950364941e-08
1911,3.724261787851901e-08,1.0640748726586935e-08
1912,3.2298411722919695e-08,2.81308754068732e-08
1913,3.606033122105501e-08,1.5378670392696137e-08
1914,3.616241528447972e-08,1.6072185360371805e-08
1915,2.1205371236732162e-08,9.424609537234119e-09
1916,2.8567401111345703e-08,1.3184954683609362e-08
1917,2.8512703309502285e-08,5.483212106582869e-09
1918,6.087779347296873e-08,1.033773866510046e-08
1919,3.314825391953491e-08,2.762354567309444e-09
1920,2.8017257847068322e-08,1.4387239843927091e-08
1921,3.634918815942356e-08,1.287367074054302e-08
1922,5.976127831486266e-08,1.3280283539529592e-08
1923,4.352538862661959e-08,8.492758496458919e-09
1924,5.0277336072213075e-08,2.4494086758863887e-08
1925,4.2892892793133797e-08,1.9796720263087764e-08
1926,3.78968714187522e-08,1.3375366592072169e-08
1927,5.9090890403012963e-08,2.8987985345452216e-08
1928,3.313552077166548e-08,1.1426041446327417e-08
1929,6.461435875237953e-08,1.2254447234738564e-08
1930,3.7812974085227324e-08,1.2604324695075775e-08
1931,2.8513392535955973e-08,2.6232321204133768e-08
1932,2.6302887090601246e-08,1.0959536389520963e-08
1933,3.211785326584504e-08,4.588264879146209e-09
1934,1.677421224144382e-08,2.3963160344919743e-08
1935,2.393656828303392e-08,1.555876938397205e-08
1936,2.0612015205756506e-08,2.424943001955171e-08
