year,leurs_DET yeux_NOUN,leurs_DET pieux_NOUN
1800,1.0740466251490943e-05,2.829747991484055e-08
1801,1.024384789616306e-05,4.0480102825313224e-08
1802,7.946570548256204e-06,9.622712582313397e-08
1803,1.0498676260795037e-05,1.950339267864365e-08
1804,1.033728096899722e-05,2.9662210465630778e-08
1805,1.027984586698949e-05,7.675770063997334e-08
1806,7.451996168583719e-06,1.4408345627714425e-08
1807,8.02271915745223e-06,5.693910054560547e-08
1808,8.926065618197754e-06,6.571614363792833e-08
1809,8.376485482131102e-06,5.6475762733043666e-08
1810,9.985320929217778e-06,1.1232608621014606e-07
1811,6.721472885828916e-06,1.7549536934780008e-08
1812,7.113444510764566e-06,2.400487453257938e-08
1813,8.31376901544445e-06,3.738464116054274e-08
1814,9.156830358847401e-06,2.5173417128598885e-08
1815,8.072789967172866e-06,1.6183340889597275e-08
1816,8.790671245151316e-06,8.1116134253989e-08
1817,1.0283148526468722e-05,4.981994905506326e-08
1818,9.175729900334773e-06,3.695565098382758e-08
1819,9.754829648045416e-06,1.9666995143552413e-08
1820,9.826632734188934e-06,3.678609061807947e-08
1821,9.192879701913625e-06,6.114122896860863e-08
1822,8.40748123209778e-06,5.1130641054442094e-08
1823,8.466498243819842e-06,2.7671523739059012e-08
1824,9.613542275133113e-06,6.568468080558887e-08
1825,9.519564883930798e-06,2.0516682752713677e-07
1826,8.734877809501995e-06,1.6823249948672014e-07
1827,7.2798020767095295e-06,6.636436289397807e-08
1828,9.146618481281621e-06,5.4116576109208836e-08
1829,9.318184652329364e-06,4.543783305166471e-08
1830,8.576992001962935e-06,4.487839366795754e-08
1831,7.870440725810113e-06,6.548306430431694e-08
1832,8.343931952481398e-06,1.7588959622116818e-08
1833,9.226359793501615e-06,7.992703388026712e-08
1834,8.95181514692922e-06,5.2273371409228275e-08
1835,9.263270442261273e-06,7.411826175030001e-08
1836,8.980266670732817e-06,8.602560086501398e-08
1837,8.490018785778375e-06,9.532310385473863e-08
1838,8.090298337037893e-06,1.0920039983375318e-07
1839,8.287694811315305e-06,1.1535934163475758e-07
1840,8.452577262119121e-06,4.9046601446889326e-08
1841,8.721030951619468e-06,7.640452537316378e-08
1842,8.422227054438736e-06,1.0129480099152488e-07
1843,9.030485969674373e-06,6.911085703720232e-08
1844,9.118695260212917e-06,7.080244235346811e-08
1845,8.36811022963957e-06,3.961961914100698e-08
1846,8.638316558062797e-06,5.561776306173272e-08
1847,8.179363419458241e-06,6.364004256909084e-08
1848,7.890753423112074e-06,5.873011943435813e-08
1849,7.73168618195541e-06,5.53041381579078e-08
