year,beaux_ADJ âges_NOUN,beaux_ADJ pages_NOUN
1800,2.829747991484055e-08,0.0
1801,9.524730337773235e-09,0.0
1802,2.6854081625060644e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,2.9662210465630778e-08,0.0
1805,5.1171799242411e-08,1.421438877713399e-08
1806,2.0171682990621775e-08,0.0
1807,5.97860605466849e-08,0.0
1808,4.758755522971114e-08,0.0
1809,3.162642769893864e-08,0.0
1810,9.360507036149102e-09,2.3401267590372754e-09
1811,3.5099073869560016e-08,0.0
1812,0.0,0.0
1813,5.176335093892703e-08,0.0
1814,4.72001566720337e-08,0.0
1815,2.4275012222574333e-08,8.091670444798638e-09
1816,3.0128852301913867e-08,0.0
1817,1.8682481339737933e-08,1.2454987263765815e-08
1818,1.0729059418679299e-08,4.768470951432846e-09
1819,3.415846450138815e-08,1.449147024601416e-08
1820,6.051905643289501e-08,1.0679833017945839e-08
1821,3.747365440176509e-08,4.930744257336528e-09
1822,3.208197085768916e-08,1.5038423839541792e-08
1823,4.5460360809101985e-08,3.9530747564242574e-09
1824,1.0947446504872005e-08,5.052667617633233e-09
1825,5.107157008410468e-08,7.924898959288385e-09
1826,1.4092774947016551e-08,7.0463874735082754e-09
1827,3.410390903013649e-08,1.474763688946723e-08
1828,2.4765213879618386e-08,1.1923991571904935e-08
1829,2.5719527840806222e-08,1.1145129263923081e-08
1830,6.992679857376061e-08,1.7742621594152297e-08
1831,2.0268567268999504e-08,3.1182412207897414e-09
1832,3.788391467196561e-08,8.117981842303834e-09
1833,3.4750886612755494e-09,6.950177322551099e-09
1834,9.427876079826092e-08,3.080395316601425e-08
1835,1.5126175867408165e-08,1.2100940693926532e-08
1836,2.016225053580456e-08,6.048674894287842e-09
1837,1.3219993100221927e-08,4.87052354003481e-09
1838,7.574594285131298e-09,1.009945904684173e-08
1839,1.8876983531868063e-08,6.292327547896548e-09
1840,1.6561189752906103e-08,7.0066574764382494e-09
1841,7.512041833024341e-08,5.778493683550323e-09
1842,2.817471411731276e-08,1.609983613093391e-08
1843,3.603215859016018e-08,1.4767278067040479e-08
1844,2.9089374464774664e-08,6.037417232818143e-09
1845,2.2320911341466854e-08,1.3392547515422848e-08
1846,3.8639708321852595e-08,7.025401593807601e-09
1847,2.3730184040005042e-08,7.011190739092399e-09
1848,2.333114323960217e-08,1.045878850192139e-08
1849,1.75967720394965e-08,0.0
1850,2.1724787302446202e-08,2.0366988096043315e-09
1851,2.3862924081186065e-08,1.9348316282474798e-09
1852,2.0833745395520964e-08,5.208436348880241e-09
1853,2.329053394589664e-08,8.957897534855874e-09
1854,2.0782657372819813e-08,3.63696517347023e-09
1855,3.767925349507095e-08,1.0613874223963649e-09
1856,4.34883880018333e-08,4.659470143053568e-09
1857,2.39193944651106e-08,9.763018171682347e-10
1858,2.8872689128434104e-08,1.4191660291373864e-08
1859,1.5785737161877478e-08,0.0
1860,3.707518914097818e-08,5.950338888283113e-09
1861,2.0750240636857598e-08,3.3011746669586728e-09
1862,1.445755604123633e-08,1.3553959066214816e-09
1863,3.3963420520422005e-08,1.1987090431375691e-08
1864,4.17141343689309e-08,1.102787461348953e-08
1865,2.9653119071326728e-08,1.882737743486018e-09
1866,3.6978658357611494e-08,7.298419202328432e-09
1867,4.804283548764943e-08,8.73506067478047e-09
1868,1.5807597009143137e-08,9.385760613156435e-09
1869,4.0533208789383934e-08,1.1720445947105418e-08
1870,2.064257564882155e-08,4.013834153937523e-09
1871,1.4869648623516696e-08,4.248470908407853e-09
1872,1.3908880269752899e-08,2.4189357183956872e-09
1873,2.6338419445437466e-08,1.1972008939764578e-09
1874,1.6728906260254917e-08,1.7923826867161097e-09
1875,1.4303817685856757e-08,2.2886108563824337e-09
1876,2.418405919968336e-08,2.418405919968336e-09
1877,1.4225077116236662e-08,8.040260901509555e-09
1878,2.4156355138416075e-08,5.435179861734696e-09
1879,1.1607718342077078e-08,7.94212251520321e-09
