year,ses_DET îles_NOUN,ses_DET iles_NOUN,ses_DET piles_NOUN
1800,4.3389470505417194e-07,2.2009150946189493e-08,1.8864987794131594e-08
1801,2.619300805140057e-07,1.6668277424969347e-08,0.0
1802,3.849085032925359e-07,1.7902721083373763e-08,3.3567602031325805e-08
1803,1.7553052944485614e-07,5.070882092006457e-08,9.751696339321825e-09
1804,4.2268651512245015e-07,1.7302956623055366e-08,3.213406074564773e-08
1805,2.5870187414511747e-07,1.1371510844071508e-08,3.1271653710973624e-08
1806,2.0459850702536642e-07,0.0,3.458002950651462e-08
1807,1.7651121630990474e-07,2.562259648897225e-08,9.11025637151397e-08
1808,2.7646103717415826e-07,1.3596443970698147e-08,7.024829073998262e-08
1809,3.4337264054329353e-07,6.7770915546105925e-09,2.710836621844237e-08
1810,1.8721014605205255e-07,1.6380887313260928e-08,5.8503168531842675e-08
1811,1.579458341893769e-07,2.2563691359778204e-08,2.0056614147279106e-08
1812,3.78743580053964e-07,1.8670457180292033e-08,5.867858021701977e-08
1813,1.4091134414861983e-07,1.1502966579257645e-08,6.326631307729258e-08
1814,3.618678761085903e-07,1.8880061958270744e-08,9.125363931161701e-08
1815,2.6972236688571627e-07,5.394447111228828e-09,5.394447111228828e-09
1816,2.2017236567251075e-07,4.6352077731626196e-09,2.7811246638975717e-08
1817,2.693390968033782e-07,9.341240447824362e-09,1.0898113522728181e-08
1818,3.433298989552469e-07,1.192117760062672e-08,2.0266001543589596e-08
1819,1.8528379541749018e-07,2.0702100700376036e-08,1.6561680027393777e-08
1820,5.684044559473023e-07,9.493184904840746e-09,1.1866481131050932e-08
1821,2.50481804964231e-07,1.676452932031225e-08,2.761216755242657e-08
1822,1.965020715033461e-07,2.2056354964661296e-08,3.909990198280866e-08
1823,2.9252754529807135e-07,2.2730180404550993e-08,2.174191138237802e-08
1824,2.560018250719054e-07,1.6842225392110777e-08,6.989523804179498e-08
1825,3.4605392329467577e-07,1.6730341556581152e-08,4.0505038434446305e-08
1826,4.095712813345642e-07,2.025836387531399e-08,2.8185549671988497e-08
