year,aurais_VERB assez_ADV,aurais_VERB passé_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,7.143547975374531e-09,4.7623651688866175e-09
1802,0.0,6.713520406265161e-09
1803,1.950339223455444e-09,0.0
1804,0.0,4.943701892301533e-09
1805,0.0,8.528632911009026e-09
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,9.064295980465431e-09
1809,2.259030518203531e-09,4.518061036407062e-09
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,2.5070767684098882e-09,1.0028307073639553e-08
1812,1.600324850414836e-08,2.9339290108509886e-08
1813,0.0,0.0
1814,0.0,6.293354282149721e-09
1815,0.0,0.0
1816,0.0,9.270415546325239e-09
1817,0.0,1.8682481339737933e-08
1818,2.384235475716423e-09,2.5034472272977837e-08
1819,6.210630232317271e-09,1.2421260464634543e-08
1820,1.1866481131050932e-09,2.3732962262101864e-09
1821,9.861488514673056e-09,2.1695274909916407e-08
1822,2.0051231786055723e-09,2.4061478143266868e-08
1823,1.2847492847356534e-08,3.9530747564242574e-09
1824,1.6842225392110777e-09,1.6000115010683658e-08
1825,6.163809906922779e-09,4.4027217427355936e-09
1826,1.3211976401805714e-08,7.927186018719112e-09
1827,2.7651818612639545e-09,1.7512819638909605e-08
1828,1.0089530988466322e-08,2.384798314380987e-08
1829,0.0,1.628903412154159e-08
1830,1.1480519646056564e-08,1.982998831806526e-08
1831,1.5591206103948707e-09,1.2472964883158966e-08
1832,6.764984572527055e-09,1.488296597074168e-08
1833,4.6334514003376626e-09,1.1583628278799551e-08
1834,4.667265685043276e-09,3.733812370398937e-09
1835,1.2100940693926532e-08,3.781543966852041e-09
1836,9.409050427677812e-09,2.083432448785061e-08
1837,1.3915781860163179e-09,2.1569462660409044e-08
1838,0.0,5.049729523420865e-09
1839,6.292327547896548e-09,8.38977065598101e-09
1840,9.554533164646273e-09,1.4013314952876499e-08
1841,6.420548537278137e-09,5.778493683550323e-09
1842,1.0733224087289273e-08,3.3541325272778977e-09
1843,7.088293507706567e-09,4.134837805480629e-09
1844,8.232841963717874e-09,1.3172547497219966e-08
1845,6.696273757711424e-09,2.2320911785556063e-09
1846,1.1709002656346001e-09,7.610851504580296e-09
1847,1.6179670936367074e-09,1.4022381478184798e-08
1848,2.413566457803995e-09,9.65426583121598e-09
1849,2.513824481908955e-09,1.6758829879393033e-09
1850,2.0366988096043315e-09,9.504594444820214e-09
1851,4.514607354622058e-09,5.8044946626978344e-09
1852,2.6042181744401205e-09,4.557382027314816e-09
1853,1.7915795513800958e-09,2.388772735173461e-09
1854,8.313063126763609e-09,9.871762074453727e-09
1855,7.960405667972736e-09,1.8043586180738203e-08
1856,2.5885946719483854e-09,1.1907535402144731e-08
1857,3.4170564155999728e-09,1.3180074809326925e-08
1858,2.936205500958522e-09,1.5170396494568195e-08
1859,1.6804172275897145e-08,1.018434669930457e-08
1860,1.0527522853465143e-08,2.242820151820979e-08
1861,5.659156698811785e-09,1.131831339762357e-08
1862,1.2198563048571032e-08,2.3945327498609004e-08
1863,1.4983863039219614e-09,6.493007020935693e-09
1864,3.3563094525845827e-09,2.0617330065419992e-08
1865,7.530950973944073e-09,9.413688495385486e-09
1866,3.8924903300596725e-09,8.271541673821048e-09
1867,1.0190904120577216e-08,8.73506067478047e-09
1868,6.421836395986702e-09,1.531360993567432e-08
1869,4.883519366671862e-09,2.0999133099053324e-08
1870,4.587239033071455e-09,2.8670243956696595e-09
1871,8.496941816815706e-09,1.5931766128574054e-08
1872,4.8378714367913744e-09,1.3304146229131675e-08
1873,1.1972008939764578e-09,1.5563610844537834e-08
1874,8.961913877669758e-09,1.3741600746186577e-08
1875,4.577221712764867e-09,6.293679799540541e-09
1876,3.02300739996042e-09,1.269663130187837e-08
1877,5.566334504436554e-09,8.658742167710898e-09
1878,1.0870359723469392e-08,1.3285995414946683e-08
1879,1.0996785704264767e-08,1.0996785704264767e-08
1880,1.0910338410496934e-08,2.1178893305773272e-08
1881,9.761510710859511e-09,1.4642266066289267e-08
1882,8.652000893505374e-09,2.2628309892525067e-08
1883,7.58320695126713e-09,1.4534479397809719e-08
1884,3.300848483434038e-09,8.582206056928499e-09
1885,5.156508553483263e-09,9.66845359329227e-09
1886,9.034849313138693e-09,8.38950331427668e-09
1887,5.876032105334161e-09,8.48760173255414e-09
1888,7.60873763994141e-09,1.0779045211961602e-08
1889,2.5060546970934183e-09,1.0650732740202784e-08
1890,7.209825181320184e-09,5.243509182406569e-09
1891,3.1871101313640793e-09,8.286486163910922e-09
1892,6.268512375839919e-10,2.382034658410248e-08
1893,5.542574843531156e-09,1.7243566574620672e-08
1894,7.561847148451761e-09,7.561847148451761e-09
1895,1.8055843487019274e-09,6.6204757231957956e-09
1896,4.1279202278587945e-09,2.5357223876198987e-08
1897,4.661370844871726e-09,9.322741689743452e-09
1898,6.7900258748920805e-09,6.7900258748920805e-09
1899,8.291367592505594e-09,9.39688327150634e-09
1900,1.5573159428683425e-09,7.786579381274805e-09
1901,8.38310842965484e-09,1.676621685930968e-08
1902,1.9641135384773634e-09,1.5221880644844532e-08
1903,4.320176216765503e-09,7.560307935250421e-09
1904,2.1498500757388683e-09,1.5586412160928376e-08
1905,4.1286072338664326e-09,1.0321517862621477e-08
1906,3.600929110447737e-09,7.201858220895474e-09
1907,2.5714217422034835e-09,9.257117739025489e-09
1908,3.437972351250096e-09,7.367083831866239e-09
1909,1.1001967115120692e-09,1.265226234892225e-08
1910,5.878565634276356e-09,1.336037680488289e-08
1911,5.3203743632934675e-09,1.5429085564733214e-08
1912,5.730363294986773e-09,1.719108944087111e-08
1913,7.954484182448596e-09,1.1666577037772186e-08
1914,8.705766774141921e-09,1.2054139020278853e-08
1915,4.712304768617059e-09,1.1780762143587253e-08
1916,2.197492410260793e-09,1.0987462051303964e-09
1917,2.1932848870420685e-09,3.289927441585405e-09
1918,2.2972752589112133e-09,5.743188147278033e-09
1919,9.207848372660976e-10,9.207848705727883e-09
1920,2.2716695191604686e-09,1.3630017114962811e-08
1921,1.741731914250977e-08,1.741731914250977e-08
1922,1.3280283539529592e-08,1.1804696775641332e-08
1923,8.492758496458919e-09,3.1847844361720945e-09
1924,1.1602462102189293e-08,1.2891624656674594e-08
1925,3.299453377181294e-09,1.0998178368026856e-08
1926,7.802296586589819e-09,2.6750733184144337e-08
1927,1.1149224654616319e-08,1.5608915049369898e-08
1928,1.0283437212876834e-08,7.998228745975666e-09
1929,1.2254447234738564e-08,1.4482528065684619e-08
1930,1.3654684494213143e-08,6.302162347537887e-09
1931,5.7026783295555106e-09,4.5621426636444085e-09
1932,4.383814644626227e-09,1.4247397928102146e-08
1933,2.2941324395731044e-09,1.8353059516584835e-08
1934,0.0,9.585264137967897e-09
1935,5.98414207075848e-09,9.574627313213568e-09
1936,4.849885826274658e-09,6.0623572828433225e-09
1937,6.295559185076627e-09,8.813782592653752e-09
1938,5.186085783037697e-09,3.8895642262559704e-09
1939,1.5294050470515685e-09,1.5294050470515685e-08
1940,7.607348528892999e-09,7.607348528892999e-09
1941,5.9030051957620344e-09,1.4757512545315876e-08
1942,6.068423541449874e-09,9.102635090130207e-09
1943,0.0,2.6129116648121453e-08
1944,0.0,2.8918675454292497e-08
1945,2.178504043826024e-09,8.714016175304096e-09
