year,plus_ADV eu_VERB,plus_ADV pu_VERB
1800,6.382653623404622e-07,1.0061326349841693e-07
1801,8.857999205247324e-07,1.166779455274991e-07
1802,9.689847502158955e-07,1.4545960880241182e-07
1803,7.547812970187806e-07,1.2092102963379148e-07
1804,7.909923169791e-07,1.087614407424553e-07
1805,9.324638767793658e-07,1.194008660831969e-07
1806,6.656655955339374e-07,6.627838899930794e-08
1807,8.512395766047121e-07,1.0818429529990681e-07
1808,9.562832019582856e-07,9.064295625194063e-08
1809,1.070780513146019e-06,1.1295152546608733e-07
1810,9.313704367741593e-07,1.2870697219113936e-07
1811,1.0153661378353718e-06,8.774768645025688e-08
1812,9.735309731695452e-07,1.0402111882967802e-07
1813,1.1502966117404867e-06,1.2653262615458516e-07
1814,7.898159424257756e-07,1.0698702368472368e-07
1815,1.1652006151052774e-06,7.012781111370714e-08
1816,9.502176112619054e-07,9.733936678912869e-08
1817,9.590339686837979e-07,9.341240314597599e-08
1818,1.0097237463924102e-06,1.3828565670337412e-07
1819,9.057168881554389e-07,9.419455437864599e-08
1820,9.88477836472157e-07,7.238553223487543e-08
1821,9.930519127010484e-07,7.494730880353018e-08
1822,8.712260068932665e-07,8.221005032282847e-08
1823,1.0485530310688773e-06,8.696764552951208e-08
1824,8.783220550867554e-07,9.347434826167955e-08
1825,9.589127785147866e-07,8.277116592125822e-08
1826,8.78156015460263e-07,1.0129181760021311e-07
1827,9.632050250729662e-07,7.005127855563842e-08
1828,1.0337183766750968e-06,7.704733206992387e-08
1829,1.0176360092373216e-06,8.573176302206775e-08
1830,9.372278668706713e-07,1.1584887715798686e-07
1831,9.167629286821466e-07,1.0757932500382594e-07
1832,9.268028975384368e-07,7.441482807735156e-08
1833,9.417490218766034e-07,1.18153010930655e-07
1834,9.297193059865094e-07,1.101474680353931e-07
1835,9.408481673744973e-07,7.33619529569296e-08
1836,1.0034079878096236e-06,7.594447737346854e-08
1837,1.0235057743557263e-06,9.74104708006962e-08
1838,8.319429412040336e-07,5.680945847075236e-08
1839,1.0095690186062711e-06,1.0696957275513341e-07
1840,1.0573683084658114e-06,1.3694830158783589e-07
1841,1.1409314311094931e-06,7.255219713897532e-08
1842,1.0236811931463308e-06,8.049917710195587e-08
1843,9.557381872582482e-07,7.206431718032036e-08
1844,8.6938808863124e-07,6.311845623940826e-08
1845,8.911624149732233e-07,8.314539456932835e-08
1846,8.816879244477605e-07,5.795956425913573e-08
1847,9.448928040001192e-07,7.604445073638999e-08
1848,1.034615479511558e-06,1.0378335701943797e-07
1849,1.0139092410099693e-06,1.3909829021940823e-07
1850,9.647163778936374e-07,9.097254860535031e-08
1851,1.1060787983296905e-06,1.064157402197452e-07
1852,1.0241087693430018e-06,1.1784086950683559e-07
1853,1.0856972494366346e-06,1.0331442013011838e-07
1854,1.0271828614349943e-06,9.092412511790826e-08
