year,des_DET oies_NOUN,des_DET poids_NOUN
1800,3.772997354545282e-07,1.829903721883852e-06
1801,4.643306181772999e-07,1.7335008948293762e-06
1802,4.1400042505301826e-07,1.107730895455461e-06
1803,4.5442904728076883e-07,1.0005239712285174e-06
1804,3.3617172467970136e-07,6.723434466948675e-07
1805,4.0368864784312564e-07,9.807928273986022e-07
1806,1.9595349609602408e-07,2.334152019223268e-06
1807,2.9893028363758845e-07,9.793525048706897e-07
1808,2.809931678449118e-07,7.908597976502563e-07
1809,5.195770000909761e-07,9.239434781704858e-07
1810,3.9314129374190543e-07,1.2519678627143094e-06
1811,3.183987451471637e-07,1.215932201148462e-06
1812,1.520308643421231e-07,2.0644190952268104e-06
1813,2.0705340375570813e-07,1.4004862336491897e-06
1814,3.27254436438551e-07,4.814416092457918e-07
1815,2.751168040049379e-07,1.1166505604620625e-06
1816,2.2248996955909206e-07,1.2167420884168223e-06
1817,1.9149542329621738e-07,7.753229684936969e-07
1818,3.31408723130977e-07,1.149201526162713e-06
1819,2.1944226169523517e-07,1.08271987286912e-06
1820,2.385162769513727e-07,6.609630274212464e-07
1821,2.790801291174816e-07,7.938498187698428e-07
1822,2.1254305693219067e-07,8.612003910002386e-07
1823,2.15442573114899e-07,1.138485525409294e-06
1824,1.5158002586446173e-07,1.0037966635678686e-06
1825,2.4391076713925486e-07,9.641960261319582e-07
1826,2.3164998708136153e-07,1.3608335924786275e-06
1827,2.2582319425534791e-07,1.2646098763724467e-06
1828,2.1830077412410276e-07,1.0043669878001538e-06
1829,2.3490502504275312e-07,1.0939372332430253e-06
1830,2.536151120224872e-07,1.1668382451368586e-06
1831,3.3053355763534853e-07,7.811194313589453e-07
1832,2.1783250325757564e-07,1.0634556297794973e-06
1833,3.475088590221276e-07,1.3089500054963565e-06
1834,2.623003139134994e-07,8.326401719216392e-07
1835,2.6243915129953166e-07,8.13788275877414e-07
1836,2.473235943822871e-07,7.399545646213923e-07
1837,2.9710193816256947e-07,9.824542126501967e-07
