year,épisodes_NOUN heureux_ADJ
1800,0.0
1801,0.0
1802,4.475680270843441e-09
1803,1.950339223455444e-09
1804,0.0
1805,2.55858996212055e-08
1806,0.0
1807,0.0
1808,1.1330369531492579e-08
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,3.5763532135746345e-09
1819,0.0
1820,0.0
1821,1.97229765852569e-09
1822,0.0
1823,1.9765373782121287e-09
1824,9.263223965660927e-09
1825,1.7610886082763955e-09
1826,0.0
1827,0.0
1828,3.668920500743411e-09
1829,8.57317605795771e-10
1830,1.0436835840010872e-09
1831,0.0
1832,0.0
1833,0.0
1834,9.334530925997342e-10
1835,7.563087933704082e-10
1836,0.0
1837,0.0
1838,3.1560809521380406e-09
1839,2.7965900706306e-09
1840,3.1848443882154243e-09
1841,0.0
1842,1.341653010911159e-09
1843,0.0
1844,0.0
1845,1.1160455892778032e-09
1846,0.0
1847,5.393223645455691e-10
1848,0.0
1849,1.256912263158938e-08
1850,1.3577992064028876e-09
1851,0.0
1852,0.0
1853,4.180352064508952e-09
1854,0.0
1855,0.0
1856,5.177189232874468e-10
1857,4.881509085841174e-10
1858,1.468102750479261e-09
1859,3.5645213447565993e-09
1860,4.577183909670879e-10
1861,0.0
1862,0.0
1863,0.0
1864,9.589455896019672e-10
1865,1.882737743486018e-09
1866,8.75810357570117e-09
1867,4.85281148598915e-10
1868,4.93987406535723e-10
1869,2.9301114867763545e-09
1870,0.0
1871,4.248470908407853e-09
1872,6.047339518033823e-09
1873,5.986004469882289e-10
1874,0.0
1875,0.0
1876,0.0
1877,5.566334504436554e-09
1878,0.0
1879,1.221865053580018e-09
1880,0.0
1881,1.3945015142624584e-09
1882,2.6621540527571597e-09
1883,0.0
1884,6.601696966868076e-10
1885,7.090199094506033e-09
1886,0.0
1887,0.0
1888,0.0
1889,2.5060546970934183e-09
1890,0.0
1891,2.5496880162734215e-09
1892,6.268512375839919e-10
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,2.8291773368493978e-09
1899,6.633094074004475e-09
1900,0.0
1901,1.1177477832191585e-09
1902,0.0
1903,5.400220270956879e-10
1904,3.2247751136083025e-09
1905,5.160759042333041e-10
1906,0.0
1907,7.71426478252124e-09
1908,2.9468334439286537e-09
1909,8.251475058784763e-09
1910,4.809735720812114e-09
1911,1.0640748282497725e-09
1912,4.688478938419394e-09
1913,1.060597942803554e-09
1914,6.027069510139427e-09
1915,0.0
1916,1.0987462051303964e-09
1917,1.0966424213165737e-08
1918,9.189101035644853e-09
1919,2.762354567309444e-09
1920,6.815008557481406e-09
1921,3.0290989716519334e-09
1922,2.2133805899215986e-09
1923,1.0615948120573648e-09
1924,5.156649773851996e-09
1925,1.0998177923937646e-09
1926,0.0
1927,0.0
1928,1.1426041224282812e-09
1929,5.570202965543558e-09
1930,5.2518016602221e-09
1931,1.1405356659111021e-09
1932,0.0
1933,4.588264879146209e-09
1934,2.3963160344919743e-09
1935,4.787313656606784e-09
1936,1.2124714565686645e-09
1937,1.2591118148108649e-09
1938,0.0
1939,3.058810094103137e-09
1940,2.5357829169792012e-09
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,0.0
1944,0.0
1945,0.0
1946,2.7842208538686464e-09
1947,3.5762612871081956e-09
1948,2.174377566888097e-09
1949,1.9634016634739737e-09
1950,1.0635361480382244e-09
1951,1.0661401761424827e-09
1952,3.1634410646574906e-09
1953,0.0
1954,2.9317608341017376e-09
1955,3.754243138587299e-09
1956,0.0
1957,3.534015080575159e-09
1958,1.6544486891589827e-09
1959,3.8753737996444215e-09
1960,6.920833350854139e-10
1961,6.948159270159238e-10
1962,0.0
1963,1.2932106496776896e-09
1964,3.041984220075733e-09
1965,2.188817349590977e-09
1966,1.6617224263271169e-09
1967,3.944268467392931e-09
1968,0.0
1969,1.3625273131978588e-09
1970,1.3796175313274261e-09
1971,5.138397485282553e-10
1972,0.0
1973,5.513203782392395e-10
1974,2.812785782069227e-09
1975,3.4268881066168433e-09
1976,1.7140580066410394e-09
1977,2.938390863960194e-09
1978,2.970295565063452e-09
1979,4.681578680276743e-09
1980,4.548120546843393e-09
1981,2.5302198114474095e-09
1982,2.483000915987077e-09
1983,2.5261264191556165e-09
1984,3.479405208395292e-09
1985,2.4062232206745193e-09
1986,4.7955883708539204e-09
1987,7.332980445085013e-09
1988,7.795519785247507e-09
1989,3.2928733073589456e-09
1990,2.179460389939436e-09
1991,3.5168792322792797e-09
1992,3.30596661157756e-09
1993,3.323524566667402e-09
1994,1.5824779264761446e-09
1995,2.7112254663563817e-09
1996,4.270473752399084e-09
1997,3.835915585170824e-09
1998,3.814503379828693e-09
1999,1.0511462811280126e-08
2000,6.185244316725402e-09
2001,3.5049694258049158e-09
2002,1.0514931148009055e-08
2003,5.416999737661854e-09
2004,7.488145215006625e-09
2005,6.305249655724765e-09
2006,2.4707338397433887e-09
2007,7.190063211481856e-09
2008,5.108927503272298e-09
2009,5.245011536203492e-09
2010,1.1337103700270745e-08
2011,5.7359579308524644e-09
2012,8.170206733382201e-09
2013,3.6258624991347688e-09
2014,6.279790909502481e-09
2015,6.64972610309178e-09
2016,6.8354220061905835e-09
2017,6.037467414898856e-09
2018,5.6792268665617485e-09
2019,8.16316081397872e-09
