year,ces_DET ailes_NOUN,ces_DET pelles_NOUN
1800,7.231578535993322e-07,0.0
1801,4.309940493385511e-07,7.143547975374531e-09
1802,5.706492345325387e-07,2.2378401354217203e-09
1803,5.909527942549175e-07,0.0
1804,4.597642870862728e-07,0.0
1805,3.951599971685482e-07,1.7057265822018053e-08
1806,3.890253381655384e-07,0.0
1807,2.4483813731990267e-07,5.693910232196231e-09
1808,2.673967252064813e-07,4.5321479902327155e-09
1809,2.530114144860818e-07,1.581321384946932e-08
1810,5.031272607425308e-07,2.3401267590372754e-09
1811,4.312171952847166e-07,0.0
1812,3.494042886131865e-07,0.0
1813,1.437870835729882e-07,0.0
1814,1.2272040450511668e-07,3.1466771410748606e-09
1815,1.8880565022527662e-07,0.0
1816,6.350234684759926e-07,9.270415546325239e-09
1817,6.071806240015576e-07,1.5568733857662664e-08
1818,5.579111075348919e-07,3.5763532135746345e-09
1819,3.747080228322375e-07,0.0
1820,3.0852852006546527e-07,0.0
1821,3.6487505639115625e-07,9.86148829262845e-10
1822,5.383755734555962e-07,8.02049271442229e-09
1823,3.765303837610645e-07,3.5577674140085946e-08
1824,2.871599491527377e-07,9.263223965660927e-09
1825,3.8039515004584246e-07,0.0
1826,2.3517318048504876e-07,1.0569580766173203e-08
1827,2.4425773048619703e-07,3.318218355641278e-08
1828,2.834241144000771e-07,4.586150681440415e-09
1829,1.7917937800149275e-07,0.0
1830,3.057992934429876e-07,2.0873671680021744e-09
1831,1.7929886553247343e-07,0.0
1832,4.857259057189367e-07,1.3529969367098715e-09
1833,3.1854977322609557e-07,1.0425265539737438e-08
1834,3.0617261614906965e-07,6.534171870242744e-09
1835,3.4109527291548147e-07,5.294161553592858e-09
1836,3.158752477361304e-07,2.6882999715205358e-09
1837,2.56050391556073e-07,6.9578909300815894e-09
1838,2.9793403300004684e-07,1.8936485712828244e-09
1839,3.285993415147459e-07,7.690622361167243e-09
1840,2.458699874807735e-07,7.0066574764382494e-09
1841,2.5874811271364706e-07,1.926164561183441e-09
1842,2.0795621225033756e-07,1.0062398025922903e-08
1843,2.811689725490396e-07,1.0041748765843295e-08
1844,2.3216613698195943e-07,0.0
1845,3.1137672706904596e-07,1.674068439427856e-09
1846,2.7574701277899294e-07,2.3418005312692003e-09
1847,2.1842555497642024e-07,1.0786447290911383e-08
1848,2.2446168657097587e-07,7.24069959545659e-09
1849,2.7652069789496636e-07,8.379414939696517e-10
1850,2.58660744378858e-07,1.3577992064028876e-09
1851,1.6768540334055615e-07,1.2898877521649865e-09
1852,3.8216901465659703e-07,6.510545436100301e-10
1853,2.3648849989399423e-07,2.9859659189668264e-09
1854,1.9951351148961294e-07,5.195664454227256e-10
1855,2.3881217359189577e-07,5.306937111981824e-10
1856,1.9518003213647717e-07,5.177189066341015e-09
1857,3.1876254524831893e-07,6.345961978126979e-09
1858,2.397901290862592e-07,1.9574704079872163e-09
1859,2.0826989555189357e-07,1.5276520048956854e-09
1860,4.2933983479542803e-07,8.696649622663699e-09
1861,2.1551954532128548e-07,4.2443675241088386e-09
1862,2.1324894916574522e-07,6.325180823552046e-09
1863,2.1426923169087786e-07,4.994620939058336e-09
1864,2.77135271176121e-07,3.787835112234461e-08
1865,2.376956338423497e-07,2.4004906507002488e-08
1866,2.063019906017871e-07,4.865612912574591e-10
1867,2.5719900875742496e-07,1.94112459439566e-09
1868,2.326680750286414e-07,3.951899141263482e-09
