year,présages_NOUN heureux_ADJ
1800,2.2009151834367913e-08
1801,3.333655484993869e-08
1802,4.699464284385613e-08
1803,5.851017803593095e-08
1804,3.9549615138412264e-08
1805,5.970043304159844e-08
1806,2.881669125542885e-08
1807,3.701041606518629e-08
1808,5.6651849433819734e-08
1809,3.840352036377226e-08
1810,8.190443878675069e-08
1811,9.27618373225414e-08
1812,3.7340914360584065e-08
1813,4.888760685162197e-08
1814,9.754699448194515e-08
1815,5.933891955578474e-08
1816,4.6352077731626196e-08
1817,4.826307531402563e-08
1818,1.9073883805731384e-08
1819,2.794783426907088e-08
1820,5.3399165977907614e-08
1821,5.818278125957477e-08
1822,5.714601059025881e-08
1823,1.680056804787e-08
1824,4.5474010335055937e-08
1825,4.6668848341369085e-08
1826,1.76159691278599e-08
1827,2.5808365222701468e-08
1828,3.944089499441361e-08
1829,2.4004892296147773e-08
1830,3.861629238599562e-08
1831,5.3010101197514814e-08
1832,3.5177919244233635e-08
1833,2.20088942626262e-08
1834,3.640467127752345e-08
1835,4.235329242874286e-08
1836,4.9061476659062464e-08
1837,2.991893133241774e-08
1838,3.471689069556305e-08
1839,2.7266752522514537e-08
1840,2.5478755105723394e-08
1841,1.5409316489467528e-08
1842,1.9453969102301016e-08
1843,3.5441466650354414e-08
1844,3.2382512671347286e-08
1845,4.1293688468613254e-08
1846,2.2247105491146613e-08
1847,1.4022381478184798e-08
1848,3.539897619475596e-08
1849,2.011059585527164e-08
1850,1.2899092460827433e-08
1851,5.095056732073999e-08
1852,1.7578472011337e-08
1853,1.970737528722566e-08
1854,2.4939190268469247e-08
1855,2.175844215912548e-08
1856,2.3815070804289462e-08
1857,2.5383847912507917e-08
1858,2.5936483183386372e-08
1859,1.018434669930457e-08
1860,2.288591893773173e-08
1861,3.254015124021237e-08
1862,4.789065499721801e-08
1863,2.1476870060155306e-08
1864,1.8699438775193755e-08
1865,3.294790928975999e-08
1866,2.8707116683790446e-08
1867,1.6984840200962026e-08
1868,2.1241458370013788e-08
1869,1.6115613732381462e-08
1870,2.695002976338401e-08
1871,3.18635318130589e-09
1872,1.2699412743621963e-08
1873,3.591602748542755e-08
1874,2.3300975371398636e-08
1875,2.2886109007913547e-08
1876,2.6602464231473277e-08
1877,2.2265338017746217e-08
1878,1.872117572077059e-08
1879,3.176849006081284e-08
1880,1.7969970400599777e-08
1881,1.3945014920579979e-08
1882,2.3293848627758962e-08
1883,1.3270612164717477e-08
1884,1.4523733327109767e-08
1885,3.4161868001092444e-08
1886,2.5168509054651622e-08
1887,1.4363633837888301e-08
1888,1.2047167707862627e-08
1889,2.255449160770695e-08
