year,chers_ADJ pères_NOUN
1800,0.0
1801,1.1905912700171939e-08
1802,0.0
1803,1.950339223455444e-09
1804,4.943701892301533e-09
1805,8.528632911009026e-09
1806,1.729001475325731e-08
1807,1.4234775136401367e-08
1808,0.0
1809,0.0
1810,4.680253518074551e-09
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,8.627225156487839e-09
1814,0.0
1815,0.0
1816,4.6352077731626196e-09
1817,7.784366928831332e-09
1818,4.768470951432846e-09
1819,1.035105001712111e-09
1820,4.746592452420373e-09
1821,0.0
1822,2.0051231786055723e-09
1823,4.941343334508019e-09
1824,1.8526447931321854e-08
1825,2.3774695989686734e-08
1826,5.284790383086602e-09
1827,1.8434546111834038e-08
1828,4.586150681440415e-09
1829,1.714635211591542e-09
1830,3.1310507520032616e-09
1831,3.1182412207897414e-09
1832,1.3529969367098715e-09
1833,0.0
1834,4.667265685043276e-09
1835,1.2100940693926532e-08
1836,8.064899859050456e-09
1837,7.653680134112051e-09
1838,1.0730675237269338e-08
1839,6.29232765891885e-09
1840,1.2102408630809691e-08
1841,3.2102742686390684e-09
1842,1.408735661456717e-08
1843,1.0041749043399051e-08
1844,2.3051957009911916e-08
1845,3.236532108985557e-08
1846,2.517435504501009e-08
1847,3.343798571364687e-08
1848,1.7699487542266468e-08
1849,8.379414939696517e-10
1850,1.425689166723032e-08
1851,1.9348316060430193e-08
1852,1.1067927019325907e-08
1853,2.149895417247194e-08
1854,8.832629738719788e-09
1855,2.812676669350367e-08
1856,1.55315674765788e-08
1857,1.610897992776472e-08
1858,3.425573225079859e-08
1859,1.6294954940931916e-08
1860,1.0527522797953992e-08
1861,1.9807047557662827e-08
1862,3.2077702744048864e-08
1863,7.941447260906287e-08
1864,1.2945765237581952e-08
1865,1.7886008230050265e-08
1866,3.503241186031403e-08
1867,3.88224918879132e-09
1868,1.0867723165830512e-08
1869,1.3673853382911716e-08
1870,1.1468097138589428e-08
1871,1.4869648179427486e-08
1872,1.6932549806725206e-08
1873,1.3767809892151206e-08
1874,5.974608974224083e-09
1875,8.582290600411824e-09
1876,5.441413319928756e-09
1877,2.1646856418477967e-08
1878,6.0390887290928674e-09
1879,1.4051448449237114e-08
1880,7.701415283278834e-09
1881,1.8128519574389657e-08
1882,1.1314154724217929e-08
1883,4.423537203201988e-09
1884,7.2618666635548834e-09
1885,1.1602144189826191e-08
1886,1.742435240537077e-08
1887,3.460330066928918e-08
1888,1.6485597775783845e-08
1889,9.397705447167226e-09
1890,7.209824959275579e-09
1891,6.374219818638949e-09
1892,7.522214851007902e-09
1893,1.29326747089209e-08
1894,8.822155006527055e-09
1895,6.6204759452404005e-09
1896,7.66613750258216e-09
1897,1.5149455467877715e-08
1898,9.619203211741478e-09
1899,6.633094074004475e-09
1900,1.97260017209544e-08
1901,1.397184723472833e-08
1902,5.401312397346203e-09
1903,1.0800440763958363e-08
1904,1.289910045443321e-08
1905,1.2901898049921812e-08
1906,2.5720922058880547e-09
1907,8.742833457198174e-09
