year,petits_ADJ artisans_NOUN,petits_ADJ partisans_NOUN
1800,3.144164484325529e-09,0.0
1801,4.524246932646747e-08,0.0
1802,6.713520406265161e-09,0.0
1803,8.191424427650418e-08,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,1.9928686256776018e-08
1808,6.798221985349073e-09,0.0
1809,2.4849335034105025e-08,0.0
1810,0.0,0.0
1811,1.504245972228091e-08,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,8.091670444798638e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,1.556873407970727e-09,0.0
1818,3.5763532135746345e-09,0.0
1819,0.0,1.7596784473994376e-08
1820,0.0,3.5599443393152796e-09
1821,1.7750679148775816e-08,9.861488514673056e-09
1822,5.413832582235045e-08,0.0
1823,0.0,0.0
1824,5.052667617633233e-09,2.5263338088166165e-08
1825,5.283265824829186e-09,0.0
1826,0.0,8.807984341885344e-10
1827,1.566936447261469e-08,0.0
1828,3.668920500743411e-09,1.2841221419535032e-08
1829,1.3717081692732336e-08,6.858540846366168e-09
1830,1.0436835395921662e-08,0.0
1831,3.1182412207897414e-09,0.0
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,4.633451511359965e-09,5.791814139399776e-09
1834,2.5203233278148218e-08,0.0
1835,5.294161553592858e-09,0.0
1836,6.048674894287842e-09,4.704525213838906e-09
1837,1.530736071231331e-08,6.957890930081589e-10
1838,1.8936485712828244e-09,1.7674054220151447e-08
1839,4.894032734625853e-09,0.0
1840,4.458782232319436e-09,0.0
1841,7.0626033910059505e-09,0.0
1842,8.049918065466954e-09,0.0
1843,1.1223130869097986e-08,0.0
1844,3.512679214168202e-08,0.0
1845,2.5669049108500985e-08,0.0
1846,1.6978054517835517e-08,1.1709002656346001e-09
1847,1.941560512364049e-08,0.0
1848,6.43617736884039e-09,0.0
1849,2.262441967104678e-08,0.0
1850,6.788996032014438e-09,2.0366988096043315e-09
1851,2.192809134271556e-08,6.449438760824933e-10
1852,2.018269107395554e-08,0.0
1853,1.2541057081705276e-08,5.971931837933653e-10
1854,1.454786069388092e-08,1.558699391779328e-09
1855,9.552486801567284e-09,9.021793090369101e-09
1856,9.836659486950339e-09,0.0
1857,1.3180074920349227e-08,5.857811125054013e-09
1858,2.300027768242785e-08,3.4255731584664773e-09
1859,4.9394082601850187e-08,5.092173349652285e-10
1860,5.950339110327718e-09,0.0
1861,3.9142497521016395e-08,0.0
1862,1.0391368654438793e-08,0.0
1863,3.9457503930862003e-08,4.495158911765884e-09
1864,3.212467802882202e-08,0.0
1865,2.0239430131852032e-08,0.0
1866,1.897589108068587e-08,4.865612912574591e-10
1867,6.114542827617697e-08,0.0
1868,3.556709415875048e-08,4.939874287401835e-09
1869,2.7347706321734222e-08,1.953407657850903e-09
1870,4.3578772590535664e-08,0.0
1871,3.504988654867702e-08,0.0
1872,4.5959779981785687e-08,0.0
1873,2.8732820567256567e-08,0.0
1874,5.436894312538243e-08,0.0
1875,2.7463329388410784e-08,0.0
1876,2.9625471853478302e-08,0.0
1877,4.8860045898102555e-08,0.0
1878,3.140326043649111e-08,0.0
1879,3.1157558311178946e-08,0.0
