year,meilleures_ADJ eaux_NOUN,meilleures_ADJ peaux_NOUN
1800,9.432493186523061e-08,6.288328968651058e-09
1801,6.667310969987739e-08,2.3811825844433088e-09
1802,1.3427040812530322e-08,4.475680270843441e-09
1803,3.5106107132421016e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,3.695740957709859e-08,1.1371510844071508e-08
1806,1.4408345627714425e-08,5.76333825108577e-09
1807,2.2775640928784924e-08,8.540865792383556e-09
1808,4.078933102391602e-08,0.0
1809,4.2921579401777876e-08,1.581321384946932e-08
1810,4.44624070894406e-08,0.0
1811,2.2563691359778204e-08,6.769107585569145e-08
1812,7.468182872116813e-08,2.1337665856435706e-08
1813,3.738464116054274e-08,5.7514832008109806e-08
1814,1.195737269199526e-07,0.0
1815,8.091670444798638e-09,0.0
1816,3.7081662185300956e-08,0.0
1817,4.670620334934483e-09,0.0
1818,9.536941902865692e-09,0.0
1819,1.9666995143552413e-08,7.24573512300708e-09
1820,3.678609061807947e-08,1.1866481131050932e-09
1821,8.875339574387908e-09,1.97229765852569e-09
1822,2.606660132187244e-08,0.0
1823,2.668325471688604e-08,0.0
1824,1.3473780313688621e-08,0.0
1825,1.4088708866211164e-08,0.0
1826,3.2589543508265706e-08,8.80798456392995e-09
1827,4.977327350275118e-08,9.217273055917019e-10
1828,9.172301140836225e-09,1.8344602503717056e-09
1829,1.8860987438529264e-08,8.57317605795771e-10
1830,3.235419043789989e-08,8.349468672008697e-09
1831,1.4032085715598441e-08,0.0
1832,2.976593194148336e-08,1.3529969367098715e-09
1833,2.4325620628928846e-08,5.791814139399776e-09
1834,1.5868701908061666e-08,8.401078055442213e-09
1835,3.100866052818674e-08,0.0
1836,1.344150035720304e-08,0.0
1837,2.0873672568200163e-08,2.0873671680021744e-09
1838,2.4617431648721322e-08,0.0
1839,3.076248944466897e-08,4.894032734625853e-09
1840,4.58617570586739e-08,0.0
1841,1.7977535904378783e-08,3.2102742686390684e-09
1842,1.0062397137744483e-08,4.024959032733477e-09
1843,2.3627643841450663e-08,1.1813822142769936e-09
1844,3.732221642849254e-08,0.0
1845,2.622707206967334e-08,2.7901139176833567e-09
1846,3.5127008857216424e-08,5.854501328173001e-10
1847,2.1572894581822766e-08,7.011190739092399e-09
1848,4.183515400768556e-08,4.02261068899179e-09
1849,1.9272654583346593e-08,0.0
1850,4.2091777174846357e-08,6.788996032014438e-10
1851,1.7413483988093503e-08,3.8696632564949596e-09
1852,5.859491025717034e-08,6.510545436100301e-09
1853,3.822036376277538e-08,7.166318205520383e-09
1854,5.0397943596180994e-08,5.195664454227256e-10
1855,2.2289135870323662e-08,3.714855978387277e-09
1856,5.4360487666826884e-08,2.0708756931497874e-09
1857,5.027954230740761e-08,4.881508974818871e-09
1858,3.572383411309943e-08,5.3830437884982985e-09
1859,4.226503946824778e-08,0.0
1860,4.3025529805618135e-08,1.373155145145688e-09
1861,3.1125360067107977e-08,1.4147891747029462e-09
1862,5.0149647989883306e-08,9.035972525772706e-10
1863,8.64069431560921e-08,5.494082966350788e-09
1864,3.787835112234461e-08,0.0
1865,4.283228349777346e-08,0.0
1866,3.2113046444237625e-08,4.865612912574591e-10
1867,2.6690463172940326e-08,4.85281148598915e-09
1868,1.6301584082611953e-08,1.333765986544222e-08
1869,3.076617005604021e-08,3.906815315701806e-09
1870,3.899153000475053e-08,5.160643912205387e-09
1871,3.292564798584863e-08,5.3105884134652115e-09
1872,2.660829245826335e-08,1.2094678591978436e-09
1873,6.045864608950069e-08,0.0
1874,5.317401985394099e-08,5.377148060148329e-09
1875,1.2587359599081083e-08,1.1443054281912168e-09
1876,3.264847947548333e-08,3.627608879952504e-09
1877,2.2265338017746217e-08,0.0
1878,2.113680963589104e-08,6.039088673581716e-10
1879,2.7491964260661916e-08,0.0
1880,2.5029599726167362e-08,1.2835692508872398e-09
