year,moyens_NOUN heureux_ADJ
1800,2.829747991484055e-08
1801,1.6668277424969347e-08
1802,1.7902721083373763e-08
1803,4.095712213825209e-08
1804,2.7190360185613827e-08
1805,8.528632911009026e-09
1806,4.610670600868616e-08
1807,2.8469550272802735e-08
1808,9.064295980465431e-09
1809,2.4849335034105025e-08
1810,3.510190182964834e-08
1811,2.757784400841956e-08
1812,2.6672082320544632e-09
1813,1.4378708002027452e-08
1814,6.293354282149721e-09
1815,2.4275012222574333e-08
1816,4.6352077731626196e-09
1817,4.670620334934483e-09
1818,5.960588467246453e-09
1819,3.1053151161586356e-09
1820,3.5599443393152796e-09
1821,9.861488514673056e-09
1822,3.308453244699194e-08
1823,1.9765373782121287e-09
1824,1.1789557774477544e-08
1825,5.283265824829186e-09
1826,2.290075862276808e-08
1827,7.373818444733615e-09
1828,3.668920500743411e-09
1829,5.143905745796928e-09
1830,4.174734336004349e-09
1831,4.677361609140007e-09
1832,1.3529969367098715e-09
1833,4.6334514003376626e-09
1834,9.334530925997342e-10
1835,5.294161553592858e-09
1836,1.3441500135158435e-09
1837,2.0873671680021744e-09
1838,1.8936485712828244e-09
1839,4.894032734625853e-09
1840,6.369688665408546e-10
1841,7.0626033910059505e-09
1842,7.379091560011375e-09
1843,5.906911071384968e-10
1844,0.0
1845,1.1160455892778032e-09
1846,3.5127007969038004e-09
1847,3.775256551818984e-09
1848,0.0
1849,1.6758829879393033e-09
1850,6.788996032014438e-10
1851,1.9348316282474798e-09
1852,1.9531636308300904e-09
1853,3.5831591027601917e-09
1854,3.117398783558656e-09
1855,2.1227748447927297e-09
1856,1.0354378687793542e-08
1857,0.0
1858,3.4255731584664773e-09
1859,0.0
1860,5.492620580582752e-09
1861,3.772770984511453e-09
1862,6.325180823552046e-09
1863,3.995696662428827e-09
1864,5.753673537611803e-09
1865,1.1767110841276462e-08
1866,5.838735717134114e-09
1867,1.3102591012170706e-08
1868,5.433861360870651e-09
1869,2.9301114867763545e-09
1870,3.4404292748035914e-09
1871,1.0621177271019633e-09
1872,6.047339295989218e-10
1873,1.7958012854535355e-09
1874,1.1949218281515073e-09
1875,1.3731664694205392e-08
1876,2.418405919968336e-09
1877,1.36065949618569e-08
1878,9.058632954861423e-09
1879,3.0546627449723474e-09
1880,6.417846254436199e-10
1881,1.3945015142624584e-09
1882,1.3310770263785798e-09
1883,8.21514056781325e-09
1884,6.601696966868076e-10
1885,1.2891271383708158e-09
1886,3.2267319927115068e-09
1887,3.9173548849191775e-09
1888,6.974675947901687e-09
1889,6.265136742733546e-10
1890,2.6217545912032847e-09
1891,1.9122659011827636e-09
1892,3.1342561879199593e-09
1893,6.158416554491453e-10
1894,0.0
1895,6.018614495673091e-10
1896,0.0
1897,4.661370844871726e-09
1898,0.0
1899,1.1055156790007459e-09
1900,1.038210628578895e-09
1901,0.0
1902,9.820567692386817e-10
1903,3.7801539676252105e-09
1904,2.6873125946735854e-09
1905,1.0321518084666081e-09
1906,1.5432553013283723e-09
1907,0.0
1908,2.9468334439286537e-09
