year,les_DET iles_NOUN,les_DET piles_NOUN
1800,1.3016840654245243e-06,9.180960063304155e-07
1801,1.776362196892478e-06,4.6909297068964406e-07
1802,1.4322177150916104e-06,5.95265504443887e-07
1803,1.2930749153650112e-06,6.494629829489895e-07
1804,1.5696252999575222e-06,7.464990083860812e-07
1805,9.324638874375069e-07,1.2366518546969019e-06
1806,9.653591570568665e-07,1.8990199919244333e-06
1807,1.5601314018454104e-06,7.914535302688819e-07
1808,1.2259460362429309e-06,6.979507745086266e-07
1809,1.2447258184167254e-06,8.493954766208844e-07
1810,1.2355869429825361e-06,1.2332468202203017e-06
1811,1.7975740078668423e-06,1.0228873108530934e-06
1812,9.415245187938126e-07,7.121446117253072e-07
1813,1.4234921295042113e-06,9.547462127557083e-07
1814,1.0446967912969285e-06,5.003216649868136e-07
1815,1.1544116735873189e-06,5.960863980192244e-07
1816,9.919344758912985e-07,2.1252428155094094e-06
1817,1.0804701418010154e-06,5.993962410855147e-07
1818,9.250833867824326e-07,4.0174369075884897e-07
1819,7.701181243824351e-07,4.3784941539115607e-07
1820,1.1427421213738853e-06,5.304317056697982e-07
1821,8.332957381895767e-07,4.2996088822633283e-07
1822,1.1990636892278417e-06,3.4387863934171037e-07
1823,1.305502955517568e-06,5.198293422381539e-07
1824,1.0374810957003433e-06,5.296879947991329e-07
1825,1.7276279447031584e-06,6.128588481146835e-07
1826,1.7334113504574589e-06,5.46095051845441e-07
1827,1.2931834527663e-06,6.406004686709821e-07
1828,1.4629820253020398e-06,8.255071293206129e-07
1829,2.082424478189182e-06,8.976115566383669e-07
1830,1.3463518362399896e-06,1.096911461218042e-06
1831,1.0025145353864673e-06,1.1350397954856817e-06
1832,1.5789474296923345e-06,1.0391016473931813e-06
1833,3.2874338788957402e-06,7.042846306148931e-07
1834,1.6662138371259516e-06,7.878344305822793e-07
1835,1.8983350216217332e-06,7.47233080744536e-07
1836,1.582064548699691e-06,5.544618701947002e-07
1837,1.9983063177519966e-06,9.741047506395262e-07
1838,2.006636307783083e-06,8.085879272812235e-07
1839,2.2260856979983146e-06,1.2263047892702161e-06
1840,2.1440371433811833e-06,1.0987712499854752e-06
1841,1.8542543935851086e-06,9.136440723978012e-07
1842,1.5522925451705305e-06,8.532913327030656e-07
1843,2.031977416550035e-06,9.073015689864405e-07
1844,1.69706311581308e-06,8.161490612224043e-07
1845,1.697505346953676e-06,7.265456645200175e-07
1846,1.7926482769325958e-06,6.31700686426484e-07
1847,2.0273127852021844e-06,1.1503746577545826e-06
1848,1.8849954379618339e-06,4.360510210688062e-07
1849,2.047929022808148e-06,5.832072957900891e-07
1850,1.8045151213286204e-06,6.408812396330177e-07
1851,1.46402260980949e-06,7.229820795373598e-07
1852,1.8815476305888978e-06,1.417996855934689e-06
1853,1.894893941312148e-06,9.298298095927748e-07
1854,1.5638949619756204e-06,1.7343128035918198e-06
1855,1.675400088885226e-06,1.0582032388128937e-06
1856,1.7731873018789202e-06,1.5733478448964888e-06
1857,1.5933246153565506e-06,1.0441547715345223e-06
1858,1.379527233780209e-06,1.5199758109929462e-06
1859,1.737958751135693e-06,1.4614537633406144e-06
1860,1.2376705669225885e-06,1.2651335978830502e-06
1861,1.5661715284664979e-06,1.2766113854922878e-06
1862,1.3391311188826194e-06,1.1651886353547525e-06
1863,1.584793196229839e-06,7.651759119653434e-07
1864,1.8023382288845369e-06,1.6330842811385082e-06
1865,1.3503936031611374e-06,8.961831667875231e-07
1866,1.5088265854501515e-06,1.081625697452182e-06
1867,1.4306088687021656e-06,2.1585305773896835e-06
1868,1.3851406670539745e-06,1.9225989973392643e-06
1869,1.1398133601403515e-06,1.1036753448934178e-06
1870,1.3733046682062877e-06,1.5057611619795352e-06
1871,9.028000729216501e-07,1.2161247866515623e-06
1872,1.195558960276344e-06,1.4834123760465445e-06
1873,1.5952701986066131e-06,1.81016775968601e-06
1874,1.118446856906985e-06,1.6866322170017156e-06
1875,1.1174142482417437e-06,2.6582215753023775e-06
1876,1.4177904859025148e-06,1.0846550537735311e-06
1877,1.3810694170501847e-06,1.2808753808712936e-06
1878,1.5605004684005053e-06,1.3630223207883319e-06
1879,1.467459910031721e-06,1.0929582714425123e-06
1880,1.5678798668261607e-06,1.670565382028144e-06
1881,1.9369625974263727e-06,2.4654787011968438e-06
1882,1.4442185900520599e-06,1.964669735343705e-06
1883,1.4155319227882046e-06,1.8768436973459757e-06
1884,1.6174157337900397e-06,2.0115371057727316e-06
1885,1.6713533455003926e-06,2.7084562077561714e-06
1886,2.545246125862377e-06,1.8502080934013065e-06
1887,1.4833716974749223e-06,1.9155864663389366e-06
1888,1.6339764279393876e-06,2.463328883095528e-06
1889,1.6571286636235527e-06,2.317473985158358e-06
1890,1.6890654102041935e-06,2.3281179721834633e-06
1891,1.7503608304991758e-06,2.055685911273031e-06
1892,1.827898174155962e-06,1.6273058633942128e-06
1893,1.9509863804501038e-06,1.2107447133757887e-06
1894,1.595549704802579e-06,1.518670984523851e-06
1895,2.5470776279234997e-06,1.199509810589916e-06
1896,1.9660694228207376e-06,1.3238829978945432e-06
1897,1.6926602910416477e-06,1.2445860448906387e-06
1898,1.8276486102308809e-06,1.4083645112350496e-06
1899,2.0247519501026545e-06,1.0999880828421738e-06
1900,1.9123840111490154e-06,1.3860111209851311e-06
1901,1.8023683487911057e-06,1.1004226934119288e-06
1902,1.8280986537888566e-06,2.0181266506824613e-06
1903,1.775592423314265e-06,1.7437311612411577e-06
1904,1.6521597743235361e-06,1.3114085675169918e-06
1905,1.8805805694910305e-06,1.1074988890413806e-06
1906,1.5854376762547417e-06,1.1924219336378883e-06
1907,1.8596521584868242e-06,1.1458254789431521e-06
1908,1.6374570961374957e-06,1.429705321243091e-06
1909,1.4671123054199597e-06,1.5919846703127405e-06
1910,1.588816019193473e-06,1.3007663284270166e-06
1911,1.6732576604283622e-06,1.2705053791250975e-06
1912,1.4122741269773087e-06,1.1627428193605738e-06
1913,2.133392705161441e-06,1.5564274917778675e-06
1914,1.84763162636159e-06,8.424503477044709e-07
1915,1.7211692764362851e-06,1.2075280864110027e-06
1916,1.7173403286108169e-06,1.2877305834990693e-06
1917,1.6932159851990036e-06,8.6634754836723e-07
1918,2.0422776820794297e-06,9.510719394256739e-07
1919,1.444711411835442e-06,9.327550571924803e-07
1920,2.267126134825048e-06,1.0926730453775235e-06
1921,2.112039279467126e-06,9.73098067902356e-07
1922,1.9153121257886596e-06,1.1878475874027572e-06
1923,1.846113434567087e-06,1.2218956442211493e-06
1924,1.866707282971447e-06,1.1331738107855927e-06
1925,2.4173995498699696e-06,1.1064166756113991e-06
1926,2.031941049196462e-06,1.0655708564399902e-06
1927,2.332417825101629e-06,1.1673238020648569e-06
1928,2.1846590883001227e-06,1.0694774914554728e-06
1929,2.498793172378555e-06,1.0973300277328235e-06
1930,2.346505034722668e-06,1.003094155294093e-06
1931,2.611826730003486e-06,1.1667680013260906e-06
1932,2.3004066846965543e-06,1.1299282505206065e-06
1933,2.6141639288823626e-06,1.1963900448108689e-06
1934,2.681477646149233e-06,1.2856235684921558e-06
1935,2.1554879943153082e-06,9.849897679714559e-07
1936,2.5461900463596976e-06,1.1894345419705132e-06
1937,2.4439360082340045e-06,9.342609672557955e-07
1938,2.0614691251807926e-06,8.673728331132224e-07
1939,2.529635974468647e-06,1.1547008114121127e-06
1940,2.2035953612942194e-06,1.0574214570624463e-06
1941,2.703576443607858e-06,1.2042130208556046e-06
1942,2.2180087917433866e-06,8.920582388327603e-07
1943,2.334201090192778e-06,1.2745202866426553e-06
1944,2.45808745980014e-06,9.639558413709892e-07
1945,2.3658553374161784e-06,7.210848380623247e-07
1946,1.9865415694653166e-06,7.795818319777936e-07
1947,1.9216444631098284e-06,1.107448923676202e-06
1948,1.8503953622683866e-06,1.0893631525732417e-06
1949,2.1518881965221226e-06,8.638967017304822e-07
1950,1.888840227337596e-06,8.923068293142933e-07
1951,2.317788766248441e-06,7.974728504223094e-07
1952,2.4105421836395635e-06,1.0059743118517872e-06
1953,2.4865993122347163e-06,9.728765917316196e-07
1954,2.37765803312584e-06,8.228475465443807e-07
